absolute_resolution_multiplier,absolute_term_enabled,arm,attack_cost_model,attacker_capability,capability_ratio,cell_id,collapse_severity,defender_capability,defense_cost_model,defense_input_count,effective_attack_cost,effective_defense_cost,elapsed_seconds,failure_count,failure_rate,frontier_validator_count,institution_alone_corner,institution_hidden_count,institution_hidden_rate,institution_validator_count,mean_measured_rank,mean_seconds_per_run,merge_rule,n,pairwise_checks,partition_corruption_count,partition_corruption_rate,pass_name,rank_visible_failure_count,rank_visible_failure_rate,resolution_probability,structural_point_index,true_effective_rank,validator_set_size
1.0,False,measurement_corruption,superlinear,5.623413251903491,5.623413251903491,672cc56b19fa0bea9c62,0.33,1.0,static_baseline,2,2.8284271247461903,1.0,0.03707237262278795,93,0.465,1,False,93,0.465,1,1.535,0.00018536186311393977,threshold_connected_components,200,1,93,0.465,main_surface,93,0.465,0.5014822785711753,1,2,2
1.0,False,false_cluster_injection,superlinear,2.6101572156825377,2.6101572156825377,6733182e61a2f9acf320,0.0,1.0,static_baseline,4,2.8284271247461903,1.0,0.00858515314757824,108,0.54,1,False,0,0.0,1,2.66,4.29257657378912e-05,threshold_connected_components,200,6,0,0.0,main_surface,0,0.0,0.6842683445307995,0,2,2
1.0,False,false_cluster_injection,superlinear,0.316227766016838,0.316227766016838,67343be4be7524c881a3,1.0,1.0,pairwise_exact,6,2.8284271247461903,15.0,0.010243126191198826,142,0.71,3,False,0,0.0,1,2.92,5.121563095599413e-05,threshold_connected_components,200,15,0,0.0,main_surface,0,0.0,0.5439141336844762,7,2,4
1.0,False,measurement_corruption,linear,2.6101572156825377,2.6101572156825377,673e5e5b28ef34f0fdf6,0.0,1.0,static_baseline,8,8.0,1.0,0.023626252077519894,9,0.045,7,False,9,0.045,1,7.955,0.00011813126038759947,threshold_connected_components,200,28,9,0.045,main_surface,0,0.0,0.960814426436033,8,8,8
1.0,False,false_cluster_injection,linear,1.2115276586285884,1.2115276586285884,673f9e5ec9a6baa672a1,1.0,1.0,static_baseline,4,2.0,1.0,0.008354807272553444,74,0.37,1,False,0,0.0,1,2.435,4.177403636276722e-05,threshold_connected_components,200,6,0,0.0,main_surface,0,0.0,0.7675292662751786,3,2,2
1.0,False,measurement_corruption,linear,0.46415888336127786,0.46415888336127786,6771ed64b4813dac0385,1.0,1.0,static_baseline,64,2.0,1.0,0.4266663072630763,200,1.0,63,False,21,0.105,1,8.23,0.0021333315363153815,threshold_connected_components,200,2016,200,1.0,main_surface,0,0.0,0.8960254561970719,23,2,64
1.0,False,false_cluster_injection,superlinear,4.64158883361278,4.64158883361278,677271561f7f25a8228f,0.0,1.0,static_baseline,34,181.01933598375618,1.0,0.027950504794716835,0,0.0,31,False,0,0.0,1,32.0,0.00013975252397358418,threshold_connected_components,200,561,0,0.0,main_surface,0,0.0,0.9991993478710391,16,32,32
1.0,False,measurement_corruption,superlinear,5.623413251903491,5.623413251903491,67973fe4227a191602d3,1.0,1.0,pairwise_exact,16,2.8284271247461903,120.0,0.06382043287158012,200,1.0,15,False,200,1.0,1,14.845,0.00031910216435790064,threshold_connected_components,200,120,200,1.0,main_surface,0,0.0,0.008313200886536892,15,2,16
1.0,False,false_cluster_injection,linear,0.3831186849557288,0.3831186849557288,67c560807ae69f457f93,0.33,1.0,pairwise_exact,6,4.0,15.0,0.018371607176959515,100,0.5,3,False,0,0.0,1,4.555,9.185803588479758e-05,threshold_connected_components,200,15,0,0.0,main_surface,0,0.0,0.7357410981377371,5,4,4
1.0,False,measurement_corruption,linear,0.316227766016838,0.316227766016838,67f5213b1b30afeef6f1,0.66,1.0,pairwise_exact,4,3.0,6.0,0.018594070337712765,58,0.29,3,False,31,0.155,1,3.0,9.297035168856382e-05,threshold_connected_components,200,6,58,0.29,main_surface,0,0.0,0.8258876051045316,6,3,4
1.0,False,false_cluster_injection,linear,1.0,1.0,68012a6b7f9ca565382e,1.0,1.0,static_baseline,3,1.0,1.0,0.018408690579235554,200,1.0,0,True,0,0.0,1,3.0,9.204345289617777e-05,threshold_connected_components,200,3,0,0.0,main_surface,0,0.0,0.0,24,1,1
1.0,False,false_cluster_injection,superlinear,10.0,10.0,683badf5ced9728961b4,0.0,1.0,pairwise_exact,66,512.0,2145.0,0.022175129503011703,128,0.64,63,False,0,0.0,1,64.83,0.00011087564751505852,threshold_connected_components,200,2145,0,0.0,main_surface,0,0.0,0.6043749308347781,20,64,64
1.0,False,measurement_corruption,superlinear,0.1,0.1,684e4564cd880344ae94,1.0,1.0,static_baseline,16,2.8284271247461903,1.0,0.04690172616392374,43,0.215,15,False,4,0.02,1,2.18,0.0002345086308196187,threshold_connected_components,200,120,43,0.215,main_surface,4,0.02,0.9826294021585109,15,2,16
1.0,False,false_cluster_injection,superlinear,3.1622776601683795,3.1622776601683795,684f3c55db740526c13d,0.0,1.0,pairwise_exact,66,512.0,2145.0,0.03508280962705612,69,0.345,63,False,0,0.0,1,64.39,0.0001754140481352806,threshold_connected_components,200,2145,0,0.0,main_surface,0,0.0,0.8284981187897098,20,64,64
1.0,False,measurement_corruption,superlinear,6.812920690579611,6.812920690579611,6857326f78c029c0e229,0.66,1.0,static_baseline,16,18.520259177452136,1.0,0.04646050184965134,80,0.4,15,False,10,0.05,1,7.4,0.0002323025092482567,threshold_connected_components,200,120,80,0.4,main_surface,0,0.0,0.9500719363535641,14,7,16
1.0,False,measurement_corruption,linear,3.1622776601683795,3.1622776601683795,686d93e9f8386d02de80,0.0,1.0,pairwise_exact,64,64.0,2016.0,0.45298139937222004,122,0.61,63,False,122,0.61,1,63.39,0.0022649069968611003,threshold_connected_components,200,2016,122,0.61,main_surface,0,0.0,0.39116995844837427,20,64,64
1.0,False,false_cluster_injection,linear,8.254041852680187,8.254041852680187,6870579bd973dc166d4c,0.33,1.0,static_baseline,4,2.0,1.0,0.015771737322211266,174,0.87,1,False,0,0.0,1,3.235,7.885868661105632e-05,threshold_connected_components,200,6,0,0.0,main_surface,0,0.0,0.32642290993360085,1,2,2
1.0,False,false_cluster_injection,superlinear,1.46779926762207,1.46779926762207,6872e44d27708a2faca7,0.33,1.0,pairwise_exact,10,22.627416997969522,45.0,0.016880590468645096,92,0.46,7,False,0,0.0,1,8.545,8.440295234322548e-05,threshold_connected_components,200,45,0,0.0,main_surface,0,0.0,0.7326632693859525,9,8,8
1.0,False,false_cluster_injection,linear,0.2610157215682537,0.2610157215682537,6875511732fc19fd866e,1.0,1.0,static_baseline,66,2.0,1.0,0.02662829589098692,27,0.135,63,False,0,0.0,1,2.145,0.0001331414794549346,threshold_connected_components,200,2145,0,0.0,main_surface,0,0.0,0.9387433094304126,23,2,64
1.0,False,measurement_corruption,superlinear,0.316227766016838,0.316227766016838,687e9aeffbbe3778864b,0.0,1.0,pairwise_exact,4,8.0,6.0,0.03570228163152933,8,0.04,3,False,8,0.04,1,3.96,0.00017851140815764666,threshold_connected_components,200,6,8,0.04,main_surface,0,0.0,0.9440261357553578,4,4,4
1.0,False,measurement_corruption,superlinear,3.8311868495572874,3.8311868495572874,688527c909cccba96329,0.66,1.0,pairwise_exact,64,110.30412503619254,2016.0,0.42974317632615566,200,1.0,63,False,155,0.775,1,53.16,0.002148715881630778,threshold_connected_components,200,2016,200,1.0,main_surface,0,0.0,0.2472543681855641,22,23,64
1.0,False,false_cluster_injection,superlinear,4.64158883361278,4.64158883361278,6885dc046cf12125895e,0.66,1.0,pairwise_exact,34,46.87216658103186,561.0,0.028443903662264347,195,0.975,31,False,0,0.0,1,14.67,0.00014221951831132175,threshold_connected_components,200,561,0,0.0,main_surface,0,0.0,0.1896318268118889,18,13,32
1.0,False,measurement_corruption,superlinear,1.2115276586285884,1.2115276586285884,68904db2b2cc7339063a,0.0,1.0,pairwise_exact,32,181.01933598375618,496.0,0.08091100957244635,23,0.115,31,False,23,0.115,1,31.885,0.0004045550478622317,threshold_connected_components,200,496,23,0.115,main_surface,0,0.0,0.9060116851629152,16,32,32
1.0,False,false_cluster_injection,superlinear,8.254041852680187,8.254041852680187,68998e0ec38aac69ba37,0.0,1.0,pairwise_exact,4,2.8284271247461903,6.0,0.00914175994694233,199,0.995,1,False,0,0.0,1,3.83,4.5708799734711644e-05,threshold_connected_components,200,6,0,0.0,main_surface,0,0.0,0.1025143337020137,0,2,2
1.0,False,measurement_corruption,superlinear,0.6812920690579614,0.6812920690579614,68aa02cf23ed8edb7110,0.0,1.0,static_baseline,4,8.0,1.0,0.023172440007328987,4,0.02,3,False,4,0.02,1,3.98,0.00011586220003664493,threshold_connected_components,200,6,4,0.02,main_surface,0,0.0,0.9791534536756277,4,4,4
1.0,False,false_cluster_injection,linear,0.316227766016838,0.316227766016838,68ad7c5b9b0be6c0c245,0.0,1.0,pairwise_exact,18,16.0,153.0,0.010028146207332611,55,0.275,15,False,0,0.0,1,16.285,5.014073103666305e-05,threshold_connected_components,200,153,0,0.0,main_surface,0,0.0,0.8410460757345504,12,16,16
