k2,reproduction_rate,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,avg_transition_cost,yield_condition_met_count
0.0,0.055,9,False,True,False,19,300,0.0,0.0,878.4878987661101,299
0.0,0.055,7,False,True,False,23,300,0.0,0.0,882.9596278296964,299
0.0,0.055,8,False,True,False,48,300,0.0,0.0,879.9196481988985,299
0.0,0.055,12,False,True,False,65,300,0.0,0.0,878.263763693749,299
0.0,0.055,11,False,True,False,17,300,0.0,0.0,876.7836536187662,299
0.0,0.055,19,False,True,False,23,299,0.0,0.0,868.0678797836588,298
0.0,0.055,17,False,True,False,18,299,0.0,0.0,870.3495997451143,298
0.0,0.055,13,False,True,False,35,299,0.0,0.0,872.2814658376509,298
0.0,0.055,14,False,True,False,83,299,0.0,0.0,870.7460032833867,298
0.0,0.055,22,False,True,False,22,299,0.0,0.0,873.1267768629689,298
0.0,0.055,15,False,True,False,39,299,0.0,0.0,870.3114448096286,298
0.0,0.055,16,False,True,False,38,300,0.0,0.0,875.0920916361392,299
0.0,0.055,18,False,True,False,67,299,0.0,0.0,873.6163202213683,298
0.0,0.055,20,False,True,False,69,299,0.0,0.0,872.7384287406916,298
0.0,0.055,21,False,True,False,42,299,0.0,0.0,870.0043616739117,298
0.0,0.055,28,False,True,False,30,299,0.0,0.0,869.7638936484335,298
0.0,0.055,23,False,True,False,9,300,0.0,0.0,875.4789372052485,299
0.0,0.055,25,False,True,False,43,299,0.0,0.0,875.4200467821156,298
0.0,0.055,24,False,True,False,28,299,0.0,0.0,872.9099361572358,298
0.0,0.055,27,False,True,False,30,299,0.0,0.0,873.24082109321,298
0.0,0.055,26,False,True,False,44,299,0.0,0.0,875.0368356966289,298
0.0,0.055,29,False,True,False,27,299,0.0,0.0,870.3034793719427,298
0.0,0.055,30,False,True,False,48,300,0.0,0.0,877.5353915179442,299
0.0,0.055,35,False,True,False,35,300,0.0,0.0,876.9289130532699,299
0.0,0.055,31,False,True,False,39,299,0.0,0.0,870.8583088596646,298
0.0,0.055,33,False,True,False,20,299,0.0,0.0,873.9504068835475,298
0.0,0.055,32,False,True,False,42,300,0.0,0.0,876.1072778818353,299
0.0,0.055,34,False,True,False,53,299,0.0,0.0,872.6812509744369,298
0.0,0.055,36,False,True,False,12,299,0.0,0.0,875.0347982217672,298
0.0,0.055,37,False,True,False,24,300,0.0,0.0,879.204313585789,299
0.0,0.055,40,False,True,False,32,299,0.0,0.0,867.0043047502056,298
0.0,0.055,38,False,True,False,27,298,0.0,0.0,867.0734068427549,297
0.0,0.055,41,False,True,False,9,299,0.0,0.0,872.9173900858734,298
0.0,0.055,39,False,True,False,27,299,0.0,0.0,878.4369484508011,298
0.0,0.055,45,False,True,False,20,299,0.0,0.0,873.9504068835475,298
0.0,0.055,42,False,True,False,20,299,0.0,0.0,876.2732640340985,298
0.0,0.055,43,False,True,False,19,300,0.0,0.0,878.8648663435075,299
0.0,0.055,44,False,True,False,40,300,0.0,0.0,875.795827686236,299
0.0,0.055,47,False,True,False,60,299,0.0,0.0,871.2102838551084,298
0.0,0.055,49,False,True,False,65,299,0.0,0.0,875.9413449834093,298
0.0,0.055,46,False,True,False,11,299,0.0,0.0,874.8917292170956,298
0.0,0.055,48,False,True,False,22,299,0.0,0.0,873.1227005046451,298
0.0,0.058,1,False,True,False,130,300,0.0,0.0,877.2286642297195,299
0.0,0.058,0,False,True,False,94,299,0.0,0.0,871.2300676540054,298
0.0,0.058,8,False,True,False,33,300,0.0,0.0,878.0689733335046,299
0.0,0.058,2,False,True,False,65,299,0.0,0.0,875.6382040821095,298
0.0,0.058,4,False,True,False,52,300,0.0,0.0,880.6369660687421,299
0.0,0.058,3,False,True,False,114,299,0.0,0.0,872.8755165833417,298
0.0,0.058,5,False,True,False,107,299,0.0,0.0,875.7814431352863,298
