phi,alpha,reproduction_rate,survived,collapsed,extinct,final_population,final_avg_U_sys,final_avg_L_t
1.0,0.6714285714285714,0.14,True,False,False,891,2.70779877575901,0.42560974902942517
1.0,0.7857142857142857,0.07500000000000001,True,False,False,319,2.3629925479899874,0.2565275655625748
1.0,0.7857142857142857,0.08,True,False,False,310,2.376056692531782,0.26361126077036034
1.0,0.7857142857142857,0.08499999999999999,True,False,False,378,2.4287439965195365,0.2851240167408542
1.0,0.8999999999999999,0.04,False,True,True,0,0.0,0.0
1.0,0.7857142857142857,0.09,True,False,False,475,2.530789481119773,0.3379354949220842
1.0,0.8999999999999999,0.045,False,True,True,0,0.0,0.0
1.0,0.7857142857142857,0.095,True,False,False,510,2.515492055500876,0.33002225943124547
1.0,0.7857142857142857,0.1,True,False,False,637,2.587249965419957,0.3652916062146932
1.0,0.8999999999999999,0.05,False,True,True,0,0.0,0.0
1.0,0.7857142857142857,0.10500000000000001,True,False,False,658,2.5895088763249414,0.3663831107747089
1.0,0.7857142857142857,0.11000000000000001,True,False,False,641,2.5917552827868016,0.367558660363489
1.0,0.8999999999999999,0.055,False,True,True,0,0.0,0.0
1.0,0.8999999999999999,0.06,False,True,True,0,0.0,0.0
1.0,0.7857142857142857,0.12,True,False,False,792,2.6797078666717224,0.4117179681650375
1.0,0.7857142857142857,0.125,True,False,False,767,2.6443517603667956,0.3935985903802674
1.0,0.7857142857142857,0.11499999999999999,True,False,False,654,2.5989925456616736,0.37111800161352065
1.0,0.7857142857142857,0.13,True,False,False,834,2.628142192610298,0.38498304374321934
1.0,0.7857142857142857,0.14,True,False,False,848,2.6734537182607645,0.408223970149418
1.0,0.7857142857142857,0.135,True,False,False,815,2.661888751815913,0.4022967765372222
1.0,0.8999999999999999,0.07,False,True,False,104,0.0,0.0
1.0,0.8999999999999999,0.065,False,True,False,74,0.0,0.0
1.0,0.8999999999999999,0.08,True,False,False,348,2.406619591618314,0.27761317770823324
1.0,0.8999999999999999,0.07500000000000001,True,False,False,312,2.339076540364952,0.24538961903911605
1.0,1.0142857142857142,0.04,False,True,True,0,0.0,0.0
1.0,0.8999999999999999,0.08499999999999999,True,False,False,408,2.47534337872252,0.30808538352547016
1.0,1.0142857142857142,0.045,False,True,True,0,0.0,0.0
1.0,0.8999999999999999,0.09,True,False,False,467,2.4911494771885554,0.31504568735841787
1.0,1.0142857142857142,0.05,False,True,True,0,0.0,0.0
1.0,0.8999999999999999,0.095,True,False,False,503,2.503193562523953,0.3208281214917482
1.0,0.8999999999999999,0.10500000000000001,True,False,False,548,2.534352363247951,0.3391513733103523
1.0,0.8999999999999999,0.1,True,False,False,543,2.557418342234601,0.35083353473864276
1.0,1.0142857142857142,0.055,False,True,True,0,0.0,0.0
1.0,0.8999999999999999,0.11000000000000001,True,False,False,638,2.583361301853206,0.3632145621289759
1.0,1.0142857142857142,0.06,False,True,True,0,0.0,0.0
1.0,0.8999999999999999,0.11499999999999999,True,False,False,730,2.60534082859405,0.3737963742742182
1.0,0.8999999999999999,0.12,True,False,False,721,2.627886927370849,0.3852406815261453
1.0,1.0142857142857142,0.065,False,True,False,108,0.0,0.0
1.0,0.8999999999999999,0.125,True,False,False,768,2.643407168542999,0.3930432740692535
1.0,0.8999999999999999,0.14,True,False,False,842,2.674600092525666,0.40876686125652
1.0,0.8999999999999999,0.135,True,False,False,867,2.6609032761557456,0.40172765480295924
1.0,1.0142857142857142,0.07,False,True,False,110,0.0,0.0
1.0,0.8999999999999999,0.13,True,False,False,801,2.6717227576134115,0.4075254357463959
1.0,1.0142857142857142,0.07500000000000001,True,False,False,297,2.3422066536955084,0.24460005455650213
1.0,1.0142857142857142,0.08,True,False,False,277,2.326634984774045,0.24009772775330052
1.0,1.0142857142857142,0.08499999999999999,True,False,False,375,2.4352369793289266,0.2912694394806258
1.0,1.0142857142857142,0.09,True,False,False,436,2.4554709401225616,0.29789171623440486
1.0,1.1285714285714286,0.04,False,True,True,0,0.0,0.0
1.0,1.0142857142857142,0.095,True,False,False,561,2.5415066920775904,0.33960558353550363
1.0,1.1285714285714286,0.045,False,True,True,0,0.0,0.0
1.0,1.1285714285714286,0.05,False,True,True,0,0.0,0.0
1.0,1.0142857142857142,0.1,True,False,False,521,2.4926251063146423,0.3180610418968928
1.0,1.0142857142857142,0.10500000000000001,True,False,False,669,2.5770876230310304,0.35990099153776645
1.0,1.1285714285714286,0.055,False,True,True,0,0.0,0.0
1.0,1.1285714285714286,0.06,False,True,True,0,0.0,0.0
1.0,1.0142857142857142,0.11000000000000001,True,False,False,643,2.600929686177685,0.3720999316186142
1.0,1.1285714285714286,0.065,False,True,True,0,0.0,0.0
1.0,1.0142857142857142,0.11499999999999999,True,False,False,700,2.614281268527611,0.3788278439470449
1.0,1.0142857142857142,0.12,True,False,False,747,2.63589794414306,0.3893665093859005
1.0,1.0142857142857142,0.125,True,False,False,780,2.6530638751022293,0.39800178937190855
1.0,1.0142857142857142,0.13,True,False,False,823,2.638620187927297,0.38719894697966806
1.0,1.0142857142857142,0.135,True,False,False,823,2.6836553654443858,0.41356978131178534
1.0,1.0142857142857142,0.14,True,False,False,842,2.6590429931983457,0.40073887928830276
1.0,1.1285714285714286,0.07,False,True,False,150,0.0,0.0
1.0,1.1285714285714286,0.07500000000000001,True,False,False,229,2.2569237720381095,0.20785699404627106
1.0,1.1285714285714286,0.08,True,False,False,297,2.3831950261850396,0.26695227099933844
1.0,1.1285714285714286,0.08499999999999999,True,False,False,358,2.3895039102441027,0.2665263650199197
1.0,1.2428571428571429,0.04,False,True,True,0,0.0,0.0
1.0,1.1285714285714286,0.09,True,False,False,407,2.438808978992731,0.2898457668261005
1.0,1.1285714285714286,0.095,True,False,False,475,2.5054250656308463,0.32223293636804173
1.0,1.2428571428571429,0.045,False,True,True,0,0.0,0.0
1.0,1.2428571428571429,0.05,False,True,True,0,0.0,0.0
1.0,1.1285714285714286,0.1,True,False,False,549,2.569409926150686,0.3567860008728773
1.0,1.1285714285714286,0.10500000000000001,True,False,False,651,2.5796901948035504,0.36125425862962995
1.0,1.2428571428571429,0.055,False,True,True,0,0.0,0.0
1.0,1.1285714285714286,0.11000000000000001,True,False,False,687,2.6295156210648476,0.386512277510333
1.0,1.2428571428571429,0.06,False,True,True,0,0.0,0.0
1.0,1.1285714285714286,0.11499999999999999,True,False,False,685,2.6090279047833675,0.3761364235212564
1.0,1.1285714285714286,0.12,True,False,False,769,2.632686376705389,0.38762660207765365
1.0,1.2428571428571429,0.065,False,True,False,118,0.0,0.0
1.0,1.1285714285714286,0.125,True,False,False,759,2.662316610315431,0.4030392989136737
1.0,1.1285714285714286,0.13,True,False,False,788,2.6399522016633963,0.3910480501414705
1.0,1.2428571428571429,0.07,True,False,False,158,2.1480027284316536,0.1568748337458052
1.0,1.1285714285714286,0.14,True,False,False,845,2.6694359227224185,0.40616026616269335
1.0,1.1285714285714286,0.135,True,False,False,814,2.672360761245156,0.4076302049109029
1.0,1.2428571428571429,0.07500000000000001,True,False,False,188,2.2284173495794333,0.19274556712456384
1.0,1.2428571428571429,0.08,True,False,False,320,2.384143948469869,0.26702778079742107
1.0,1.2428571428571429,0.08499999999999999,True,False,False,356,2.439371510302969,0.2938590946796923
1.0,1.3571428571428572,0.04,False,True,True,0,0.0,0.0
1.0,1.2428571428571429,0.095,True,False,False,523,2.5333224068313696,0.3387082515784981
1.0,1.2428571428571429,0.09,True,False,False,465,2.4937184643464256,0.31909661225197866
1.0,1.3571428571428572,0.045,False,True,True,0,0.0,0.0
1.0,1.2428571428571429,0.10500000000000001,True,False,False,610,2.592682588846553,0.36820061935455345
1.0,1.2428571428571429,0.1,True,False,False,581,2.5553392284852783,0.34960949683203085
1.0,1.3571428571428572,0.05,False,True,True,0,0.0,0.0
1.0,1.3571428571428572,0.055,False,True,True,0,0.0,0.0
1.0,1.2428571428571429,0.11000000000000001,True,False,False,622,2.58971597977379,0.3666773239029445
1.0,1.3571428571428572,0.06,False,True,True,0,0.0,0.0
1.0,1.2428571428571429,0.11499999999999999,True,False,False,698,2.6026914971281223,0.37271931595685337
1.0,1.2428571428571429,0.12,True,False,False,746,2.6463641455703195,0.3947374237424528
1.0,1.2428571428571429,0.125,True,False,False,839,2.6652295269457533,0.40392791173085085
1.0,1.3571428571428572,0.065,False,True,False,3,0.0,0.0
1.0,1.2428571428571429,0.135,True,False,False,846,2.6735171821068384,0.4081660315484121
1.0,1.2428571428571429,0.13,True,False,False,821,2.6671037129518114,0.40186384987744034
1.0,1.3571428571428572,0.07,False,True,False,112,0.0,0.0
