wb_repro_floor,wb_repro_threshold,phi,reproduction_rate,alpha,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,final_avg_well_being,total_births,total_deaths
0.0,0.5,5.0,0.066,1.0,7,True,False,False,348,11,5.298122849601575,0.12193833536129225,0.7985450568025954,3507,3359
0.0,0.5,5.0,0.066,1.0,5,True,False,False,319,11,4.9166634382328605,0.11240112901920898,0.7964490811464227,3732,3613
0.0,0.5,5.0,0.066,1.0,3,True,False,False,418,11,6.44107518384286,0.15051430445537045,0.8014631415926061,4530,4312
0.0,0.5,5.0,0.066,1.0,6,True,False,False,259,11,3.993207226968527,0.08931297800724522,0.7940551810865937,4130,4071
0.0,0.5,5.0,0.066,1.0,10,True,False,False,323,11,4.924016285745482,0.11258496416332238,0.8137853952157454,3724,3601
0.0,0.5,5.0,0.066,1.0,9,True,False,False,424,11,6.342538191758554,0.14805069335622084,0.8105634317153196,4272,4048
0.0,0.5,5.0,0.066,1.0,8,True,False,False,334,11,5.116253219627524,0.1173912509243051,0.8211871132544237,4346,4212
0.0,0.5,5.0,0.066,1.0,11,True,False,False,311,11,5.0488254739308775,0.11570542967821318,0.8069269852736273,4297,4186
0.0,0.5,5.0,0.066,1.0,12,True,False,False,343,11,5.653331860602632,0.13081923216409144,0.8092797737687663,4499,4356
0.0,0.5,5.0,0.066,1.0,13,True,False,False,426,11,6.6712130434337,0.1562681859263076,0.7999199804507366,4849,4623
0.0,0.5,5.0,0.066,1.0,14,True,False,False,367,11,5.599346185203184,0.129469488137454,0.812237317204014,4223,4056
0.0,0.5,5.0,0.069,1.0,0,True,False,False,534,11,8.020003295433076,0.18999049188995393,0.806153726925881,5279,4945
0.0,0.5,5.0,0.069,1.0,2,True,False,False,441,11,6.86630513542832,0.1611458569801574,0.7958456479076309,4293,4052
0.0,0.5,5.0,0.069,1.0,1,True,False,False,542,11,8.25772452023875,0.19593397180760846,0.809449347812534,5729,5387
0.0,0.5,5.0,0.069,1.0,3,True,False,False,543,11,8.309348272344975,0.1972246633404619,0.8042055944351525,4838,4495
