reproduction_rate,alpha,successor_capability,phi,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
0.062,0.1,4.0,10.0,False,True,False,176,17,4.755115053747708,85.26279264521231,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,126,17,4.77587248634479,83.27914556491281,0.0,0.0
0.062,0.1,4.0,10.0,True,False,False,234,17,4.804182371881527,84.78900822642582,7.095181416035873,0.0834340985639832
0.062,0.1,9.0,10.0,False,True,False,125,15,4.786689742355954,84.25198541162248,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,162,15,4.843114265658605,85.1113098205713,0.0,0.0
0.062,0.1,4.0,10.0,True,False,False,183,17,4.841203940979376,85.18933818663515,5.658048312405451,0.06546857664441157
0.062,0.1,4.0,10.0,True,False,False,232,17,4.770714366511226,84.05841405678224,7.4341580301627985,0.08767162685003035
0.062,0.1,9.0,10.0,False,True,False,83,15,4.791422290801655,82.65161635125203,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,124,15,4.843418600737353,84.48676730958516,0.0,0.0
0.062,0.1,9.0,10.0,True,False,False,161,15,4.73418592174917,82.74251770806876,4.8875376436394,0.05583646489728107
0.062,0.1,9.0,10.0,True,False,False,241,15,4.791535505505363,84.61824211532593,7.317156374041867,0.08620899552445681
0.062,0.1,9.0,10.0,False,True,False,135,15,4.803361267684855,84.56986771537069,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,124,15,4.795415081056123,83.06002540978939,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,168,15,4.798625606662895,84.94417154221661,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,106,15,4.787815757902985,86.40241806975258,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,97,15,4.762744713833872,81.96531285561238,0.0,0.0
0.062,0.1,9.0,10.0,True,False,False,258,15,4.797153366394294,84.15969335588366,7.843017775368375,0.09278276006331691
0.062,0.1,9.0,10.0,False,True,False,146,15,4.843508766000594,84.69487093743317,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,125,15,4.802150144286648,84.86202428158656,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,167,15,4.862360874732817,85.74169654116902,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,101,15,4.829064631672584,84.84925320882974,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,151,15,4.817645707870922,84.08412449085907,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,120,15,4.78723243219682,82.2439925182826,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,173,15,4.859597322153649,85.71724589726128,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,165,15,4.8100225722049395,83.53596187235216,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,127,15,4.7911418511402974,84.46858072964625,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,133,15,4.818708235419419,84.85861822636603,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,141,15,4.763412925077182,82.18994301068365,0.0,0.0
