phi,shock_magnitude,wb_repro_floor,wb_repro_threshold,shock_step,reproduction_rate,alpha,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,final_avg_well_being,pre_shock_avg_well_being,post_shock_avg_well_being,recovery_avg_well_being_step_150,recovery_avg_well_being_step_200,shock_deaths,total_births_post_shock,total_deaths_post_shock
1.0,0.4,0.0,0.5,100,0.066,1.0,14,True,False,False,285,10,1.1948178558973443,0.09673976560283751,0.8032895376336121,0.8025682828521519,0.4080498145847824,0.8137283794613465,0.7927578916084477,32,2677,2774
1.0,0.4,0.5,0.5,100,0.066,1.0,0,False,True,False,103,10,0.0,0.0,0.8114520023995953,0.803329695579034,0.40680798411457036,0.7940246058545622,0.7920695857447837,19,941,1055
1.0,0.4,0.5,0.5,100,0.066,1.0,1,False,True,False,121,10,0.0,0.0,0.8273823174111248,0.8177200709439058,0.4148408937442997,0.7720195649188346,0.8156029562651228,20,1373,1487
1.0,0.4,0.5,0.5,100,0.066,1.0,4,False,True,False,96,10,0.0,0.0,0.8062090359757281,0.8027869425247065,0.40397530900496903,0.822716385615002,0.7960833239156909,21,846,995
1.0,0.4,0.5,0.5,100,0.066,1.0,3,False,True,False,182,10,0.0,0.0,0.7946060492867015,0.8121456680491702,0.4020863269808518,0.7856465812643862,0.8119634522159189,24,1654,1761
1.0,0.4,0.5,0.5,100,0.066,1.0,2,True,False,False,291,10,1.2213124387714551,0.10005183891624318,0.8130519073210172,0.8234034672035802,0.4253158357028523,0.8183250821507286,0.8180683621676559,19,1802,1736
1.0,0.4,0.5,0.5,100,0.066,1.0,7,False,True,False,147,10,0.0,0.0,0.7796116324989725,0.8097231867166836,0.4035192633256468,0.7970990654216447,0.8008803754087122,16,975,1028
1.0,0.4,0.5,0.5,100,0.066,1.0,5,False,True,False,79,10,0.0,0.0,0.7755388140730866,0.8005558723512176,0.40430602942388955,0.8138614832477044,0.8063914344077688,25,723,930
1.0,0.4,0.5,0.5,100,0.066,1.0,8,False,True,False,81,10,0.0,0.0,0.824099974345291,0.8013523487112971,0.3924949833900697,0.7682394387817253,0.7879002615346858,18,805,939
1.0,0.4,0.5,0.5,100,0.066,1.0,6,False,True,False,186,10,0.0,0.0,0.8154325894777618,0.8104412059513323,0.4183977748675362,0.8069191453926405,0.8142484360926395,34,1672,1888
