rr,phi,alpha,seed,successor_cap,termination_reason,steps_run,population_final,ai_generation_final,L_t_final,U_sys_final,integral_U_sys,u_sys_tail_estimate,u_sys_total_estimate
0.05,10.0,0.5,3,50.0,extinction,340,0,37,0.0014109789763874262,0.14345271156267125,115312.68806938984,10.112413554510862,115322.80048294435
0.05,10.0,0.5,3,25.0,extinction,311,0,50,0.0001,0.1381472826642934,64146.008895013205,13.514728971145956,64159.52362398435
0.05,10.0,0.5,4,5.0,extinction,230,0,40,0.0001,0.3067977161229309,15474.28289312313,30.379773244733173,15504.662666367863
0.05,10.0,0.5,4,10.0,extinction,230,0,43,0.0024922045785530354,0.37855344248499173,30970.31636206932,30.378969099630726,31000.69533116895
0.05,10.0,0.5,4,25.0,extinction,241,0,56,0.0001,0.27515356041880656,75543.687999458,27.215356368370095,75570.90335582636
0.05,10.0,0.5,4,50.0,extinction,279,0,35,0.0001,0.189115331690469,110252.3780192128,18.61153347115051,110270.98955268395
0.05,10.0,0.5,4,100.0,extinction,288,0,14,0.002500084705763966,0.2450914555046874,84600.0744996459,17.009132121550877,84617.08363176744
0.05,10.0,1.0,0,5.0,extinction,277,0,45,0.0001,0.19287440524207014,17452.265526140167,18.987441923821418,17471.25296806399
0.05,10.0,1.0,0,25.0,extinction,249,0,52,0.0001,0.2542268944531797,74988.2684491951,25.122692728557883,75013.39114192365
0.05,10.0,1.0,1,5.0,extinction,161,0,36,0.0024180095692233196,0.6781793564448422,15677.101891133945,60.56444689661888,15737.666338030564
0.05,10.0,1.0,1,10.0,extinction,161,0,41,0.0001,0.6086869263196086,31519.202859997913,60.56869392703699,31579.77155392495
0.05,10.0,1.0,0,10.0,extinction,277,0,51,0.0001,0.19287469302061616,35328.09071415882,18.987470254062664,35347.07818441288
0.05,10.0,0.5,3,100.0,extinction,435,0,20,0.0012294324973011325,0.07599124175855665,102574.87947948732,3.910890641933572,102578.79037012925
0.05,10.0,1.0,0,100.0,extinction,219,0,6,0.0009000000000000001,0.36605138164502043,50698.66981190224,33.90567805652365,50732.57548995876
0.05,10.0,1.0,0,50.0,extinction,358,0,30,0.0001,0.08746750552795308,117298.17264578569,8.446750743196,117306.61939652888
0.05,10.0,1.0,1,25.0,extinction,332,0,56,0.0009000000000000001,0.13652121701781764,76136.9019964799,10.95266159380336,76147.8546580737
0.05,10.0,1.0,3,5.0,extinction,268,0,46,0.0001,0.2107555291025497,17774.639516468735,20.77555454269506,17795.41507101143
0.05,10.0,1.0,2,5.0,extinction,320,0,49,0.00037281834790133667,0.13469723546575324,19670.817518138538,12.35129281315962,19683.168810951698
0.05,10.0,1.0,3,10.0,extinction,268,0,52,0.0001,0.21075576610824262,36017.148126280896,20.775577905900384,36037.9237041868
0.05,10.0,1.0,2,10.0,extinction,320,0,56,0.0001,0.1265142378560611,40208.64985925645,12.351427045981126,40221.00128630243
0.05,10.0,1.0,1,100.0,extinction,448,0,7,0.0009000000000000001,0.12839843106663443,52840.52468150411,7.1883146221991625,52847.71299612631
0.05,10.0,1.0,2,25.0,extinction,443,0,58,0.0001,0.039102498589787045,72700.07299031822,3.610251380083899,72703.68324169831
0.05,10.0,1.0,1,50.0,extinction,448,0,29,0.0009000000000000001,0.06132968161519409,99222.64403477182,3.4335080535410047,99226.07754282535
0.05,10.0,1.0,2,100.0,extinction,430,0,5,0.0009000000000000001,0.06810115566096263,35971.970936071884,4.1106554581178605,35976.081591530005
0.05,10.0,1.0,2,50.0,extinction,468,0,28,0.0001,0.03111675059195781,84338.60377273217,2.811675618273621,84341.41544835044
0.05,10.0,1.0,3,25.0,extinction,304,0,57,0.0001,0.14794669534397228,74971.94869152232,14.494669978544842,74986.44336150087
0.05,10.0,1.0,4,10.0,extinction,230,0,43,0.0011011593837218846,0.33682341833253365,30970.295497057243,30.378969099630726,31000.674466156874
0.05,10.0,1.0,4,5.0,extinction,230,0,40,0.0001,0.3067977161229309,15474.28289312313,30.379773244733173,15504.662666367863
0.05,10.0,1.0,3,50.0,extinction,406,0,27,0.0001,0.05526636255488349,85577.51438175957,5.2266403883084225,85582.74102214788
0.05,10.0,1.0,4,50.0,extinction,326,0,26,0.002381849160393846,0.1877677655807725,94575.94558618101,11.631622269639706,94587.57720845065
0.05,10.0,1.0,3,100.0,extinction,362,0,6,0.0009000000000000001,0.10813391381628798,44189.592704263225,8.113931273650394,44197.70663553687
0.05,10.0,1.0,4,100.0,extinction,531,0,6,0.0009000000000000001,0.041966388443042034,45313.05424481562,1.4971787363257998,45314.551423551944
0.05,10.0,2.0,0,5.0,extinction,277,0,45,0.0001,0.19287440524207014,17452.265526140167,18.987441923821418,17471.25296806399
0.05,10.0,2.0,0,25.0,extinction,282,0,55,0.0001,0.38067138767700054,79668.37725621877,37.44517743285242,79705.82243365161
0.05,10.0,2.0,0,10.0,extinction,277,0,51,0.0001,0.1928748551594466,35322.28156717904,18.9874862157535,35341.26905339479
0.05,10.0,2.0,1,5.0,extinction,161,0,36,0.0024180095692233196,0.6781793564448422,15677.101891133945,60.56444689661888,15737.666338030564
0.05,10.0,1.0,4,25.0,extinction,374,0,65,0.000776801941428535,0.0952799405511461,89218.37687468757,7.197652437597615,89225.57452712517
0.05,10.0,2.0,1,100.0,extinction,161,0,1,0.0009000000000000001,0.632563041375691,1158.0776389576076,60.55684402959069,1218.6344829871982
0.05,10.0,2.0,1,10.0,extinction,161,0,41,0.0001,0.6086869263196086,31519.202859997913,60.56869392703699,31579.77155392495
0.05,10.0,2.0,0,50.0,extinction,346,0,12,0.0001,0.09823681020845453,45094.88091796637,9.523681322949061,45104.40459928932
0.05,10.0,2.0,0,100.0,extinction,277,0,1,0.0009000000000000001,0.21683193869118386,1314.844934622891,18.983733761139984,1333.828668384031
0.05,10.0,2.0,2,50.0,extinction,172,0,8,0.0001,0.5455954961991956,41310.31419295686,54.259550654557316,41364.573743611414
0.05,10.0,2.0,3,5.0,extinction,268,0,46,0.0001,0.2107555291025497,17774.639516468735,20.77555454269506,17795.41507101143
0.05,10.0,2.0,2,10.0,extinction,320,0,56,0.0001,0.1265142378560611,40208.6181629965,12.351427045981126,40220.96959004248
0.05,10.0,2.0,1,25.0,extinction,356,0,59,0.0001,0.08917330388014523,78254.23562730482,8.617332457282913,78262.85295976211
0.05,10.0,2.0,3,10.0,extinction,268,0,52,0.0001,0.21075576610824262,36017.10666657926,20.775577905900384,36037.88224448516
0.05,10.0,2.0,2,5.0,extinction,320,0,49,0.0001,0.12651286292480463,19670.813425952267,12.35129281315962,19683.164718765427
0.05,10.0,2.0,1,50.0,extinction,347,0,14,0.002497133384306002,0.16919242823027364,63748.92984484903,9.428323463168695,63758.358168312196
0.05,10.0,2.0,2,100.0,extinction,320,0,1,0.0009000000000000001,0.15048551571406038,1435.7498806317515,12.349091463427635,1448.098972095179
0.05,10.0,2.0,4,5.0,extinction,230,0,40,0.0001,0.3067977161229309,15474.28289312313,30.379773244733173,15504.662666367863
