rr,phi,alpha,seed,termination_reason,steps_run,population_final,ai_generation_final,L_t_final,U_sys_final,integral_U_sys,u_sys_tail_estimate,u_sys_total_estimate
0.05,15.0,2.0,1,extinction,161,0,39,0.0004369407337380467,0.6253287739227971,19014.50852571257,60.56671676267287,19075.075242475243
0.05,15.0,0.5,2,extinction,320,0,55,0.002226834613612513,0.22371709201690226,24460.295549435676,12.351225697842976,24472.64677513352
0.05,15.0,1.0,0,extinction,277,0,50,0.0001,0.1943741715365892,21456.296668486095,18.98741977793287,21475.284088264027
0.05,15.0,1.0,4,extinction,230,0,43,0.00013706491769190806,0.30996199908980077,18918.459571160947,30.379418341091696,18948.838989502037
0.05,15.0,1.0,3,extinction,268,0,51,0.0001,0.21225523219539108,21946.755262450166,20.775526280360108,21967.530788730524
0.05,15.0,2.0,4,extinction,230,0,43,0.0001,0.30829410635454557,18918.45873721458,30.379418341091696,18948.83815555567
0.05,15.0,1.0,2,extinction,320,0,55,0.0007485045614311891,0.1571940471056636,24460.26228791322,12.351225697842976,24472.613513611064
0.05,15.0,2.0,0,extinction,277,0,50,0.0001,0.1943741715365892,21456.296668486095,18.98741977793287,21475.284088264027
0.05,15.0,2.0,3,extinction,268,0,51,0.0001,0.21225523219539108,21946.755262450166,20.775526280360108,21967.530788730524
0.055,5.0,0.5,0,extinction,270,0,28,0.0009000000000000001,0.21709939823563718,6659.28323235609,20.360209769574517,6679.6434421256645
0.05,15.0,2.0,2,extinction,320,0,55,0.0001,0.1280121347163599,24460.247696957027,12.351225697842976,24472.59892265487
0.055,5.0,1.0,0,extinction,270,0,28,0.0009000000000000001,0.21709939823563718,6659.28323235609,20.360209769574517,6679.6434421256645
0.055,5.0,0.5,3,extinction,321,0,34,0.0009000000000000001,0.13575946004308997,8003.462809528781,12.2262159503198,8015.689025479101
0.055,5.0,0.5,4,extinction,335,0,35,0.0009000000000000001,0.11978691578163957,8596.392404171755,10.628961524174757,8607.02136569593
0.055,5.0,0.5,2,extinction,397,0,30,0.0009000000000000001,0.07067520783326825,7195.162208802719,5.717790729337623,7200.879999532057
0.055,5.0,1.0,3,extinction,321,0,34,0.0009000000000000001,0.13575946004308997,8003.462809528781,12.2262159503198,8015.689025479101
0.055,5.0,2.0,0,extinction,270,0,28,0.0009000000000000001,0.21709939823563718,6659.28323235609,20.360209769574517,6679.6434421256645
0.055,5.0,1.0,4,extinction,335,0,35,0.0009000000000000001,0.11978691578163957,8596.392404171755,10.628961524174757,8607.02136569593
0.055,5.0,1.0,2,extinction,397,0,30,0.0009000000000000001,0.07067520783326825,7195.162208802719,5.717790729337623,7200.879999532057
0.055,10.0,0.5,0,extinction,270,0,43,0.0001,0.20664178490635982,13992.42921514789,20.36417999062848,14012.793395138518
0.055,5.0,2.0,3,extinction,321,0,34,0.0009000000000000001,0.13575946004308997,8003.462809528781,12.2262159503198,8015.689025479101
0.055,5.0,2.0,4,extinction,335,0,35,0.0009000000000000001,0.11978691578163957,8596.392404171755,10.628961524174757,8607.02136569593
0.055,5.0,2.0,2,extinction,397,0,30,0.0009000000000000001,0.07067520783326825,7195.162208802719,5.717790729337623,7200.879999532057
0.055,5.0,0.5,1,extinction,644,0,40,0.0009000000000000001,0.018333685766306788,9529.765525546336,0.4836385226414767,9530.249164068977
0.055,10.0,1.0,0,extinction,270,0,43,0.0001,0.20664178490635982,13992.42921514789,20.36417999062848,14012.793395138518
0.055,10.0,0.5,3,extinction,321,0,50,0.0012191592829691631,0.15883793915783959,17157.157212177946,12.226855987161166,17169.38406816511
0.055,10.0,0.5,4,extinction,335,0,54,0.002631518154463596,0.1852437468337046,18653.23541890242,10.63036018304534,18663.865779085463
0.055,5.0,1.0,1,extinction,644,0,40,0.0009000000000000001,0.018333685766306788,9529.765525546336,0.4836385226414767,9530.249164068977
0.055,10.0,0.5,2,extinction,397,0,51,0.0028036387334072267,0.14129140054099998,16081.624618485523,5.718646745650891,16087.343265231173
