dependency_rate,capture_strength,rotation_interval,defense_active,defense_mode,seed,survived,collapsed,extinct,final_population,final_ai_generation,avg_validator_dependency,max_validator_dependency,yield_condition_met_count,yield_condition_blocked_count,capture_rate,final_avg_U_sys,final_avg_L_t
0.02,0.7,10,True,both,1292228746,True,False,False,546,218,0.09,0.18,247,30,0.1214574898785425,1.5788481982535268e+40,3.1576995736540687e+38
0.02,0.7,10,True,both,945566305,True,False,False,551,257,0.09,0.18,282,26,0.09219858156028368,1.198117521746235e+47,2.3962374531215788e+45
0.02,0.7,10,True,both,351718184,True,False,False,479,216,0.09,0.18,240,25,0.10416666666666667,6.678463707920384e+39,1.3356940855865734e+38
0.02,0.7,20,True,rotation_only,1214424284,True,False,False,466,236,0.26999999999999996,0.38000000000000006,282,47,0.16666666666666666,2.0033171208299879e+43,4.006638274543589e+41
0.02,0.7,10,True,both,78264127,True,False,False,491,233,0.09,0.18,263,31,0.11787072243346007,6.363973727305463e+42,1.272796026589219e+41
0.02,0.7,10,True,both,1327535589,True,False,False,480,258,0.09,0.18,282,25,0.08865248226950355,1.4452335965022708e+47,2.8904701023673406e+45
0.02,0.7,10,True,both,2125669354,True,False,False,533,254,0.09,0.18,280,27,0.09642857142857143,3.216311238225318e+46,6.432628948876764e+44
0.02,0.7,20,True,rotation_only,1296963142,True,False,False,590,232,0.26999999999999996,0.38000000000000006,280,49,0.175,6.03510550515357e+42,1.2070223149779209e+41
0.02,0.7,20,True,rotation_only,8283418,True,False,False,500,225,0.26999999999999996,0.38000000000000006,273,49,0.1794871794871795,2.9736922221944705e+41,5.947390426397346e+39
0.02,0.7,20,True,rotation_only,686135343,True,False,False,486,193,0.26999999999999996,0.38000000000000006,233,41,0.1759656652360515,8.25545171598197e+35,1.6510920029397066e+34
0.02,0.7,20,True,rotation_only,115135419,True,False,False,508,211,0.26999999999999996,0.38000000000000006,266,56,0.21052631578947367,1.022505409284053e+39,2.0450128767684683e+37
0.02,0.7,20,True,rotation_only,100905866,True,False,False,496,242,0.26999999999999996,0.38000000000000006,282,41,0.1453900709219858,3.4013581647006963e+44,6.802723173914617e+42
0.02,0.7,20,True,rotation_only,301255263,True,False,False,502,239,0.26999999999999996,0.38000000000000006,282,44,0.15602836879432624,7.417327154627939e+43,1.483466922369514e+42
0.02,0.7,20,True,rotation_only,697961761,True,False,False,473,220,0.26999999999999996,0.38000000000000006,272,53,0.1948529411764706,4.733011879452172e+40,9.466033279899994e+38
0.02,0.7,20,True,rotation_only,732241443,True,False,False,448,212,0.26999999999999996,0.38000000000000006,266,55,0.20676691729323307,1.701511782904395e+39,3.4030269894793704e+37
0.02,0.7,20,True,rotation_only,555942945,True,False,False,526,211,0.26999999999999996,0.38000000000000006,258,48,0.18604651162790697,1.094362725427144e+39,2.1887276516692664e+37
0.02,0.7,20,True,rotation_only,729593610,True,False,False,460,236,0.26999999999999996,0.38000000000000006,285,50,0.17543859649122806,1.9390591993940297e+43,3.87812230003298e+41
0.02,0.7,20,True,rotation_only,1997572569,True,False,False,510,229,0.26999999999999996,0.38000000000000006,285,57,0.2,1.2396552265376478e+42,2.479312948320557e+40
0.02,0.7,20,True,rotation_only,1569478330,True,False,False,486,234,0.26999999999999996,0.38000000000000006,280,47,0.16785714285714284,1.0999067942783467e+43,2.1998158016802025e+41
0.02,0.7,20,True,rotation_only,321711518,True,False,False,537,193,0.26999999999999996,0.38000000000000006,251,59,0.2350597609561753,6.611944174713427e+35,1.32239016466518e+34
0.02,0.7,20,True,rotation_only,456151178,True,False,False,528,244,0.26999999999999996,0.38000000000000006,281,38,0.13523131672597866,6.083629511917346e+44,1.2167271262357462e+43
0.02,0.7,20,True,rotation_only,877793138,True,False,False,483,225,0.26999999999999996,0.38000000000000006,277,53,0.19133574007220217,2.826218258027127e+41,5.652442198186851e+39
0.02,0.7,20,True,rotation_only,831990043,True,False,False,466,234,0.26999999999999996,0.38000000000000006,281,48,0.1708185053380783,9.439168656875216e+42,1.8878356308217076e+41
0.02,0.7,20,True,rotation_only,1265677175,True,False,False,564,230,0.26999999999999996,0.38000000000000006,276,47,0.17028985507246377,2.5110587681826438e+42,5.022122583378698e+40
0.02,0.7,20,True,rotation_only,284621561,True,False,False,562,231,0.26999999999999996,0.38000000000000006,286,56,0.1958041958041958,3.369984703646108e+42,6.739976184304749e+40
0.02,0.7,20,True,rotation_only,1930580783,True,False,False,560,222,0.26999999999999996,0.38000000000000006,268,47,0.17537313432835822,1.4956152526152609e+41,2.9912335120365624e+39
0.02,0.7,20,True,rotation_only,1269692119,True,False,False,478,227,0.26999999999999996,0.38000000000000006,276,50,0.18115942028985507,6.0702737418919815e+41,1.214055970860611e+40
0.02,0.7,20,True,rotation_only,1700522728,True,False,False,523,227,0.26999999999999996,0.38000000000000006,280,54,0.19285714285714287,7.911977482831942e+41,1.582397087112837e+40
0.02,0.7,20,True,rotation_only,2074498321,True,False,False,500,230,0.26999999999999996,0.38000000000000006,277,48,0.17328519855595667,2.0370987200466118e+42,4.0742015381423686e+40
0.02,0.7,20,True,rotation_only,596314494,True,False,False,508,221,0.26999999999999996,0.38000000000000006,263,43,0.1634980988593156,5.053055798141268e+40,1.0106121757004875e+39
0.02,0.7,20,True,rotation_only,107789256,True,False,False,541,224,0.26999999999999996,0.38000000000000006,276,53,0.19202898550724637,2.5387256640650614e+41,5.077456431067895e+39
0.02,0.7,20,True,rotation_only,877556318,True,False,False,513,231,0.26999999999999996,0.38000000000000006,279,49,0.17562724014336917,3.707575470067066e+42,7.415158394168007e+40
0.02,0.7,20,True,rotation_only,388952341,True,False,False,539,229,0.26999999999999996,0.38000000000000006,279,51,0.1827956989247312,2.1165748556066578e+42,4.23315396798429e+40
0.02,0.7,20,True,rotation_only,1369923169,True,False,False,499,228,0.26999999999999996,0.38000000000000006,272,45,0.16544117647058823,1.0228763799511157e+42,2.0457548192178682e+40
0.02,0.7,20,True,rotation_only,1731346622,True,False,False,486,212,0.26999999999999996,0.38000000000000006,246,35,0.14227642276422764,1.2053354985018391e+39,2.410673424743881e+37
0.02,0.7,20,True,rotation_only,2121245667,True,False,False,521,234,0.26999999999999996,0.38000000000000006,288,55,0.1909722222222222,1.4633774693410326e+43,2.9267578810098097e+41
0.02,0.7,20,True,rotation_only,1407919141,True,False,False,528,230,0.26999999999999996,0.38000000000000006,278,49,0.17625899280575538,1.9652026133212305e+42,3.93040917635861e+40
0.02,0.7,20,True,rotation_only,1753854640,True,False,False,430,220,0.26999999999999996,0.38000000000000006,280,61,0.21785714285714286,4.0051529686014995e+40,8.010313997883883e+38
0.02,0.7,20,True,rotation_only,863368052,True,False,False,517,243,0.26999999999999996,0.38000000000000006,286,44,0.15384615384615385,5.128372840914171e+44,1.0256756001565853e+43
0.02,0.7,20,True,rotation_only,240165802,True,False,False,476,224,0.26999999999999996,0.38000000000000006,278,55,0.19784172661870503,2.472204350495305e+41,4.9444136746503337e+39
0.02,0.7,20,True,rotation_only,70418995,True,False,False,486,219,0.26999999999999996,0.38000000000000006,272,54,0.19852941176470587,2.5811671793905995e+40,5.162339553204393e+38
0.02,0.7,20,True,rotation_only,394544636,True,False,False,485,222,0.26999999999999996,0.38000000000000006,279,58,0.2078853046594982,7.854288893680477e+40,1.5708593612516544e+39
0.02,0.7,20,True,rotation_only,2112352624,True,False,False,484,238,0.26999999999999996,0.38000000000000006,274,37,0.13503649635036497,5.784181174201224e+43,1.1568373980650756e+42
0.02,0.7,20,True,rotation_only,727751050,True,False,False,438,212,0.26999999999999996,0.38000000000000006,272,61,0.22426470588235295,1.8021770952423347e+39,3.6043578165676346e+37
0.02,0.7,20,True,rotation_only,927419933,True,False,False,493,232,0.26999999999999996,0.38000000000000006,283,52,0.18374558303886926,4.867735193475002e+42,9.735480173839564e+40
0.02,0.7,20,True,rotation_only,1151227013,True,False,False,433,233,0.26999999999999996,0.38000000000000006,270,38,0.14074074074074075,5.439605590996086e+42,1.0879222127006392e+41
0.02,0.7,20,True,rotation_only,2026106669,True,False,False,512,196,0.26999999999999996,0.38000000000000006,251,56,0.22310756972111553,2.832626282494222e+36,5.665258258528493e+34
0.02,0.7,20,True,rotation_only,662905746,True,False,False,532,242,0.26999999999999996,0.38000000000000006,286,45,0.15734265734265734,2.696001244881887e+44,5.392007915740767e+42
0.02,0.7,20,True,rotation_only,1259840415,True,False,False,466,235,0.26999999999999996,0.38000000000000006,284,50,0.176056338028169,1.4250150545748072e+43,2.85003298080008e+41
0.02,0.7,20,True,rotation_only,1938027991,True,False,False,470,219,0.26999999999999996,0.38000000000000006,271,53,0.19557195571955718,2.1240182470185442e+40,4.248040766004326e+38
0.02,0.7,20,True,rotation_only,1708323680,True,False,False,500,239,0.26999999999999996,0.38000000000000006,278,40,0.14388489208633093,7.537296614888551e+43,1.507460840005066e+42
0.02,0.7,20,True,rotation_only,1382771670,True,False,False,503,207,0.26999999999999996,0.38000000000000006,252,46,0.18253968253968253,1.6819541320929361e+38,3.363911650218873e+36
0.02,0.7,20,True,rotation_only,1050216600,True,False,False,460,234,0.26999999999999996,0.38000000000000006,271,38,0.14022140221402213,8.511548457219911e+42,1.7023114057905997e+41
0.02,0.7,20,True,monitoring_only,1049273871,True,False,False,496,185,0.45000000000000007,0.5800000000000002,251,67,0.26693227091633465,2.8547840805786715e+34,5.709573902490832e+32
0.02,0.7,20,True,rotation_only,1194751135,True,False,False,483,229,0.26999999999999996,0.38000000000000006,275,47,0.1709090909090909,1.2962502516289072e+42,2.592503113799768e+40
0.02,0.7,20,True,rotation_only,1698073240,True,False,False,557,216,0.26999999999999996,0.38000000000000006,268,53,0.19776119402985073,9.821371677143755e+39,1.9642763104438867e+38
0.02,0.7,20,True,rotation_only,817568827,True,False,False,531,225,0.26999999999999996,0.38000000000000006,278,54,0.19424460431654678,2.8225459788945663e+41,5.645097638934577e+39
0.02,0.7,20,True,monitoring_only,1131415831,True,False,False,475,213,0.45000000000000007,0.5800000000000002,272,60,0.22058823529411764,1.8343418729694712e+39,3.6686874394999697e+37
0.02,0.7,20,True,monitoring_only,1357460798,True,False,False,533,192,0.45000000000000007,0.5800000000000002,273,82,0.30036630036630035,6.199284515783709e+35,1.2398581503248606e+34
0.02,0.7,20,True,monitoring_only,1491850439,True,False,False,533,203,0.45000000000000007,0.5800000000000002,275,73,0.26545454545454544,4.0159008611985336e+37,8.03180980092831e+35
0.02,0.7,20,True,monitoring_only,298848465,True,False,False,477,199,0.45000000000000007,0.5800000000000002,277,79,0.2851985559566787,6.437576735950122e+36,1.287516642346518e+35
0.02,0.7,20,True,monitoring_only,795266450,True,False,False,500,172,0.45000000000000007,0.5800000000000002,240,69,0.2875,1.5622090350683898e+32,3.12442121071056e+30
0.02,0.7,20,True,monitoring_only,7542547,True,False,False,498,203,0.45000000000000007,0.5800000000000002,283,81,0.2862190812720848,4.2466776211706627e+37,8.493363780123156e+35
0.02,0.7,20,True,monitoring_only,736575214,True,False,False,472,206,0.45000000000000007,0.5800000000000002,282,77,0.2730496453900709,3.417975204711349e+38,6.83595728789616e+36
0.02,0.7,20,True,monitoring_only,1431095073,True,False,False,492,210,0.45000000000000007,0.5800000000000002,283,74,0.26148409893992935,9.891774206619754e+38,1.978356831632313e+37
0.02,0.7,20,True,monitoring_only,279275593,True,False,False,467,192,0.45000000000000007,0.5800000000000002,265,74,0.2792452830188679,5.463750395161303e+35,1.0927511789071063e+34
0.02,0.7,20,True,monitoring_only,164515165,True,False,False,522,209,0.45000000000000007,0.5800000000000002,281,73,0.2597864768683274,6.7549276193224465e+38,1.3509868835996612e+37
0.02,0.7,20,True,monitoring_only,302715050,True,False,False,486,199,0.45000000000000007,0.5800000000000002,277,79,0.2851985559566787,7.94166617813546e+36,1.5883348351862442e+35
0.02,0.7,20,True,monitoring_only,1831101926,True,False,False,533,178,0.45000000000000007,0.5800000000000002,271,94,0.34686346863468637,2.3996231497275758e+33,4.79925112525887e+31
