convergence_strength,opacity_defense_threshold,defense_active,seed,survived,collapsed,extinct,final_population,final_ai_generation,max_opacity_reached,step_opacity_exceeded_threshold,defense_fired_count,defense_blocked_count,final_avg_U_sys,final_avg_L_t,avg_constraint_level,max_constraint_level
0.0,0.3,False,123337705,True,False,False,864,1,0.894,102,0,0,36.08248696383072,0.4457712490131723,0.4494999999999999,0.599
0.0,0.3,False,16176360,True,False,False,824,1,0.894,102,0,0,34.68771411433299,0.4283364903255532,0.4494999999999999,0.599
0.0,0.3,False,1367780238,True,False,False,961,1,0.894,102,0,0,40.3259135685835,0.4988143799557239,0.4494999999999999,0.599
0.0,0.3,False,1713081893,True,False,False,623,1,0.894,102,0,0,26.18604984939219,0.3220650893230873,0.4494999999999999,0.599
0.0,0.3,False,59689268,True,False,False,735,1,0.894,102,0,0,30.661421418954063,0.3780075485669214,0.4494999999999999,0.599
0.0,0.3,False,1291913,True,False,False,922,1,0.894,102,0,0,39.065661660123844,0.48306114250960974,0.4494999999999999,0.599
0.0,0.3,False,984191660,True,False,False,762,1,0.894,102,0,0,31.4113898115506,0.38738220634603066,0.4494999999999999,0.599
0.0,0.3,False,1972060813,True,False,False,748,1,0.894,102,0,0,31.88770696920908,0.3933362041862901,0.4494999999999999,0.599
0.0,0.3,False,534217367,True,False,False,831,1,0.894,102,0,0,35.69947437140544,0.4409835647713852,0.4494999999999999,0.599
0.0,0.3,False,1960746295,True,False,False,776,1,0.894,102,0,0,33.12523913796778,0.40880544338804176,0.4494999999999999,0.599
0.0,0.3,False,68497253,True,False,False,844,1,0.894,102,0,0,35.14751289159247,0.4340840073919086,0.4494999999999999,0.599
0.0,0.3,False,1983014833,True,False,False,985,1,0.894,102,0,0,40.68200734017072,0.5032655770796067,0.4494999999999999,0.599
0.0,0.3,False,1458457854,True,False,False,839,1,0.894,102,0,0,34.57172194613055,0.426886580124775,0.4494999999999999,0.599
0.0,0.3,False,1349079196,True,False,False,652,1,0.894,102,0,0,27.836390154106756,0.3426944592351913,0.4494999999999999,0.599
0.0,0.3,False,212310984,True,False,False,1021,1,0.894,102,0,0,41.37402606866305,0.5119158599693776,0.4494999999999999,0.599
0.0,0.3,False,1266658701,True,False,False,708,1,0.894,102,0,0,30.37306072277584,0.37440301972926593,0.4494999999999999,0.599
0.0,0.3,False,891052485,True,False,False,760,1,0.894,102,0,0,32.05288473591181,0.3954009379616465,0.4494999999999999,0.599
0.0,0.3,False,1552351425,True,False,False,806,1,0.894,102,0,0,34.46753769594384,0.42558426963821566,0.4494999999999999,0.599
0.0,0.3,False,135931168,True,False,False,753,1,0.894,102,0,0,33.2314422906821,0.4101329901026931,0.4494999999999999,0.599
0.0,0.5,True,1564149612,True,False,False,712,1,0.894,168,133,133,67.04036620275835,0.8327469174839731,0.39053666666666664,0.46599999999999997
0.0,0.3,False,705596925,True,False,False,518,1,0.894,102,0,0,21.884901589416586,0.26830043373633716,0.4494999999999999,0.599
0.0,0.3,False,2071772244,True,False,False,519,1,0.894,102,0,0,22.251656865438726,0.272884900533681,0.4494999999999999,0.599
0.0,0.3,False,1009133112,True,False,False,579,1,0.894,102,0,0,24.890361123099957,0.30586888900833714,0.4494999999999999,0.599
0.0,0.5,True,257651135,True,False,False,704,1,0.894,168,133,133,65.88158702913725,0.8182620964066467,0.39053666666666664,0.46599999999999997
0.0,0.5,True,167979951,True,False,False,804,1,0.894,168,133,133,73.76159039332802,0.9167626923154142,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1020441367,True,False,False,954,1,0.894,168,133,133,87.50507846202512,1.0885572596045976,0.39053666666666664,0.46599999999999997
0.0,0.5,True,673218642,True,False,False,902,1,0.894,168,133,133,83.53392505562684,1.0389175630460374,0.39053666666666664,0.46599999999999997
0.0,0.5,True,861857809,True,False,False,635,1,0.894,168,133,133,58.611805709983116,0.7273893189515472,0.39053666666666664,0.46599999999999997
0.0,0.5,True,170757436,True,False,False,888,1,0.894,168,133,133,81.27813629833041,1.010720044772438,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1514853383,True,False,False,733,1,0.894,168,133,133,69.5252554351558,0.8638082075869737,0.39053666666666664,0.46599999999999997
