reproduction_rate,alpha,successor_capability,phi,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
0.075,0.1,12.0,10.0,True,False,False,1631,291,0.08909549260635774,3.7125748486551675,5.970012379759164e+53,1.1940036720362175e+52
0.075,0.1,12.0,10.0,True,False,False,1589,292,0.08172967428827319,3.738599687692112,8.95337224743307e+53,1.7906762438370697e+52
0.075,0.5,4.0,10.0,True,False,False,1262,5,0.18651921443872235,0.35060246910526005,3545.2554265783133,44.31048283711031
0.075,0.1,12.0,10.0,True,False,False,1543,289,0.1033259940883254,3.7414859660209636,2.6661823749101534e+53,5.332370092194824e+51
0.075,0.5,4.0,10.0,True,False,False,1149,5,0.18492374529171157,0.3663621799782808,3571.854730209895,44.642974537817196
0.075,0.1,12.0,10.0,True,False,False,1446,292,0.08017474068269534,3.6585599947271303,8.89054295104436e+53,1.7781103722631614e+52
0.075,0.5,4.0,10.0,True,False,False,1287,5,0.1865191701627559,0.33646541674600705,3564.0219108430233,44.545064165141554
0.075,0.5,4.0,10.0,True,False,False,1334,5,0.1810334156601003,0.31935666881167935,3666.6481039856662,45.827893098956935
0.075,0.5,4.0,10.0,True,False,False,1025,5,0.18770442179835986,0.33958656110205143,3592.0709665098684,44.89567779219936
0.075,0.5,4.0,10.0,True,False,False,1240,5,0.19498569020921494,0.3492158678682997,3550.562792610417,44.3768249929357
0.075,0.5,4.0,10.0,True,False,False,1311,5,0.1772957005419337,0.3344152148788586,3618.0735303676147,45.22071020903474
0.075,0.5,12.0,10.0,True,False,False,1083,2,0.009606743900222788,0.2836226777752726,3436.6718877090025,42.9531899948079
0.075,0.5,12.0,10.0,True,False,False,1288,2,0.010859809950081725,0.2630614397676063,3447.214285508082,43.08497012359373
0.075,0.5,12.0,10.0,True,False,False,1128,2,0.008660418043039535,0.2399759898307443,3450.4877357845253,43.125888310742425
0.075,0.5,12.0,10.0,True,False,False,1163,2,0.010565443062610046,0.28508562964938866,3477.449188017661,43.46290688072445
0.075,0.5,12.0,10.0,True,False,False,1278,2,0.01149049425242188,0.2603480795585964,3471.393489216607,43.387210544650976
0.075,0.5,12.0,10.0,True,False,False,1423,2,0.010353671641969103,0.28926579801797225,3467.755328790182,43.341733484573915
0.075,0.5,12.0,10.0,True,False,False,1218,2,0.009909949977809982,0.2807799039118848,3463.0196535280493,43.28253746986642
0.075,0.5,12.0,10.0,True,False,False,1385,2,0.007700363359081015,0.2456713961949517,3471.7563731969954,43.391746592559805
0.075,1.5,4.0,10.0,True,False,False,1433,198,0.000501177371334196,0.1503532114002588,8.327114879982386e+36,1.665424645094347e+35
0.075,0.5,12.0,10.0,True,False,False,1080,2,0.010560429766642685,0.2628827941956655,3479.120157374342,43.48379402922588
0.075,1.5,4.0,10.0,True,False,False,1468,82,0.0005192784209971358,0.15578352629914072,3.119739138043568e+16,623948452839241.2
0.075,1.5,4.0,10.0,True,False,False,1255,4,0.0,0.0,2559.0374005276335,31.982751827501268
0.075,0.5,12.0,10.0,True,False,False,1231,2,0.009072263041886049,0.26439928945112245,3458.1343607346435,43.22147123525198
0.075,1.5,4.0,10.0,True,False,False,1677,238,0.0005246284746190244,0.15738854238570732,9.282561383428629e+43,1.8565141365373657e+42
0.075,1.5,4.0,10.0,True,False,False,1529,203,0.0005599396577383783,0.16798189732151347,6.389155576642686e+37,1.2778323956418044e+36
0.075,1.5,4.0,10.0,True,False,False,1139,4,0.0,0.0,2596.801211115735,32.45480015353655
0.075,1.5,4.0,10.0,True,False,False,1164,4,0.0,0.0,2596.7809342552314,32.45454670500929
0.075,1.5,4.0,10.0,True,False,False,1249,4,0.0,0.0,2625.7742259582787,32.81696337035062
0.075,1.5,4.0,10.0,True,False,False,1622,274,0.0005028987337101894,0.15086962011305682,2.0223297071317995e+50,4.0446634662346063e+48
0.075,1.5,12.0,10.0,True,False,False,1360,300,0.0009307529639252854,0.2792258891775856,2.30490737150379e+55,4.609819363405576e+53
0.075,1.5,4.0,10.0,True,False,False,1740,275,0.0005624660986525528,0.16873982959576583,3.0316539548215665e+50,6.06331398254616e+48
0.075,1.5,12.0,10.0,True,False,False,1742,300,0.0009407895063672707,0.2822368519101812,2.2911907264618754e+55,4.582386042252817e+53
0.075,1.5,12.0,10.0,True,False,False,1720,300,0.0007842945505040736,0.2352883651512221,2.300527084909716e+55,4.601058778068631e+53
0.075,1.5,12.0,10.0,True,False,False,1457,300,0.0008792529413333136,0.26377588239999405,2.3062533725751589e+55,4.612511367090124e+53
0.075,1.5,12.0,10.0,True,False,False,1766,300,0.0009377351436186143,0.2813205430855843,2.2855420134917344e+55,4.5710886058636496e+53
0.075,1.5,12.0,10.0,True,False,False,1481,300,0.0009514891563434169,0.2854467469030251,2.2997206706794146e+55,4.599445949781948e+53
0.075,1.5,12.0,10.0,True,False,False,1469,300,0.0009425955597849607,0.2827786679354882,2.2786033919299414e+55,4.557211350377507e+53
0.075,1.5,12.0,10.0,True,False,False,1590,300,0.0009143111038452186,0.2742933311535656,2.300670943806851e+55,4.6013464971677995e+53
0.075,1.5,12.0,10.0,True,False,False,1485,300,0.000975234047292924,0.2925702141878772,2.303203198523282e+55,4.60641101297964e+53
0.075,1.5,12.0,10.0,True,False,False,1549,300,0.000885658741870039,0.2656976225610117,2.2950593949362133e+55,4.590123389265859e+53
0.09,0.1,4.0,10.0,True,False,False,2910,7,2.2739193553546824,2.6211805707576117,6993.989872848659,87.4196873262877
0.09,0.1,4.0,10.0,True,False,False,3190,133,0.038701392975145674,4.611648753717668,1.0200499612888377e+26,2.0401019645803435e+24
0.09,0.1,4.0,10.0,True,False,False,3077,109,0.3346512573161066,4.2137346827295605,6.058655258752353e+21,1.211732264511567e+20
0.09,0.1,4.0,10.0,True,False,False,3094,119,0.047839334174730117,4.665079031142908,3.5031190760030495e+23,7.006245164411955e+21
0.09,0.1,4.0,10.0,True,False,False,3209,130,0.08607192670784308,4.328587361750202,3.0379506560719095e+25,6.075907393713346e+23
0.09,0.1,4.0,10.0,True,False,False,2918,7,2.280562117545423,2.637840789403759,6999.680271590472,87.49081736760644
0.09,0.1,4.0,10.0,True,False,False,3135,114,0.13649020777708812,2.7103390475127984,4.60246799975445e+22,9.204945213202534e+20
0.09,0.1,4.0,10.0,True,False,False,3110,121,0.08585002297785906,4.390657614659596,7.86358881430162e+23,1.5727193371318757e+22
0.09,0.1,4.0,10.0,True,False,False,3233,98,0.2503994853501062,2.611591304055626,7.027785698038279e+19,1.4055585465427338e+18
0.09,0.1,4.0,10.0,True,False,False,3221,121,0.064067913096439,4.504900579809157,7.871757869070345e+23,1.574353149473801e+22
0.09,0.1,12.0,10.0,True,False,False,3050,124,0.09605402459235164,3.7358778349030706,7.988350582887976e+24,1.5976717158305096e+23
0.09,0.1,12.0,10.0,True,False,False,3221,119,0.1102189236476184,3.7358526554613016,1.0479103099511191e+24,2.095822717645426e+22
0.09,0.1,12.0,10.0,True,False,False,3178,110,0.1371970414338333,3.740300651123251,2.7361011090439723e+22,5.472207695307094e+20
0.09,0.1,12.0,10.0,True,False,False,3198,120,0.102659529511872,3.675922700768604,1.5749868078724107e+24,3.149976768716185e+22
0.09,0.1,12.0,10.0,True,False,False,3119,130,0.08213944547079607,3.70587586758152,9.111439201839943e+25,1.8222896645887584e+24
0.09,0.1,12.0,10.0,True,False,False,3176,110,0.1381306879169068,3.713927548271233,2.7304831362947025e+22,5.460971738915685e+20
0.09,0.1,12.0,10.0,True,False,False,3183,128,0.10401509241138938,3.7324057137380304,4.029098834312566e+25,8.058205734149111e+23
0.09,0.1,12.0,10.0,True,False,False,3117,124,0.08029894827861478,3.70992883033826,7.94341414410503e+24,1.5886844189528963e+23
0.09,0.1,12.0,10.0,True,False,False,3230,128,0.08851551387308915,3.704143730035856,4.031701155809871e+25,8.063410382980605e+23
0.09,0.5,4.0,10.0,True,False,False,2877,5,0.19418739861716633,0.3547387552083576,3567.8222178163537,44.59256802596447
0.09,0.5,4.0,10.0,True,False,False,2930,5,0.19443073864315377,0.3529279576716755,3564.0108093356403,44.54492536053631
0.09,0.1,12.0,10.0,True,False,False,3141,118,0.09602544238573345,3.664511619220681,6.988393147736527e+23,1.3976800285477644e+22
0.09,0.5,4.0,10.0,True,False,False,3023,5,0.18703635799941917,0.3476629680300001,3589.5094807305663,44.86365913302722
0.09,0.5,4.0,10.0,True,False,False,2770,5,0.1900417401126272,0.3517320974231364,3577.1348552377576,44.70897613280058
0.09,0.5,4.0,10.0,True,False,False,2716,5,0.18612197532765726,0.33728090479958683,3568.944398793728,44.606595308394226
0.09,0.5,4.0,10.0,True,False,False,2792,5,0.1952462519338662,0.3422315713604398,3556.799479442194,44.45478363363276
0.09,0.5,4.0,10.0,True,False,False,2842,5,0.1923834089039121,0.3374453475547343,3588.1077418620234,44.84613738093089
0.09,0.5,4.0,10.0,True,False,False,2751,5,0.1921193845937184,0.34156638136511774,3610.1337623271756,45.12146295782543
0.09,0.5,4.0,10.0,True,False,False,2939,5,0.1898874628467897,0.34418043677474297,3569.7618599304624,44.61681358185657
0.09,0.5,4.0,10.0,True,False,False,2853,5,0.18815429648718937,0.3501833830583563,3573.245502848285,44.66035917089699
0.09,0.5,12.0,10.0,True,False,False,2797,2,0.013764672486895186,0.27655039847690777,3462.03745092227,43.27025988604256
0.09,0.5,12.0,10.0,True,False,False,2835,2,0.012279316518877063,0.27186127743850497,3475.676443625667,43.44074750567989
0.09,0.5,12.0,10.0,True,False,False,2868,2,0.012017854909881168,0.268553987663843,3479.8924983271318,43.493448256156995
0.09,0.5,12.0,10.0,True,False,False,2868,2,0.012644467342385963,0.2818976250840408,3481.5200823191853,43.513793079324124
0.09,0.5,12.0,10.0,True,False,False,3009,2,0.012435453015903927,0.26783745786593793,3494.709035667235,43.678655203093065
0.09,0.5,12.0,10.0,True,False,False,2854,2,0.01860610335025851,0.2814229218359139,3479.0280558270633,43.482642712088705
0.09,0.5,12.0,10.0,True,False,False,2821,2,0.01575956123281019,0.2710303686244251,3472.8030995833296,43.404830658128944
0.09,0.5,12.0,10.0,True,False,False,2862,2,0.014083410155951182,0.2607212204949063,3496.044749330311,43.69535164511228
0.09,0.5,12.0,10.0,True,False,False,2888,2,0.015036652110601546,0.2662721257285432,3471.213052911267,43.384955050671664
0.09,1.5,4.0,10.0,True,False,False,3027,4,0.0,0.0,2596.5740223206153,32.451960258309484
0.09,0.5,12.0,10.0,True,False,False,2853,2,0.012772423973204794,0.2736150991241959,3465.0803060400162,43.30829562146571
0.09,1.5,4.0,10.0,True,False,False,2930,4,0.0,0.0,2604.0300637847545,32.545160911942325
0.09,1.5,4.0,10.0,True,False,False,3046,4,0.0,0.0,2610.1295267383616,32.62140431088991
0.09,1.5,4.0,10.0,True,False,False,2838,4,0.0,0.0,2623.909749636929,32.793657348891664
