alpha,successor_capability,phi,reproduction_rate,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
0.1,1.5,10.0,0.09,True,False,False,2966,131,0.03356811937637967,3.5160639946132672,1.7001746351278832e+25,3.400352673772978e+23
0.1,1.5,10.0,0.09,True,False,False,3089,123,0.07996936324467027,3.566913837995844,6.633868316277652e+23,1.3267749912905855e+22
0.1,1.5,10.0,0.09,True,False,False,3241,129,0.027533499997612242,3.5627919023287733,7.554838914680872e+24,1.5109692953204652e+23
0.1,1.5,10.0,0.09,True,False,False,3134,114,0.0470235829557641,3.54134804968212,1.7271087510508643e+22,3.454220959592778e+20
0.1,1.5,10.0,0.09,True,False,False,3138,138,0.02719854495725483,3.5179809240640783,2.917233656050016e+26,5.834473151871671e+24
0.1,1.5,10.0,0.09,True,False,False,3202,130,0.03382743603329852,3.5352349772003873,1.1372439175591532e+25,2.274490111748991e+23
0.1,1.5,10.0,0.09,True,False,False,3022,116,0.046980661838845146,3.5760194671766,3.884716755319903e+22,7.769441286865879e+20
0.1,1.5,10.0,0.09,True,False,False,3093,135,0.020848374847084315,3.538510014053072,8.608210147109916e+25,1.7216437527173697e+24
0.1,1.5,10.0,0.09,True,False,False,3278,130,0.02728645708585301,3.5379062206366427,1.1374158728578302e+25,2.274834022656181e+23
0.1,1.5,10.0,0.09,True,False,False,3218,140,0.03362126184577403,3.498612590454946,6.549550712366503e+26,1.3099114535908608e+25
0.1,1.5,10.0,0.09,True,False,False,3079,130,0.04070803325668394,3.586619522479226,1.1343803957752305e+25,2.26876306223224e+23
0.1,1.5,10.0,0.09,True,False,False,3184,129,0.0341204783466744,3.5738165276320633,7.543167247294454e+24,1.5086349595293264e+23
0.1,1.5,10.0,0.09,True,False,False,3103,116,0.02728651024833501,3.5411552589157553,3.874773340316969e+22,7.749554438057052e+20
0.1,1.5,10.0,0.09,True,False,False,3141,133,0.02740065288830138,3.5479275618970663,3.8306691413019032e+25,7.661345950915344e+23
0.1,1.5,10.0,0.09,True,False,False,3124,136,0.027536407113145187,3.555913223554036,1.2899357467881416e+26,2.5798740756212143e+24
0.1,1.5,10.0,0.09,True,False,False,3184,147,0.033784316193795176,3.5428877205741136,1.1113342106446775e+28,2.2226706460029626e+26
0.1,1.5,10.0,0.09,True,False,False,3261,131,0.06153774003784586,3.5091477683789147,1.7001648664643995e+25,3.400333136312218e+23
0.1,1.5,10.0,0.09,True,False,False,3198,147,0.02096540849256805,3.5686906023574876,1.1162713741873154e+28,2.232544983023734e+26
0.1,1.5,10.0,0.09,True,False,False,3107,122,0.020940350744011214,3.54918149555475,4.404729846550648e+23,8.809468510965584e+21
0.1,1.5,10.0,0.09,True,False,False,3130,99,0.07354942067347962,3.5658887040393754,3.939816745821202e+19,7.879641378291645e+17
0.1,1.5,10.0,0.09,True,False,False,3203,102,0.020702833285934995,3.506330162146824,1.3324769798556277e+20,2.6649566269496837e+18
