frontier_floor,reproduction_rate,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,avg_transition_cost,yield_condition_met_count
0.01,0.058,39,False,True,False,54,12,0.0,0.0,7.213186666708158,11
0.01,0.058,38,False,True,False,53,12,0.0,0.0,7.192578819579555,11
0.01,0.058,40,False,True,False,51,12,0.0,0.0,7.223671737179785,11
0.01,0.058,44,False,True,False,50,12,0.0,0.0,7.135023957062012,11
0.01,0.058,41,False,True,False,73,12,0.0,0.0,7.2293844064410875,11
0.01,0.058,42,False,True,False,13,12,0.0,0.0,7.331581624365854,11
0.01,0.058,49,False,True,False,101,12,0.0,0.0,7.19537400096654,11
0.01,0.058,45,False,True,False,33,12,0.0,0.0,7.289922094171516,11
0.01,0.058,43,False,True,False,32,12,0.0,0.0,7.203202069529363,11
0.01,0.058,46,False,True,False,42,12,0.0,0.0,7.284870242823142,11
0.01,0.058,47,False,True,False,67,12,0.0,0.0,7.2144810221754625,11
0.01,0.058,48,False,True,False,55,12,0.0,0.0,7.210447800845512,11
0.01,0.06,0,False,True,False,73,12,0.0,0.0,7.192242004331444,11
0.01,0.06,2,False,True,False,27,12,0.0,0.0,7.339855125275084,11
0.01,0.06,3,False,True,False,143,12,0.0,0.0,7.278676576142445,11
0.01,0.06,1,False,True,False,69,12,0.0,0.0,7.31556295891866,11
0.01,0.06,8,False,True,False,65,12,0.0,0.0,7.369724834149645,11
0.01,0.06,4,False,True,False,109,12,0.0,0.0,7.290073338226108,11
0.01,0.06,5,False,True,False,109,12,0.0,0.0,7.239318774934915,11
0.01,0.06,7,False,True,False,57,12,0.0,0.0,7.238567371675393,11
0.01,0.06,9,False,True,False,62,12,0.0,0.0,7.22676910266315,11
0.01,0.06,6,False,True,False,51,12,0.0,0.0,7.2651896257410495,11
0.01,0.06,10,False,True,False,56,12,0.0,0.0,7.1671383429893,11
0.01,0.06,11,False,True,False,21,12,0.0,0.0,7.230779201051864,11
0.01,0.06,15,False,True,False,51,12,0.0,0.0,7.130674047387391,11
0.01,0.06,12,False,True,False,59,12,0.0,0.0,7.292463943006703,11
0.01,0.06,16,False,True,False,65,12,0.0,0.0,7.223045086028856,11
0.01,0.06,13,False,True,False,73,12,0.0,0.0,7.2611840462069965,11
