frontier_floor,reproduction_rate,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,avg_transition_cost,yield_condition_met_count
0.01,0.062,17,False,True,False,142,12,0.0,0.0,7.190609211779869,11
0.01,0.062,12,False,True,False,164,12,0.0,0.0,7.149753979385958,11
0.01,0.062,13,False,True,False,103,12,0.0,0.0,7.252379960942736,11
0.01,0.062,11,False,True,False,77,12,0.0,0.0,7.216644249212765,11
0.01,0.062,14,False,True,False,112,12,0.0,0.0,7.210891900576809,11
0.01,0.062,15,False,True,False,80,12,0.0,0.0,7.222511972118597,11
0.01,0.062,16,False,True,False,153,12,0.0,0.0,7.281421148998308,11
0.01,0.062,19,False,True,False,120,12,0.0,0.0,7.288850993466268,11
0.01,0.062,21,False,True,False,157,12,0.0,0.0,7.247663043834644,11
0.01,0.062,18,False,True,False,163,12,0.0,0.0,7.1711769871839515,11
0.01,0.062,20,False,True,False,94,12,0.0,0.0,7.195114155910589,11
0.01,0.062,23,False,True,False,40,12,0.0,0.0,7.217690822451641,11
0.01,0.062,22,False,True,False,159,12,0.0,0.0,7.258770869319051,11
0.01,0.062,26,False,True,False,72,12,0.0,0.0,7.263715501546649,11
0.01,0.062,24,False,True,False,71,12,0.0,0.0,7.124931428084583,11
0.01,0.062,30,True,False,False,177,12,5.29329711476375,0.060908841832393125,7.201989883132266,11
0.01,0.062,25,False,True,False,173,12,0.0,0.0,7.388118705241046,11
0.01,0.062,27,False,True,False,151,12,0.0,0.0,7.193030208349698,11
0.01,0.062,29,False,True,False,72,12,0.0,0.0,7.188629766620772,11
0.01,0.062,28,True,False,False,167,12,5.626219713258114,0.06507068894161142,7.314241403468436,11
0.01,0.062,31,False,True,False,39,12,0.0,0.0,7.203073008260396,11
0.01,0.062,32,False,True,False,147,12,0.0,0.0,7.23339291047403,11
0.01,0.062,36,False,True,False,156,12,0.0,0.0,7.164065673232087,11
0.01,0.062,33,False,True,False,116,12,0.0,0.0,7.24468130814363,11
0.01,0.062,37,False,True,False,140,12,0.0,0.0,7.234634095793061,11
0.01,0.062,34,True,False,False,213,12,6.579114014207127,0.07698276836228628,7.24150783126857,11
0.01,0.062,35,False,True,False,189,12,0.0,0.0,7.196392766628625,11
0.01,0.062,38,True,False,False,213,12,6.417959733361441,0.07496818773623162,7.310687064631883,11
0.01,0.062,40,True,False,False,182,12,5.5291414114351545,0.06385711843464358,7.131100379347669,11
0.01,0.062,39,False,True,False,112,12,0.0,0.0,7.220574351033935,11
0.01,0.062,41,False,True,False,101,12,0.0,0.0,7.243384050029805,11
0.01,0.062,42,False,True,False,114,12,0.0,0.0,7.201731654475602,11
0.01,0.062,43,True,False,False,244,12,7.701517576369203,0.09101387386781676,7.240414091109867,11
0.01,0.062,46,False,True,False,149,12,0.0,0.0,7.277173698101422,11
0.01,0.062,44,True,False,False,195,12,5.939608346822203,0.06898834312352606,7.221365855677612,11
0.01,0.062,45,True,False,False,251,12,7.420860192891999,0.08750539117947195,7.272247055502815,11
0.01,0.062,47,False,True,False,90,12,0.0,0.0,7.342938071552839,11
0.01,0.062,48,False,True,False,197,12,0.0,0.0,7.202657898849394,11
0.01,0.062,49,False,True,False,150,12,0.0,0.0,7.230283615559958,11
0.01,0.064,0,False,True,False,127,12,0.0,0.0,7.2143621303671095,11
0.01,0.064,4,False,True,False,170,12,0.0,0.0,7.249195091379568,11
0.01,0.064,1,False,True,False,186,12,0.0,0.0,7.234884768991372,11
0.01,0.064,2,False,True,False,232,12,0.0,0.0,7.2282028845953965,11
