dependency_rate,capture_strength,rotation_interval,defense_active,seed,survived,collapsed,extinct,final_population,final_ai_generation,avg_validator_dependency,max_validator_dependency,yield_condition_met_count,yield_condition_blocked_count,capture_rate,final_avg_U_sys,final_avg_L_t
0.15,0.5,20,True,2,True,False,False,477,219,0.3,0.6,282,64,0.22695035460992907,2.257213093660485e+40,4.514430729872667e+38
0.15,0.5,20,True,6,True,False,False,488,234,0.3,0.6,280,47,0.16785714285714284,8.796186722022048e+42,1.7592391141843816e+41
0.15,0.5,20,True,5,True,False,False,552,229,0.3,0.6,284,56,0.19718309859154928,1.3131208158166178e+42,2.626244272596613e+40
0.15,0.5,20,True,7,True,False,False,504,220,0.3,0.6,284,65,0.22887323943661972,3.164397478712796e+40,6.3288013256028474e+38
0.15,0.5,20,True,9,True,False,False,527,230,0.3,0.6,284,55,0.1936619718309859,2.6052067690186807e+42,5.210418785450746e+40
0.15,1.0,20,True,1,True,False,False,487,187,0.3,0.6,295,109,0.3694915254237288,5.86607286003853e+34,1.1732157528461435e+33
0.15,0.5,20,True,8,True,False,False,484,209,0.3,0.6,264,56,0.21212121212121213,3.550155117482022e+38,7.100317380809645e+36
0.15,1.0,20,True,0,True,False,False,554,164,0.3,0.6,281,118,0.4199288256227758,6.362836589140732e+30,1.2725685987064559e+29
0.15,1.0,20,True,2,True,False,False,543,169,0.3,0.6,285,117,0.4105263157894737,4.436530268950775e+31,8.873069457641392e+29
0.15,1.0,20,True,3,True,False,False,474,162,0.3,0.6,265,104,0.39245283018867927,2.652350965817868e+30,5.304707272769966e+28
0.15,1.0,20,True,4,True,False,False,473,186,0.3,0.6,294,109,0.3707482993197279,4.333559142103295e+34,8.667127007318484e+32
0.15,1.0,20,True,5,True,False,False,571,171,0.3,0.6,284,114,0.4014084507042254,1.2105763635360058e+32,2.4211551598144217e+30
0.15,1.0,20,True,6,True,False,False,457,163,0.3,0.6,277,115,0.4151624548736462,4.7559165937186685e+30,9.511842753756323e+28
0.15,1.0,20,True,7,True,False,False,470,156,0.3,0.6,280,125,0.44642857142857145,2.1848656888362963e+29,4.369735775620319e+27
0.15,1.0,20,True,9,True,False,False,532,160,0.3,0.6,275,116,0.4218181818181818,1.3963787229847492e+30,2.7927602555788577e+28
0.15,1.0,20,True,8,True,False,False,484,160,0.3,0.6,264,105,0.3977272727272727,9.504538952539819e+29,1.900909703438589e+28
