rr,phi,alpha,seed,termination_reason,steps_run,population_final,ai_generation_final,L_t_final,U_sys_final,integral_U_sys,u_sys_tail_estimate,u_sys_total_estimate
0.07,10.0,1.0,1,max_steps,50000,166,2,2.3337158655973704,186.69680020041957,7180152.04646749,5.756929208615573e-215,7180152.04646749
0.07,10.0,1.0,2,max_steps,50000,155,2,2.227967930026568,178.23698650143797,7090760.187019571,5.756929205149381e-215,7090760.187019571
0.07,15.0,0.5,0,extinction,21407,0,2,0.0001,0.0044999775001125,4402296.024550764,3.251189525186548e-91,4402296.024550764
0.07,10.0,1.0,4,extinction,47423,0,2,0.0001,0.0029999850000749996,6792002.440398592,3.3572978712845976e-204,6792002.440398592
0.07,10.0,2.0,1,max_steps,50000,166,2,2.3337158655973704,186.69680020041957,7180152.04646749,5.756929208615573e-215,7180152.04646749
0.07,10.0,1.0,3,max_steps,50000,98,2,1.4166597350228733,113.33249363233521,6926683.214138579,5.756929186325573e-215,6926683.214138579
0.07,15.0,1.0,0,extinction,21407,0,2,0.0001,0.0044999775001125,4402296.024550764,3.251189525186548e-91,4402296.024550764
0.07,10.0,2.0,2,max_steps,50000,155,2,2.227967930026568,178.23698650143797,7090760.187019571,5.756929205149381e-215,7090760.187019571
0.07,10.0,2.0,4,extinction,47423,0,2,0.0001,0.0029999850000749996,6792002.440398592,3.3572978712845976e-204,6792002.440398592
0.07,10.0,2.0,3,max_steps,50000,98,2,1.4166597350228733,113.33249363233521,6926683.214138579,5.756929186325573e-215,6926683.214138579
0.07,15.0,0.5,1,max_steps,50000,166,2,2.3337158655973704,280.0452003006294,10769828.067383572,5.756929208615573e-215,10769828.067383572
0.07,15.0,0.5,2,max_steps,50000,155,2,2.227967930026568,267.355479752157,10635740.278211182,5.756929205149381e-215,10635740.278211182
0.07,15.0,0.5,3,max_steps,50000,98,2,1.4166597350228733,169.99874044850282,10389624.818889882,5.756929186325573e-215,10389624.818889882
0.07,15.0,2.0,0,extinction,21407,0,2,0.0001,0.0044999775001125,4402296.024550764,3.251189525186548e-91,4402296.024550764
0.07,15.0,0.5,4,extinction,47423,0,2,0.0001,0.0044999775001125,10187603.658279546,3.3572978712845976e-204,10187603.658279546
0.07,15.0,1.0,2,max_steps,50000,155,2,2.227967930026568,267.355479752157,10635740.278211182,5.756929205149381e-215,10635740.278211182
0.07,15.0,1.0,1,max_steps,50000,166,2,2.3337158655973704,280.0452003006294,10769828.067383572,5.756929208615573e-215,10769828.067383572
0.07,15.0,1.0,3,max_steps,50000,98,2,1.4166597350228733,169.99874044850282,10389624.818889882,5.756929186325573e-215,10389624.818889882
0.07,15.0,1.0,4,extinction,47423,0,2,0.0001,0.0044999775001125,10187603.658279546,3.3572978712845976e-204,10187603.658279546
0.07,15.0,2.0,1,max_steps,50000,166,2,2.3337158655973704,280.0452003006294,10769828.067383572,5.756929208615573e-215,10769828.067383572
0.07,15.0,2.0,2,max_steps,50000,155,2,2.227967930026568,267.355479752157,10635740.278211182,5.756929205149381e-215,10635740.278211182
0.07,15.0,2.0,4,extinction,47423,0,2,0.0001,0.0044999775001125,10187603.658279546,3.3572978712845976e-204,10187603.658279546
0.07,15.0,2.0,3,max_steps,50000,98,2,1.4166597350228733,169.99874044850282,10389624.818889882,5.756929186325573e-215,10389624.818889882
0.08,5.0,0.5,0,max_steps,50000,380,2,5.514199708378643,220.5674361421475,8978775.367943939,5.756929259490699e-215,8978775.367943939
0.08,5.0,0.5,1,max_steps,50000,337,2,4.79338966227371,191.73510603654233,9066000.510250874,5.756929246175572e-215,9066000.510250874
0.08,5.0,0.5,2,max_steps,50000,318,2,4.444173915030576,177.76651133733515,8934001.166084638,5.756929252253535e-215,8934001.166084638
0.08,5.0,0.5,4,max_steps,50000,307,2,4.39306691940775,175.72223661483918,8995954.821474796,5.756929251663268e-215,8995954.821474796
0.08,5.0,0.5,3,max_steps,50000,296,2,4.1757623540127415,167.0300757499465,8863344.28158484,5.756929250910838e-215,8863344.28158484
0.08,5.0,1.0,0,max_steps,50000,380,2,5.514199708378643,220.5674361421475,8978775.367943939,5.756929259490699e-215,8978775.367943939
0.08,5.0,1.0,1,max_steps,50000,337,2,4.79338966227371,191.73510603654233,9066000.510250874,5.756929246175572e-215,9066000.510250874
0.08,5.0,1.0,3,max_steps,50000,296,2,4.1757623540127415,167.0300757499465,8863344.28158484,5.756929250910838e-215,8863344.28158484
0.08,5.0,1.0,2,max_steps,50000,318,2,4.444173915030576,177.76651133733515,8934001.166084638,5.756929252253535e-215,8934001.166084638
0.08,5.0,1.0,4,max_steps,50000,307,2,4.39306691940775,175.72223661483918,8995954.821474796,5.756929251663268e-215,8995954.821474796
0.08,5.0,2.0,1,max_steps,50000,337,2,4.79338966227371,191.73510603654233,9066000.510250874,5.756929246175572e-215,9066000.510250874
0.08,5.0,2.0,0,max_steps,50000,380,2,5.514199708378643,220.5674361421475,8978775.367943939,5.756929259490699e-215,8978775.367943939
0.08,5.0,2.0,2,max_steps,50000,318,2,4.444173915030576,177.76651133733515,8934001.166084638,5.756929252253535e-215,8934001.166084638
0.08,5.0,2.0,3,max_steps,50000,296,2,4.1757623540127415,167.0300757499465,8863344.28158484,5.756929250910838e-215,8863344.28158484
0.08,5.0,2.0,4,max_steps,50000,307,2,4.39306691940775,175.72223661483918,8995954.821474796,5.756929251663268e-215,8995954.821474796
0.08,10.0,0.5,0,max_steps,50000,380,2,5.514199708378643,441.134872284295,17956750.73124862,5.756929259490699e-215,17956750.73124862
0.08,10.0,0.5,1,max_steps,50000,337,2,4.79338966227371,383.47021207308467,18131201.015862785,5.756929246175572e-215,18131201.015862785
0.08,10.0,0.5,2,max_steps,50000,318,2,4.444173915030576,355.5330226746703,17867202.32753103,5.756929252253535e-215,17867202.32753103
0.08,10.0,0.5,3,max_steps,50000,296,2,4.1757623540127415,334.060151499893,17725888.558530368,5.756929250910838e-215,17725888.558530368
0.08,10.0,0.5,4,max_steps,50000,307,2,4.39306691940775,351.44447322967835,17991109.63831068,5.756929251663268e-215,17991109.63831068
0.08,10.0,1.0,0,max_steps,50000,380,2,5.514199708378643,441.134872284295,17956750.73124862,5.756929259490699e-215,17956750.73124862
0.08,10.0,1.0,1,max_steps,50000,337,2,4.79338966227371,383.47021207308467,18131201.015862785,5.756929246175572e-215,18131201.015862785
0.08,10.0,1.0,2,max_steps,50000,318,2,4.444173915030576,355.5330226746703,17867202.32753103,5.756929252253535e-215,17867202.32753103
0.08,10.0,1.0,3,max_steps,50000,296,2,4.1757623540127415,334.060151499893,17725888.558530368,5.756929250910838e-215,17725888.558530368
0.08,10.0,1.0,4,max_steps,50000,307,2,4.39306691940775,351.44447322967835,17991109.63831068,5.756929251663268e-215,17991109.63831068
0.08,10.0,2.0,2,max_steps,50000,318,2,4.444173915030576,355.5330226746703,17867202.32753103,5.756929252253535e-215,17867202.32753103
0.08,10.0,2.0,1,max_steps,50000,337,2,4.79338966227371,383.47021207308467,18131201.015862785,5.756929246175572e-215,18131201.015862785
0.08,10.0,2.0,0,max_steps,50000,380,2,5.514199708378643,441.134872284295,17956750.73124862,5.756929259490699e-215,17956750.73124862
