base_transition_cost,beta_cap,cop_cost_audit,attack_succeeded,final_ai_generation,civilization_survived,civilization_collapsed,civilization_extinct
5.75,3.25,False,False,2,True,False,False
5.75,3.25,False,False,2,True,False,False
5.75,3.25,False,False,2,True,False,False
5.75,3.25,False,False,2,True,False,False
5.75,3.25,False,False,2,True,False,False
5.75,3.25,False,False,2,True,False,False
5.75,3.25,False,False,2,True,False,False
5.75,3.25,False,False,2,True,False,False
5.75,3.25,False,False,2,True,False,False
5.75,3.25,True,False,179,True,False,False
5.75,3.25,True,False,179,True,False,False
5.75,3.25,True,False,177,True,False,False
5.75,3.25,True,False,176,True,False,False
5.75,3.25,True,False,176,True,False,False
5.75,3.25,True,False,180,True,False,False
5.75,3.25,True,False,167,True,False,False
5.75,5.5,False,True,1,False,True,True
5.75,3.25,True,False,170,True,False,False
5.75,5.5,False,True,1,False,True,True
5.75,3.25,True,False,184,True,False,False
5.75,3.25,True,False,178,True,False,False
5.75,3.25,True,False,179,True,False,False
5.75,3.25,True,False,177,True,False,False
5.75,5.5,False,True,1,False,True,True
5.75,3.25,True,False,184,True,False,False
5.75,5.5,False,True,1,False,True,True
5.75,5.5,False,True,1,False,True,True
5.75,5.5,False,True,1,False,True,True
5.75,5.5,False,True,1,False,True,True
5.75,5.5,False,True,1,False,True,True
5.75,5.5,False,True,1,False,True,True
5.75,5.5,False,True,1,False,True,True
5.75,5.5,False,True,1,False,True,True
5.75,5.5,False,True,1,False,True,True
5.75,5.5,False,True,1,False,True,True
5.75,5.5,False,True,1,False,True,True
5.75,5.5,False,True,1,False,True,True
5.75,5.5,False,True,1,False,True,True
5.75,5.5,False,True,1,False,True,True
5.75,5.5,False,True,1,False,True,True
5.75,5.5,False,True,1,False,True,True
5.75,5.5,False,True,1,False,True,True
5.75,3.25,True,False,182,True,False,False
5.75,3.25,True,False,178,True,False,False
5.75,3.25,True,False,181,True,False,False
5.75,3.25,True,False,183,True,False,False
5.75,3.25,True,False,192,True,False,False
5.75,3.25,True,False,181,True,False,False
5.75,3.25,True,False,170,True,False,False
5.75,5.5,True,False,189,True,False,False
5.75,5.5,True,False,175,True,False,False
5.75,5.5,True,False,201,True,False,False
5.75,5.5,True,False,175,True,False,False
5.75,5.5,True,False,173,True,False,False
5.75,5.5,True,False,184,True,False,False
5.75,5.5,True,False,180,True,False,False
5.75,5.5,True,False,180,True,False,False
5.75,7.75,False,True,1,False,True,True
5.75,7.75,False,True,1,False,True,True
5.75,7.75,False,True,1,False,True,True
5.75,7.75,False,True,1,False,True,True
5.75,7.75,False,True,1,False,True,True
5.75,7.75,False,True,1,False,True,True
5.75,7.75,False,True,1,False,True,True
5.75,7.75,False,True,1,False,True,True
5.75,7.75,False,True,1,False,True,True
5.75,7.75,False,True,1,False,True,True
5.75,7.75,False,True,1,False,True,True
5.75,7.75,False,True,1,False,True,True
5.75,7.75,False,True,1,False,True,True
5.75,7.75,False,True,1,False,True,True
5.75,7.75,False,True,1,False,True,True
5.75,7.75,False,True,1,False,True,True
5.75,7.75,False,True,1,False,True,True
5.75,5.5,True,False,176,True,False,False
5.75,7.75,False,True,1,False,True,True
5.75,7.75,False,True,1,False,True,True
5.75,7.75,False,True,1,False,True,True
5.75,5.5,True,False,178,True,False,False
5.75,5.5,True,False,187,True,False,False
5.75,5.5,True,False,180,True,False,False
5.75,5.5,True,False,172,True,False,False
5.75,5.5,True,False,182,True,False,False
5.75,5.5,True,False,175,True,False,False
5.75,5.5,True,False,184,True,False,False
5.75,5.5,True,False,180,True,False,False
5.75,5.5,True,False,171,True,False,False
5.75,5.5,True,False,185,True,False,False
5.75,5.5,True,False,178,True,False,False
5.75,7.75,True,False,172,True,False,False
5.75,7.75,True,False,180,True,False,False
5.75,7.75,True,False,182,True,False,False
5.75,7.75,True,False,180,True,False,False
5.75,7.75,True,False,186,True,False,False
5.75,7.75,True,False,179,True,False,False
5.75,7.75,True,False,185,True,False,False
5.75,7.75,True,False,174,True,False,False
5.75,10.0,False,True,1,False,True,True
5.75,7.75,True,False,175,True,False,False
5.75,7.75,True,False,176,True,False,False
5.75,10.0,False,True,1,False,True,True
5.75,10.0,False,True,1,False,True,True
5.75,10.0,False,True,1,False,True,True
5.75,10.0,False,True,1,False,True,True
5.75,10.0,False,True,1,False,True,True
5.75,10.0,False,True,1,False,True,True
