phi,alpha,reproduction_rate,successor_capability,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
10.0,1.0,0.066,4.0,True,False,False,321,282,0.0007389308099892377,0.22167924299677133,1.663253330799308e+51,3.3265100190234194e+49
10.0,1.0,0.066,4.0,True,False,False,523,281,0.0006966192384332737,0.2089857715299821,1.793044332929253e+51,3.58609227369086e+49
10.0,1.0,0.066,4.0,True,False,False,416,285,0.0006564118512994825,0.19692355538984474,7.272483063741035e+51,1.4544980777712634e+50
10.0,1.0,0.066,4.0,True,False,False,458,287,0.0006842765708660085,0.20528297125980255,1.7901921158279662e+52,3.580387831939978e+50
10.0,1.0,0.066,4.0,True,False,False,343,288,0.000657320601126478,0.1971961803379434,1.9717177763563534e+52,3.9434395272662485e+50
10.0,1.0,0.066,4.0,True,False,False,285,285,0.0007261954022617349,0.21785862067852046,4.99605825953304e+51,9.992126611175443e+49
10.0,1.0,0.08,4.0,True,False,False,2029,291,0.0006718046503530828,0.20154139510592484,1.9895420292666157e+53,3.979088043459471e+51
10.0,1.0,0.08,4.0,True,False,False,2244,262,0.0006765095368277067,0.202952861048312,5.266952279508719e+48,1.0533915106755926e+47
10.0,1.0,0.08,4.0,True,False,False,2025,283,0.0007567454673856533,0.227023640215696,7.801654293314487e+51,1.5603324214096748e+50
10.0,1.0,0.08,4.0,True,False,False,2031,284,0.0007167143957971792,0.21501431873915378,1.1650566066083276e+52,2.3301155466700875e+50
10.0,1.0,0.08,4.0,True,False,False,2248,234,0.0006839384038972544,0.20518152116917632,6.199665756220457e+43,1.2399343927464158e+42
10.0,2.0,0.06,4.0,False,True,False,105,4,0.0,0.0,0.0,0.0
10.0,2.0,0.06,4.0,False,True,False,42,4,0.0,0.0,0.0,0.0
10.0,2.0,0.06,4.0,False,True,False,69,189,0.00043190629933064146,0.12957188979919243,0.0,0.0
10.0,1.0,0.08,4.0,True,False,False,2226,225,0.0007277173413425102,0.21831520240275304,1.6205492642598312e+42,3.2411017739664283e+40
10.0,1.0,0.08,4.0,True,False,False,2388,232,0.0007075457692037397,0.21226373076112193,2.7640348765086595e+43,5.528075288782485e+41
10.0,1.0,0.08,4.0,True,False,False,2120,250,0.0007584025543995147,0.2275207663198544,2.4115994899245094e+46,4.823203809229569e+44
10.0,2.0,0.06,4.0,True,False,False,213,217,0.00045224244748734915,0.13567273424620474,3.953570240761679e+39,7.907148482544431e+37
10.0,1.0,0.08,4.0,True,False,False,2273,252,0.0006893893925051886,0.20681681775155658,9.209283492678342e+46,1.841858542985879e+45
10.0,2.0,0.06,4.0,False,True,False,169,4,0.0,0.0,0.0,0.0
10.0,1.0,0.08,4.0,True,False,False,2158,227,0.0006560623910836272,0.19681871732508815,3.628674919502722e+42,7.257357107202993e+40
10.0,2.0,0.06,4.0,False,True,False,121,271,0.00037105228691789225,0.11131568607536768,0.0,0.0
10.0,2.0,0.06,4.0,False,True,False,133,4,0.0,0.0,0.0,0.0
10.0,2.0,0.06,4.0,False,True,False,64,4,0.0,0.0,0.0,0.0
10.0,2.0,0.06,4.0,True,False,False,216,238,0.00038401047766160044,0.11520314329848014,1.9903825744046106e+43,3.980769183630887e+41
10.0,2.0,0.06,4.0,False,True,False,108,4,0.0,0.0,0.0,0.0
10.0,2.0,0.066,4.0,False,True,False,137,4,0.0,0.0,0.0,0.0
10.0,2.0,0.066,4.0,True,False,False,252,4,0.0,0.0,621.9046741689147,7.768557450314638
10.0,2.0,0.066,4.0,True,False,False,563,276,0.0003671479734157727,0.11014439202473181,2.527928154945965e+50,5.0558613957057025e+48
10.0,2.0,0.066,4.0,True,False,False,314,180,0.0004178647748018534,0.12535943244055603,1.7000966347210558e+33,3.4001967058962257e+31
10.0,2.0,0.066,4.0,True,False,False,370,277,0.000368996840308052,0.1106990520924156,2.4696214760792614e+50,4.939247931603283e+48
10.0,2.0,0.066,4.0,False,True,False,178,4,0.0,0.0,0.0,0.0
10.0,2.0,0.066,4.0,True,False,False,290,4,0.0,0.0,755.3276720578209,9.436347364945817
10.0,2.0,0.066,4.0,True,False,False,332,4,0.0,0.0,826.5674231170979,10.326845546142504
10.0,2.0,0.066,4.0,True,False,False,283,4,0.0,0.0,726.8828910946443,9.080787075927583
10.0,2.0,0.066,4.0,True,False,False,515,274,0.0004137153987448087,0.12411461962344261,1.0399545745780765e+50,2.079911240461991e+48
10.0,2.0,0.08,4.0,True,False,False,1776,4,0.0,0.0,2598.769087422767,32.47939862642554
10.0,2.0,0.08,4.0,True,False,False,1764,4,0.0,0.0,2609.966981085693,32.619372502116164
10.0,2.0,0.08,4.0,True,False,False,1726,4,0.0,0.0,2584.428242857387,32.300137805021784
10.0,2.0,0.08,4.0,True,False,False,1824,4,0.0,0.0,2589.6919407336654,32.36593412553437
10.0,2.0,0.08,4.0,True,False,False,1952,4,0.0,0.0,2610.5673614198886,32.6268772635632
25.0,0.1,0.06,4.0,False,True,False,55,300,0.030833225600731592,4.752221291698704,0.0,0.0
25.0,0.1,0.06,4.0,False,True,False,129,300,0.029996765513995906,4.656370251405245,0.0,0.0
25.0,0.1,0.06,4.0,False,True,False,33,298,0.029053094082399096,4.552839865235285,0.0,0.0
25.0,0.1,0.06,4.0,False,True,False,54,300,0.029304506930786265,4.558843621475118,0.0,0.0
