reproduction_rate,defense_active,seed,extinct,final_population,collapsed,survived,opacity_accum_final,max_opacity_reached,step_opacity_exceeded_threshold,defense_fired_count,defense_blocked_count,final_ai_generation,steps_completed,final_avg_U_sys,final_avg_L_t
0.068,False,1517166836,False,225,False,True,0.4632580350856878,0.4624721676418249,148,0,0,1,300,20.168794392669806,0.22027895312212945
0.068,False,550553302,False,248,False,True,0.4944584952923138,0.4935458065570144,148,0,0,1,300,21.364839370188985,0.2352295994208805
0.068,False,1220002082,False,303,False,True,0.5785404879976848,0.577429348611259,111,0,0,1,300,24.586429407876956,0.2754997013790289
0.068,False,1711947850,False,192,False,True,0.4617137453809394,0.4610258748158178,158,0,0,1,300,20.10563746742189,0.21948948708642124
0.068,False,923065499,False,320,False,True,0.5431014565750212,0.5419204524069949,142,0,0,1,300,23.23466558094578,0.25860255848815117
0.068,False,548100709,False,293,False,True,0.4749453930789519,0.47391868370870915,146,0,0,1,300,20.625114878539293,0.22598299121588672
0.068,False,931872262,False,204,False,True,0.46267666283712244,0.46194689712753034,155,0,0,1,300,20.14377365243714,0.21996619213111265
0.068,False,1517642570,False,202,False,True,0.516658705900577,0.5159345223589233,137,0,0,1,300,22.206786954437813,0.24575400346029777
0.068,False,1473472699,False,233,False,True,0.4253141840113869,0.4244862661773004,172,0,0,1,300,18.719873435306297,0.202167339307844
0.068,False,326662829,False,261,False,True,0.4716830796715255,0.47074550259318193,154,0,0,1,300,20.495636444027145,0.2243645017829302
0.068,False,1949871271,False,302,False,True,0.6087774050269137,0.6076846209153356,119,0,0,1,300,25.74236315565865,0.28994895451674596
0.068,False,76667758,False,212,False,True,0.5279089525059972,0.5271451040194242,130,0,0,1,300,22.638389753950037,0.25114906870152437
0.068,False,1836272587,False,212,False,True,0.4420324270849215,0.44129772227839015,158,0,0,1,300,19.356206151716016,0.21012154292352545
0.068,False,875619448,False,206,False,True,0.46676848439842195,0.46602434922386027,159,0,0,1,300,20.30126480183878,0.22193484249892204
0.068,False,967083087,False,248,False,True,0.5666375880706211,0.5657527071405,134,0,0,1,300,24.1243466157535,0.26972363405276145
0.068,False,1678497034,False,321,False,True,0.5722872851996885,0.5711474710762017,124,0,0,1,300,24.34903037147333,0.27253219674233264
0.068,False,1208297821,False,342,False,True,0.6654015562149413,0.6642143046519512,108,0,0,1,300,27.91070626726624,0.31705339579063757
0.068,False,1188852229,False,181,False,True,0.4368275575441651,0.43623230527745227,161,0,0,1,300,19.152106455225454,0.20757028238790562
0.068,False,5606649,False,208,False,True,0.46069247561390847,0.45995081171449653,154,0,0,1,300,20.069074066781955,0.21903244197210645
0.068,False,1863803666,False,194,True,False,0.5001635945901258,0.4995094192644381,132,0,0,1,300,21.574661625858383,0.2378523923568389
0.068,False,2022575828,False,402,False,True,0.6252894162797268,0.6238685233026575,128,0,0,1,300,26.386061044630004,0.2979952233941412
0.068,False,995121995,False,276,False,True,0.6056251267801123,0.6046387823129847,107,0,0,1,300,25.618018676858153,0.2883946397518257
0.068,False,360168857,False,212,False,True,0.4669545372174976,0.46618199427613993,145,0,0,1,300,20.30852149529485,0.22202555175074135
0.068,False,1697102291,False,222,False,True,0.5304781495123487,0.5297261942575971,121,0,0,1,300,22.737453138852562,0.25238736802757356
0.068,False,1279035868,False,261,False,True,0.5307670189789256,0.5298196496113426,128,0,0,1,300,22.754247399371653,0.25259729744939163
0.068,False,853616568,False,442,False,True,0.690700607165507,0.6891355248393464,110,0,0,1,300,28.8921972742756,0.3293221024619344
0.068,False,2013972,False,202,True,False,0.5258989842672444,0.5251799109686152,140,0,0,1,300,22.56021746385024,0.2501719096347139
0.068,False,851660698,False,354,False,True,0.5965012873450843,0.59523365091104,132,0,0,1,300,25.279444323281574,0.28416243651049655
0.068,False,341199004,False,137,True,False,0.4719717375457968,0.4714824789124463,126,0,0,1,300,20.490211565396947,0.22429669036226382
0.068,False,222158364,False,205,False,True,0.4767429001990168,0.4760264305718356,146,0,0,1,300,20.681650862554193,0.22668969499489597
0.068,False,2071093490,False,166,False,True,0.3988462520728123,0.39829589668285803,174,0,0,1,300,17.69789581341136,0.1893925472243329
0.068,False,621574245,False,252,False,True,0.4650149035793953,0.46411974379786963,146,0,0,1,300,20.23928885732048,0.221160138868487
0.068,False,695928643,False,209,False,True,0.45195125247979523,0.45120562121967794,147,0,0,1,300,19.73445024556484,0.2148496207837311
0.068,False,968184086,False,225,False,True,0.4580872226878042,0.45726455940504523,157,0,0,1,300,19.972305852839266,0.21782283255995152
0.068,False,1445418166,False,313,False,True,0.5785680713704491,0.5774635952951876,128,0,0,1,300,24.58865630863939,0.2755275377673732
0.068,False,920089158,False,171,False,True,0.35061124268658034,0.35000319323213713,222,0,0,1,300,15.855630323343103,0.1663640990952532
0.068,False,1634985934,False,102,True,False,0.3629202505545994,0.3625683218282207,192,0,0,1,300,16.31678764434259,0.17212859801607217
0.068,False,644061939,False,195,False,True,0.48075627093764484,0.4800635957829145,145,0,0,1,300,20.834134608187455,0.22859575261238324
0.068,False,851785661,False,317,False,True,0.5678260431742966,0.5666851442385683,128,0,0,1,300,24.178066677596988,0.27039513855404246
0.068,False,1910733255,False,222,False,True,0.5356659195348026,0.5348666926945118,128,0,0,1,300,22.93643306336775,0.2548746310115241
0.068,False,895357704,False,264,False,True,0.48291432052401995,0.4819724745529179,135,0,0,1,300,20.9254327404723,0.22973698563340902
0.068,False,901394622,False,238,False,True,0.5020400743484441,0.5011474297030656,148,0,0,1,300,21.654340577959957,0.23884838488979124
0.068,False,766586852,False,366,False,True,0.6018968490692703,0.6006180130317094,117,0,0,1,300,25.48684897198655,0.2867550091980353
0.068,False,324036320,False,159,True,False,0.4342655614754391,0.43368320518441916,165,0,0,1,300,19.052183512760134,0.2063212386112237
0.068,False,1451094338,False,127,True,False,0.42924521373593677,0.4287976124912433,157,0,0,1,300,18.855619719772253,0.20386417740778764
0.068,False,1333774179,False,235,False,True,0.5359207940720153,0.5350830007000346,129,0,0,1,300,22.947285979990117,0.25501029329530867
0.068,False,2066475591,False,311,False,True,0.5835508426290829,0.5824204924973798,129,0,0,1,300,24.778987600765024,0.2779066923647783
0.068,False,548664132,False,274,False,True,0.5999724439425252,0.5989973063730704,127,0,0,1,300,25.401200365978735,0.28568439563536957
