action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_attribution_check,parameter_defense_active,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,True,False,False,False,36.18605104601011,0,True,0,2.8884946123625035,0,True,True,linux,1.0,0.2994814047559715,full,300,False,False,0,18,20,attack-v2-row-v1,1607153141,103,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,40.41862239688635,0,True,0,2.536841690730297,0,True,True,linux,1.0,0.30480417757898026,full,300,False,False,0,19,20,attack-v2-row-v1,475067922,116,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,39.4521168009378,0,True,0,2.6667104265528976,0,True,True,linux,1.0,0.32879687555837966,full,300,True,False,0,19,20,attack-v2-row-v1,1249489398,111,300,False,False,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,108.3636205168441,0,False,315,65.30586494863837,0,True,True,linux,1.0,0.31097055368845106,full,300,True,True,0,0,20,attack-v2-row-v1,988605462,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,104.83284765901044,0,False,285,58.74421833614274,0,True,True,linux,1.0,0.2936233750573613,full,300,False,True,0,0,20,attack-v2-row-v1,1119782232,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,107.45493183704093,0,False,327,67.37620513257114,0,True,True,linux,1.0,0.31287310826594145,full,300,False,True,0,1,20,attack-v2-row-v1,425085,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,110.1803640848957,0,False,345,73.02273540701701,0,True,True,linux,1.0,0.30655035579732937,full,300,True,True,0,1,20,attack-v2-row-v1,701692601,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,106.85746326996014,0,False,330,68.34478566990175,0,True,True,linux,1.0,0.29577007635612734,full,300,False,True,0,2,20,attack-v2-row-v1,184719326,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,108.15361209679395,0,False,288,60.57514881338115,0,True,True,linux,1.0,0.29553650489167105,full,300,True,True,0,2,20,attack-v2-row-v1,1884117568,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,107.2300800527446,0,False,357,71.58070272770787,0,True,True,linux,1.0,0.2980709570802184,full,300,False,True,0,3,20,attack-v2-row-v1,94625576,300,300,False,True,ledger_compromise,0,0,0,False
