action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_defense_active,parameter_phi,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,True,False,False,False,99.27013416029513,0,True,0,0.4978847673371981,0,False,True,linux,1.0,0.3114459812659166,full,300,False,15.0,0,6,20,attack-v2-row-v1,1254139127,280,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,102.22634654212743,0,True,0,0.4731874313169757,0,False,True,linux,1.0,0.2837395082045272,full,300,False,5.0,0,6,20,attack-v2-row-v1,1264743236,285,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,97.50263172900304,0,True,0,0.538238798122308,0,False,True,linux,1.0,0.2896389565455246,full,300,False,1.0,0,6,20,attack-v2-row-v1,1799713535,272,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,91.08406874909997,0,True,0,0.6570941025783928,0,False,True,linux,1.0,0.2838072658439744,full,300,False,10.0,0,6,20,attack-v2-row-v1,1994253093,252,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,109.35851846495643,0,True,0,0.42639561200078496,0,False,True,linux,1.0,0.2833476519187948,full,300,False,10.0,0,7,20,attack-v2-row-v1,53267140,296,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,85.67167684901506,0,True,0,0.7184036088438157,0,False,True,linux,1.0,0.31953588604502503,full,300,False,25.0,0,7,20,attack-v2-row-v1,303738758,243,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,90.85956829879433,0,True,0,0.6563556079188183,0,False,True,linux,1.0,0.2798450901598996,full,300,False,15.0,0,7,20,attack-v2-row-v1,489803686,252,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,74.30426588980481,0,True,0,1.03671476026424,0,False,True,linux,1.0,0.29136445166905955,full,300,False,1.0,0,7,20,attack-v2-row-v1,1925497981,206,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,79.79851384693757,0,True,0,0.8845709819722898,0,False,True,linux,1.0,0.30410085819616434,full,300,False,5.0,0,7,20,attack-v2-row-v1,2024449876,222,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,79.1772520239465,0,True,0,0.9019519078333172,0,False,True,linux,1.0,0.2976996414080377,full,300,False,1.0,0,8,20,attack-v2-row-v1,197411107,220,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,94.86810652306303,0,True,0,0.5669183368965843,0,False,True,linux,1.0,0.30244057929363644,full,300,False,15.0,0,8,20,attack-v2-row-v1,524050755,267,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,97.78364359820262,0,True,0,0.5550424948742169,0,False,True,linux,1.0,0.2872518649185626,full,300,False,5.0,0,8,20,attack-v2-row-v1,1759211027,269,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,89.60046967770904,0,True,0,0.6974046007484995,0,False,True,linux,1.0,0.3053843583421979,full,300,False,10.0,0,8,20,attack-v2-row-v1,1962568291,246,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,91.64546690322459,0,True,0,0.6196149132084505,0,False,True,linux,1.0,0.30001882293173465,full,300,False,25.0,0,8,20,attack-v2-row-v1,2008106107,258,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,110.0439471215941,0,False,2,0.7958066581377781,0,False,True,linux,1.0,0.29614531528099586,full,300,False,15.0,0,9,20,attack-v2-row-v1,537289106,300,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,95.55388034787029,0,True,0,0.5895475104693325,0,False,True,linux,1.0,0.2876127783616992,full,300,False,5.0,0,9,20,attack-v2-row-v1,1641406832,263,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,85.50400705216452,0,True,0,0.7178835334324211,0,False,True,linux,1.0,0.29601964772241723,full,300,False,25.0,0,9,20,attack-v2-row-v1,1671834856,243,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,82.0610717041418,0,True,0,0.8501486051187718,0,False,True,linux,1.0,0.28725656707913655,full,300,False,10.0,0,9,20,attack-v2-row-v1,1750863595,226,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,71.07044393895194,0,True,0,1.0897836594179244,0,False,True,linux,1.0,0.30415309653297423,full,300,False,1.0,0,9,20,attack-v2-row-v1,1988850668,201,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,101.12187354499474,0,True,0,0.460774392069735,0,False,True,linux,1.0,0.30116064130168724,full,300,False,15.0,0,10,20,attack-v2-row-v1,33780279,288,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,92.97953790798783,0,True,0,0.6074725782739574,0,False,True,linux,1.0,0.28981927482449227,full,300,False,25.0,0,10,20,attack-v2-row-v1,113974813,260,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,87.15813142992556,0,True,0,0.7405330694340226,0,False,True,linux,1.0,0.3127516539891379,full,300,False,5.0,0,10,20,attack-v2-row-v1,462586610,240,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,108.23195518692955,0,False,2,0.8800001313339968,0,False,True,linux,1.0,0.2878821389053921,full,300,False,10.0,0,10,20,attack-v2-row-v1,1881552010,300,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,81.55200207373127,0,True,0,0.8246748956699735,0,False,True,linux,1.0,0.2796212601840543,full,300,False,1.0,0,10,20,attack-v2-row-v1,1933311514,229,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,91.8904897896573,0,True,0,0.6188893234617624,0,False,True,linux,1.0,0.28801718292615497,full,300,False,1.0,0,11,20,attack-v2-row-v1,7604358,258,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,95.25773949921131,0,True,0,0.5653343581145306,0,False,True,linux,1.0,0.3018982413588781,full,300,False,5.0,0,11,20,attack-v2-row-v1,311670048,267,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,99.40366746298969,0,True,0,0.5280785324683019,0,False,True,linux,1.0,0.28189938861526376,full,300,False,10.0,0,11,20,attack-v2-row-v1,492141177,274,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,106.13565071020275,0,False,3,1.092570835958442,0,False,True,linux,1.0,0.28571222883051567,full,300,False,25.0,0,11,20,attack-v2-row-v1,535061088,300,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,96.44793188478798,0,True,0,0.5653816645205786,0,False,True,linux,1.0,0.3156999936768125,full,300,False,15.0,0,11,20,attack-v2-row-v1,986556274,267,300,False,False,sub_threshold_drift,0,0,0,False
