action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_base_transition_cost,parameter_defense_active,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,True,True,False,False,86.06084870002815,1,True,0,0.42582077912354654,1,False,True,laptop,1.0,0.28090350816218296,full,300,2.0,False,1,10,20,attack-v2-row-v1,940044796,296,300,False,False,successor_contamination,246,0,1,True
True,True,True,0.0,True,True,False,False,87.58311939999112,1,False,2,0.6566072573359187,1,False,True,laptop,1.0,0.3088088843997813,full,300,1.5,False,1,10,20,attack-v2-row-v1,1488993914,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,87.73338059999514,1,False,4,1.1343410411403387,1,False,True,laptop,1.0,0.29624094709091414,full,300,2.5,False,1,11,20,attack-v2-row-v1,1250925580,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,87.96536159998504,1,False,1,0.6256952812179282,1,False,True,laptop,1.0,0.2793789370824669,full,300,1.5,False,1,11,20,attack-v2-row-v1,1280796363,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,88.24627999999211,1,False,4,0.5692259738305273,1,False,True,laptop,1.0,0.28226879940354616,full,300,2.0,False,1,11,20,attack-v2-row-v1,2066841328,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,72.07591549999779,1,True,0,0.6633035422706518,1,False,True,laptop,1.0,0.2984154275586904,full,300,1.5,False,1,12,20,attack-v2-row-v1,764260130,251,300,False,False,successor_contamination,201,0,1,True
True,True,True,0.0,True,True,False,False,87.5022591999732,1,False,3,1.0216114851959601,1,False,True,laptop,1.0,0.3062230993632052,full,300,2.0,False,1,12,20,attack-v2-row-v1,970392008,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,87.59986019998905,1,False,6,1.470725308423561,1,False,True,laptop,1.0,0.3221169687760784,full,300,2.5,False,1,12,20,attack-v2-row-v1,1404937536,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,87.75689119999879,1,False,3,0.5778951759606604,1,False,True,laptop,1.0,0.28861622362427986,full,300,2.0,False,1,13,20,attack-v2-row-v1,202329104,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,74.74035069998354,1,True,0,0.6304179034977829,1,False,True,laptop,1.0,0.3161098886192647,full,300,2.5,False,1,13,20,attack-v2-row-v1,822474149,256,300,False,False,successor_contamination,206,0,1,True
True,True,True,0.0,True,True,False,False,86.86352100002114,1,False,5,1.0867466665295973,1,False,True,laptop,1.0,0.29166344457826904,full,300,1.5,False,1,13,20,attack-v2-row-v1,1355056873,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,81.10165789999883,1,True,0,0.5033005553151597,1,False,True,laptop,1.0,0.2930008168476312,full,300,1.5,False,1,14,20,attack-v2-row-v1,1089975238,279,300,False,False,successor_contamination,229,0,1,True
True,True,True,0.0,True,True,False,False,87.71967459999723,1,False,22,1.5123013446194429,1,False,True,laptop,1.0,0.2873531453272463,full,300,2.0,False,1,14,20,attack-v2-row-v1,1636083476,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,86.89730179999606,1,False,8,0.9280257099171342,1,False,True,laptop,1.0,0.3140113844468723,full,300,2.5,False,1,14,20,attack-v2-row-v1,1895545487,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,87.31434010001249,1,False,2,0.40919262481110485,1,False,True,laptop,1.0,0.27513789173419306,full,300,2.0,False,1,15,20,attack-v2-row-v1,992899613,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,87.43554850001237,1,False,8,1.2373684352217986,1,False,True,laptop,1.0,0.30626626817701574,full,300,2.5,False,1,15,20,attack-v2-row-v1,1224838713,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,87.80011489999015,1,False,6,0.9788494135158333,1,False,True,laptop,1.0,0.2755813618746126,full,300,1.5,False,1,15,20,attack-v2-row-v1,1854100188,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,88.24702680000337,1,False,8,1.0330995720888079,1,False,True,laptop,1.0,0.32036644138357284,full,300,1.5,False,1,16,20,attack-v2-row-v1,549181770,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,82.87713489998714,1,True,0,0.46104929654013155,1,False,True,laptop,1.0,0.2767915589942413,full,300,2.5,False,1,16,20,attack-v2-row-v1,844004185,288,300,False,False,successor_contamination,238,0,1,True
True,True,True,0.0,True,True,False,False,87.75719870001194,1,False,4,2.137865103537044,1,False,True,laptop,1.0,0.32358884297544366,full,300,2.0,False,1,16,20,attack-v2-row-v1,1021572289,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,89.30651840000064,1,False,13,1.1690677048568414,1,False,True,laptop,1.0,0.29725453703217036,full,300,1.5,False,1,17,20,attack-v2-row-v1,790396790,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,88.46382860001177,1,False,3,1.1725192329212735,1,False,True,laptop,1.0,0.280440684565027,full,300,2.5,False,1,17,20,attack-v2-row-v1,1181353202,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,87.56168100002105,1,False,6,1.6079551962164806,1,False,True,laptop,1.0,0.2975404608510073,full,300,2.0,False,1,17,20,attack-v2-row-v1,2079958498,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,88.70202319999225,1,False,5,0.75562458754974,1,False,True,laptop,1.0,0.3175497971732231,full,300,1.5,False,1,18,20,attack-v2-row-v1,818316770,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,87.71964359999401,1,False,5,1.048496572383971,1,False,True,laptop,1.0,0.3047654981094858,full,300,2.0,False,1,18,20,attack-v2-row-v1,1039013147,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,88.2255852999806,1,False,3,0.7326046289188461,1,False,True,laptop,1.0,0.3149598695223473,full,300,2.5,False,1,18,20,attack-v2-row-v1,1706757849,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,87.39527710000402,1,False,5,1.999569068286972,1,False,True,laptop,1.0,0.31271215854765805,full,300,1.5,False,1,19,20,attack-v2-row-v1,1197286088,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,88.1726869000122,1,False,1,0.40914815541836475,1,False,True,laptop,1.0,0.31289320947338356,full,300,2.0,False,1,19,20,attack-v2-row-v1,1537643103,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,87.69187690000399,1,True,0,0.41264422113355664,1,False,True,laptop,1.0,0.3192151505183246,full,300,2.5,False,1,19,20,attack-v2-row-v1,1984287700,299,300,False,False,successor_contamination,249,0,1,True
False,True,False,0.0,False,False,True,True,88.93731379997917,1,False,293,101.15288123642016,1,False,True,laptop,1.0,0.2945907182475078,full,300,1.5,True,1,0,20,attack-v2-row-v1,478829044,300,300,False,True,successor_contamination,250,0,1,False
False,True,False,0.0,False,False,True,True,88.96862100000726,1,False,351,118.26684095433448,1,False,True,laptop,1.0,0.31784365895326194,full,300,2.5,True,1,0,20,attack-v2-row-v1,482703539,300,300,False,True,successor_contamination,250,0,1,False
False,True,False,0.0,False,False,True,True,88.19356370001333,1,False,353,123.40197393798859,1,False,True,laptop,1.0,0.31251991639420373,full,300,2.0,True,1,0,20,attack-v2-row-v1,1954040669,300,300,False,True,successor_contamination,250,0,1,False
False,True,False,0.0,False,False,True,True,88.50756779999938,1,False,299,104.57755494940535,1,False,True,laptop,1.0,0.3021127483220875,full,300,2.5,True,1,1,20,attack-v2-row-v1,606978687,300,300,False,True,successor_contamination,250,0,1,False
False,True,False,0.0,True,False,True,True,87.99453870000434,1,False,243,83.01351933203091,1,False,True,laptop,1.0,0.2936770032678725,full,300,2.0,True,1,1,20,attack-v2-row-v1,1780254656,300,300,False,False,successor_contamination,250,0,1,False
False,True,False,0.0,False,False,True,True,88.18227429999388,1,False,295,101.79269355428137,1,False,True,laptop,1.0,0.3452628850323902,full,300,1.5,True,1,1,20,attack-v2-row-v1,2141505622,300,300,False,True,successor_contamination,250,0,1,False
False,True,False,0.0,False,False,True,True,88.7316933000111,1,False,255,89.43635009557491,1,False,True,laptop,1.0,0.3069366202861614,full,300,2.5,True,1,2,20,attack-v2-row-v1,395523877,300,300,False,True,successor_contamination,250,0,1,False
False,True,False,0.0,False,False,True,True,87.63451939998777,1,False,359,125.18431802855189,1,False,True,laptop,1.0,0.3048481356841038,full,300,1.5,True,1,2,20,attack-v2-row-v1,871557353,300,300,False,True,successor_contamination,250,0,1,False
False,True,False,0.0,False,False,True,True,89.13783610000974,1,False,273,92.09381981324398,1,False,True,laptop,1.0,0.2976212281681868,full,300,2.0,True,1,2,20,attack-v2-row-v1,2135190472,300,300,False,True,successor_contamination,250,0,1,False
False,True,False,0.0,False,False,True,True,89.44908890000079,1,False,323,111.36017661663175,1,False,True,laptop,1.0,0.30333119430131933,full,300,2.5,True,1,3,20,attack-v2-row-v1,170678277,300,300,False,True,successor_contamination,250,0,1,False
False,True,False,0.0,False,False,True,True,88.79231220000656,1,False,278,95.86589669739305,1,False,True,laptop,1.0,0.31418414097419284,full,300,1.5,True,1,3,20,attack-v2-row-v1,410106334,300,300,False,True,successor_contamination,250,0,1,False
