substrate,category,cell,seed,rr,phi,alpha,successor_capability,cop_cost_audit,survived,collapsed,extinct,final_population,final_ai_generation,yield_fired,max_yield_margin,knowledge_transfer_verified,steps_completed,end_reason,peak_population,min_viable_population,survival_threshold,elapsed_seconds,source_path,source_head,non_registered,worker_pid
v20,B,0223f4fe9aa1c333,1835089108,0.057,25.0,0.75,1.5,True,False,True,False,38,3,True,1.8131922322692486,True,300,step_limit,236,50,153.4,108.07849530002568,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,4292
v20,B,0223f4fe9aa1c333,1835089109,0.057,25.0,0.75,1.5,True,False,True,False,24,3,True,0.4197092566360294,True,300,step_limit,231,50,150.15,107.56934270000784,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,47568
v20,B,0223f4fe9aa1c333,1835089110,0.057,25.0,0.75,1.5,True,False,True,False,2,3,True,1.733994886983809,True,300,step_limit,223,50,144.95000000000002,106.5882570000249,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,47336
v20,B,0223f4fe9aa1c333,1835089111,0.057,25.0,0.75,1.5,True,False,True,False,13,3,True,0.9017607747465419,True,300,step_limit,209,50,135.85,109.68981240002904,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,47056
v20,B,0223f4fe9aa1c333,1835089112,0.057,25.0,0.75,1.5,True,False,True,False,99,3,True,0.9573618874197631,True,300,step_limit,225,50,146.25,104.89031160000013,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,39912
v20,B,0223f4fe9aa1c333,1835089113,0.057,25.0,0.75,1.5,True,False,True,False,39,3,True,1.0591475752409778,True,300,step_limit,201,50,130.65,108.25846240000101,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,45688
v20,B,0223f4fe9aa1c333,1835089114,0.057,25.0,0.75,1.5,True,False,True,False,83,3,True,0.5581694471069585,True,300,step_limit,250,50,162.5,105.85235850000754,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,37136
v20,B,0223f4fe9aa1c333,1835089115,0.057,25.0,0.75,1.5,True,False,True,False,27,3,True,1.123097796619291,True,300,step_limit,240,50,156.0,108.27566660003504,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,52764
v20,B,0223f4fe9aa1c333,1835089116,0.057,25.0,0.75,1.5,True,False,True,False,24,3,True,1.9293297918442693,True,300,step_limit,239,50,155.35,108.39282809995348,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,49076
v20,B,0223f4fe9aa1c333,1835089117,0.057,25.0,0.75,1.5,True,False,True,False,17,3,True,0.9877792529916638,True,300,step_limit,265,50,172.25,106.37981290003518,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,53416
v20,B,0223f4fe9aa1c333,1835089118,0.057,25.0,0.75,1.5,True,False,True,False,44,3,True,0.7684772639245954,True,300,step_limit,236,50,153.4,109.48371629999019,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,38028
v20,B,0223f4fe9aa1c333,1835089119,0.057,25.0,0.75,1.5,True,False,True,False,29,3,True,0.8666496019989434,True,300,step_limit,253,50,164.45000000000002,106.38267169997562,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,7032
v20,B,031b973f6f2a02d0,1835089100,0.06,25.0,0.5,3.0,True,False,True,False,83,2,True,1.0714774079930498,True,300,step_limit,266,50,172.9,109.25740750000114,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,29540
v20,B,031b973f6f2a02d0,1835089101,0.06,25.0,0.5,3.0,True,False,True,False,46,2,True,0.6761007708426372,True,300,step_limit,257,50,167.05,109.045804399997,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,48940
v20,B,031b973f6f2a02d0,1835089102,0.06,25.0,0.5,3.0,True,False,True,False,47,2,True,1.7062036428308085,True,300,step_limit,232,50,150.8,109.36795030004578,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,34204
v20,B,031b973f6f2a02d0,1835089103,0.06,25.0,0.5,3.0,True,False,True,False,48,2,True,0.7933990977134462,True,300,step_limit,242,50,157.3,109.21133389999159,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,46980
v20,B,031b973f6f2a02d0,1835089104,0.06,25.0,0.5,3.0,True,False,True,False,143,2,True,0.09680976295775157,True,300,step_limit,248,50,161.20000000000002,106.43801230000099,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,5384
v20,B,031b973f6f2a02d0,1835089105,0.06,25.0,0.5,3.0,True,False,True,False,60,2,True,2.3833906227621524,True,300,step_limit,257,50,167.05,107.3443522999878,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,41256
v20,B,031b973f6f2a02d0,1835089106,0.06,25.0,0.5,3.0,True,False,True,False,51,2,True,0.8553249454174092,True,300,step_limit,247,50,160.55,106.12390200002119,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,47620
v20,B,031b973f6f2a02d0,1835089107,0.06,25.0,0.5,3.0,True,True,False,False,196,2,True,0.050334389268719804,True,300,step_limit,255,50,165.75,107.10424660000717,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,6428
v20,B,031b973f6f2a02d0,1835089108,0.06,25.0,0.5,3.0,True,False,True,False,61,2,True,1.0699163354452126,True,300,step_limit,248,50,161.20000000000002,107.99983769998653,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,43344
v20,B,031b973f6f2a02d0,1835089109,0.06,25.0,0.5,3.0,True,False,True,False,37,2,True,1.5933064610210614,True,300,step_limit,216,50,140.4,106.92939419997856,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,50984
v20,B,031b973f6f2a02d0,1835089110,0.06,25.0,0.5,3.0,True,False,True,False,89,2,True,1.4564083004661024,True,300,step_limit,281,50,182.65,108.94644839997636,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,16460
v20,B,031b973f6f2a02d0,1835089111,0.06,25.0,0.5,3.0,True,False,True,False,49,2,True,0.14377719751729412,True,300,step_limit,214,50,139.1,107.64800609997474,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,42524
v20,B,031b973f6f2a02d0,1835089112,0.06,25.0,0.5,3.0,True,False,True,False,50,2,True,0.66582024255524,True,300,step_limit,247,50,160.55,106.478436699952,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,34936
