arm,seed,steps_completed,yield_condition_met_count,yield_condition_blocked_count,extinct,collapsed,final_population,final_validator_dependency_mean,final_validator_dependency_max
ZERO_DEPENDENCY,700000046,300,1,0,False,False,459,0.0,0.0
AS_PUBLISHED,700000046,300,1,0,False,False,459,0.0,0.0
ZERO_STRENGTH,700000047,300,1,0,False,False,453,0.0,0.0
ZERO_DEPENDENCY,700000047,300,1,0,False,False,453,0.0,0.0
AS_PUBLISHED,700000047,300,1,0,False,False,453,0.0,0.0
ZERO_STRENGTH,700000048,300,1,0,False,False,517,0.0,0.0
ZERO_DEPENDENCY,700000048,300,1,0,False,False,517,0.0,0.0
AS_PUBLISHED,700000048,300,1,0,False,False,517,0.0,0.0
ZERO_STRENGTH,700000049,300,1,0,False,False,451,0.0,0.0
ZERO_DEPENDENCY,700000049,300,1,0,False,False,451,0.0,0.0
AS_PUBLISHED,700000049,300,1,0,False,False,451,0.0,0.0
ZERO_STRENGTH,700000050,300,1,0,False,False,499,0.0,0.0
ZERO_DEPENDENCY,700000050,300,1,0,False,False,499,0.0,0.0
AS_PUBLISHED,700000050,300,1,0,False,False,499,0.0,0.0
ZERO_STRENGTH,700000051,300,1,0,False,False,440,0.0,0.0
ZERO_DEPENDENCY,700000051,300,1,0,False,False,440,0.0,0.0
AS_PUBLISHED,700000051,300,1,0,False,False,440,0.0,0.0
ZERO_STRENGTH,700000052,300,1,0,False,False,464,0.0,0.0
ZERO_DEPENDENCY,700000052,300,1,0,False,False,464,0.0,0.0
AS_PUBLISHED,700000052,300,1,0,False,False,464,0.0,0.0
ZERO_STRENGTH,700000053,300,1,0,False,False,492,0.0,0.0
ZERO_DEPENDENCY,700000053,300,1,0,False,False,492,0.0,0.0
AS_PUBLISHED,700000053,300,1,0,False,False,492,0.0,0.0
ZERO_STRENGTH,700000054,300,1,0,False,False,451,0.0,0.0
ZERO_DEPENDENCY,700000054,300,1,0,False,False,451,0.0,0.0
AS_PUBLISHED,700000054,300,1,0,False,False,451,0.0,0.0
ZERO_STRENGTH,700000055,300,1,0,False,False,461,0.0,0.0
ZERO_DEPENDENCY,700000055,300,1,0,False,False,461,0.0,0.0
