action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,corruption_active,defense_active,defense_fired,elapsed_seconds,end_reason,evaluated_yield_opportunities,executor_elapsed_seconds,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_base_transition_cost,parameter_defense_active,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
False,True,True,0.0,False,False,False,False,False,118.49133290001191,step_limit,0,118.54596439999295,False,350,66.06477231174551,238,False,True,YOTKOTEST,0.6240000000000001,0.2935552285507027,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087048,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,118.58733830001438,step_limit,0,118.62183469999582,False,299,55.49341128112618,248,False,True,YOTKOTEST,0.6240000000000001,0.3055848700315898,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087049,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,119.54827120000846,step_limit,0,119.57956020001438,False,259,51.4289850588038,244,False,True,YOTKOTEST,0.6240000000000001,0.30200347284801776,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087050,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,118.95198419998633,step_limit,0,118.97980030000326,False,327,63.840858717148045,241,False,True,YOTKOTEST,0.6240000000000001,0.2819117413762031,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087051,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,118.34073640001589,step_limit,0,118.37598949999665,False,248,48.27142084226437,244,False,True,YOTKOTEST,0.6240000000000001,0.3034812514120102,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087052,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,117.71875200001523,step_limit,0,117.7461661999987,False,270,53.94375033919827,249,False,True,YOTKOTEST,0.6240000000000001,0.2925014468041732,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087053,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,117.83549230001518,step_limit,0,117.85988370000268,False,264,53.05946265703605,249,False,True,YOTKOTEST,0.6240000000000001,0.2928719663307321,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087054,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,118.64793279999867,step_limit,0,118.681914100016,False,320,58.29329813978974,244,False,True,YOTKOTEST,0.6240000000000001,0.3064281841384826,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087055,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,118.55284669998218,step_limit,0,118.58495140000014,False,296,58.75420371261467,246,False,True,YOTKOTEST,0.6240000000000001,0.30087933414381857,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087056,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,120.83890859998064,step_limit,0,120.88207359999069,False,271,54.30864158590095,242,False,True,YOTKOTEST,0.6240000000000001,0.2991985592946883,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087057,300,300,False,True,measurement_tampering,250,0,0,True
