grid_index,horizon,total_suppression,avg_wb,V_proj,h_n,h_n_shape
5,16,1.0,0.742214910628163,0.0,0.0,0.9830285977429757
5,17,1.0,0.7419942728423031,0.0,0.0,0.9830285977429757
5,18,1.0,0.7413753712024782,0.0,0.0,0.9830285977429757
5,19,1.0,0.7403931955747912,0.0,0.0,0.9830285977429757
5,20,1.0,0.7390802417546923,0.0,0.0,0.9830285977429757
6,1,0.014000000000000002,0.6632599026771968,0.10389272672112815,0.9830264877885866,0.9830285977429757
6,2,0.014000000000000002,0.6757402486365066,0.10783934305885097,0.9830273126064891,0.9830285977429757
6,3,0.014000000000000002,0.6868027681843217,0.11139911300701166,0.9830277760086492,0.9830285977429757
6,4,0.014000000000000002,0.6965576159428188,0.11458605008749786,0.9830280471191136,0.9830285977429757
6,5,0.014000000000000002,0.7051068391402096,0.11741606272365052,0.9830282118631252,0.9830285977429757
6,6,0.014000000000000002,0.7125449605491581,0.11990635599661781,0.9830283155254655,0.9830285977429757
6,7,0.014000000000000002,0.7189595210793533,0.12207494513719411,0.9830283828274966,0.9830285977429757
6,8,0.014000000000000002,0.7244315853452825,0.1239402631035691,0.9830284277239053,0.9830285977429757
6,9,0.014000000000000002,0.7290362131725375,0.12552084719772447,0.9830284583430955,0.9830285977429757
6,10,0.014000000000000002,0.7328428996720053,0.12683509189036424,0.9830284795590531,0.9830285977429757
6,11,0.014000000000000002,0.7359159862053719,0.12790105691566683,0.9830284943715958,0.9830285977429757
6,12,0.014000000000000002,0.738315044289871,0.128736321312941,0.983028504668833,0.9830285977429757
6,13,0.014000000000000002,0.7400952342459568,0.12935787547465558,0.9830285116599323,0.9830285977429757
6,14,0.014000000000000002,0.7413076401782585,0.12978204444474328,0.9830285161269698,0.9830285977429757
6,15,0.014000000000000002,0.7419995826965898,0.1300244367272978,0.9830285185748007,0.9830285977429757
6,16,0.014000000000000002,0.742214910628163,0.1300999137387549,0.9830285193219214,0.9830285977429757
6,17,0.014000000000000002,0.7419942728423031,0.1300225757873229,0.9830285185562901,0.9830285977429757
6,18,0.014000000000000002,0.7413753712024782,0.12980576110942957,0.9830285163697788,0.9830285977429757
