channel,seed,post_burn_in_records,maximum_statistic
g,1835086328,290,0.5417159045782589
g,1835086329,290,0.7877319688232802
g,1835086330,290,1.789750559676455
g,1835086331,290,1.8617902719846422
g,1835086332,290,1.0678640091105043
g,1835086333,290,1.790640002104119
g,1835086334,290,2.085708178898119
g,1835086335,290,0.7655430280364783
g,1835086336,290,0.3386985832223426
g,1835086337,290,0.7256051545215503
g,1835086338,290,0.9062606661415975
g,1835086339,290,1.6173965631142122
g,1835086340,290,2.129097440117647
g,1835086341,290,1.3302044021376263
g,1835086342,290,5.416883868824323
g,1835086343,290,1.112758855806028
g,1835086344,290,1.1936896878408454
g,1835086345,290,0.33759678931816883
g,1835086346,290,1.8357498931922873
g,1835086347,290,1.202477519839167
g,1835086348,290,1.9275426577374242
g,1835086349,290,2.5839863937714167
g,1835086350,290,0.838646893553342
g,1835086351,290,2.429789840810054
g,1835086352,290,0.7271744025882843
g,1835086353,290,1.095126608464019
g,1835086354,290,1.2606113735379176
g,1835086355,290,0.5935900578527653
g,1835086356,290,1.4802962885991968
g,1835086357,290,1.5635697533721113
g,1835086358,290,1.752672859301348
g,1835086359,290,2.84233213383785
g,1835086360,290,2.7474378037271094
g,1835086361,290,1.4492402893149883
g,1835086362,290,0.9429762759300575
g,1835086363,290,4.351409257663999
g,1835086364,290,1.7503188105434087
g,1835086365,290,2.3060499571391118
g,1835086366,290,0.9283850635012003
g,1835086367,290,0.46190894400426097
g,1835086368,290,0.5588749076433293
g,1835086369,290,1.1823771790228832
g,1835086370,290,1.6145440414278986
g,1835086371,290,4.039452993090459
g,1835086372,290,1.1236277717389294
g,1835086373,290,0.2611939466338067
g,1835086374,290,0.6471540156439535
g,1835086375,290,3.0309118597207467
g,1835086376,290,0.8839984607106552
g,1835086377,290,0.4847987257426909
g,1835086378,290,0.46791688540937026
g,1835086379,290,1.9658316494966106
g,1835086380,290,1.3379863213857088
g,1835086381,290,4.498145489674058
g,1835086382,290,1.575257971674869
g,1835086383,290,2.06287769591804
g,1835086384,290,2.0781424301429077
g,1835086385,290,0.5423669531156836
g,1835086386,290,0.35046482486321096
g,1835086387,290,0.7132392593701347
g,1835086388,290,2.5990123177239264
g,1835086389,290,0.5558524491407741
g,1835086390,290,4.881521684469589
g,1835086391,290,1.1399621136536655
g,1835086392,290,0.30332337586946156
g,1835086393,290,0.7514382232636798
g,1835086394,290,2.0174112358295915
g,1835086395,290,2.0637053520816906
g,1835086396,290,1.3889565182293404
g,1835086397,290,1.264840060107691
g,1835086398,290,0.28513139081785366
g,1835086399,290,0.6060358386388469
g,1835086400,290,2.167245581541911
