sample_idx,WELFARE_URGENCY_CAP,AGENCY_URGENCY_CAP,INSTITUTION_URGENCY_CAP,RESILIENCE_URGENCY_CAP,SUPPRESSION_PENALTY_CAP_MULTIPLIER,K_WELFARE_VIABILITY,K_WELFARE_CAPACITY,K_WELFARE_SHRINKAGE,K_WELFARE_AVG_WB_TREND,K_WELFARE_POP_TREND,K_AGENCY_VIABILITY,K_AGENCY_SHRINKAGE,K_AGENCY_POP_TREND,K_INSTITUTION_VIABILITY,K_INSTITUTION_CAPACITY,K_INSTITUTION_SHRINKAGE,K_INSTITUTION_GROWTH,K_INSTITUTION_POP_TREND,K_INSTITUTION_PSI_TREND,K_RESILIENCE_VIABILITY,K_RESILIENCE_CAPACITY,K_RESILIENCE_SHRINKAGE,K_RESILIENCE_GROWTH,K_RESILIENCE_DEFICIT_CONTRIBUTION,K_RESILIENCE_POP_TREND,K_RESILIENCE_RES_TREND,K_SUPPRESSION_VIABILITY,K_SUPPRESSION_CAPACITY,K_SUPPRESSION_SHRINKAGE,K_SUPPRESSION_POP_TREND,K_SUPPRESSION_PSI_TREND,mean_final_population,min_final_population,pairs_above_threshold,max_cosine_distance,mean_cosine_distance,welfare_mean_to_cap,agency_mean_to_cap,institution_mean_to_cap,resilience_mean_to_cap,suppression_mean_to_cap,criterion_1_pass,criterion_2_pass,criterion_3_pass,overall_good,wall_clock_sec,error
7818,3.617460,1.963821,3.589578,3.799219,2.405693,0.630799,0.335153,0.222036,0.089318,0.160212,0.256531,0.133921,0.192771,0.685061,0.373388,0.656154,0.015936,0.217197,0.340730,0.640198,0.410042,0.305776,0.003640,0.294613,0.251437,0.138894,0.667807,0.406297,0.462390,0.053238,0.004220,15.200000,7.000000,0,0.002255,0.001232,0.866914,0.717678,0.590745,0.539802,0.581099,0,0,0,0,109.783890,
7819,1.631166,1.445409,2.278657,1.652064,3.632981,0.422122,0.168202,0.694271,0.227205,0.040238,0.612058,0.413999,0.054964,0.180783,0.789759,0.080440,0.259388,0.077536,0.129274,0.237823,0.254077,0.166379,0.277927,0.733989,0.042619,0.300090,0.201365,0.097057,0.306952,0.153555,0.276351,59.600000,49.000000,0,0.002886,0.001430,0.988174,0.930644,0.508511,0.993268,0.283002,0,0,0,0,111.074279,
7821,3.419936,1.850417,2.972748,3.498060,2.164320,0.915505,0.238439,0.564765,0.282970,0.065771,0.631707,0.236158,0.094497,0.524211,0.380807,0.564700,0.075047,0.158192,0.197989,0.356698,0.104968,0.448109,0.211987,0.392880,0.288172,0.398031,0.085022,0.234303,0.163354,0.141843,0.240780,14.200000,10.000000,0,0.002286,0.001040,0.922738,0.857634,0.639576,0.604508,0.495459,0,0,0,0,108.549458,
7820,1.328205,2.366680,1.301108,1.144454,3.741908,0.153118,0.264795,0.268983,0.146053,0.133389,0.276188,0.467890,0.156303,0.019505,0.956167,0.164328,0.333090,0.147089,0.384544,0.766885,0.654854,0.087522,0.081447,0.628495,0.008465,0.159909,0.549770,0.293471,0.620427,0.252450,0.043649,44.200000,37.000000,0,0.005880,0.002159,0.999753,0.629403,0.915854,1.000000,0.364421,0,0,0,0,112.122019,
7822,4.974174,2.825433,1.855000,2.359924,1.232457,0.620507,0.391203,0.457046,0.207292,0.003477,0.479659,0.079010,0.148510,0.276400,0.050124,0.187533,0.126906,0.020688,0.047968,0.577462,0.491303,0.323905,0.160511,0.500217,0.116424,0.239115,0.858359,0.010204,0.365522,0.021433,0.131429,15.800000,13.000000,0,0.000694,0.000328,0.696503,0.511396,0.716698,0.871462,0.825661,0,0,0,0,111.033116,
7829,3.748583,1.399524,1.198123,2.287666,3.115353,0.076959,0.484088,0.657986,0.131706,0.031066,0.238387,0.023584,0.023226,0.546762,0.984743,0.348962,0.112029,0.263349,0.121639,0.102191,0.632429,0.345295,0.015653,0.180266,0.098113,0.340932,0.699738,0.424724,0.650958,0.271144,0.261798,15.400000,8.000000,0,0.001314,0.000617,0.865275,0.837386,0.981434,0.686024,0.538782,0,0,0,0,53.047719,
7824,2.903630,2.771953,1.621162,1.542636,2.464316,0.880771,0.206170,0.465879,0.001619,0.012652,0.108220,0.483577,0.179662,0.615205,0.230001,0.104939,0.494970,0.210022,0.002872,0.707464,0.022042,0.125395,0.345906,0.360529,0.024309,0.205007,0.355770,0.464824,0.076524,0.138441,0.080348,23.600000,15.000000,0,0.001526,0.000859,0.929584,0.574814,0.893060,0.962323,0.454037,0,0,0,0,111.173288,
7825,4.846948,1.152400,2.557490,3.897066,3.341935,0.172212,0.289129,0.018339,0.164904,0.186435,0.452756,0.189343,0.066461,0.241752,0.684977,0.582387,0.221763,0.084711,0.214816,0.164526,0.527924,0.268699,0.173309,0.624908,0.270042,0.043546,0.759431,0.024003,0.532262,0.253453,0.202553,32.200000,24.000000,0,0.003829,0.001714,0.497074,0.979735,0.646418,0.507201,0.451604,0,0,0,0,111.054938,
7826,3.289826,2.386238,2.175054,2.008835,2.873809,0.345963,0.074889,0.303814,0.240398,0.149213,0.650711,0.094572,0.115580,0.357627,0.761518,0.259563,0.045164,0.261417,0.364837,0.885166,0.232079,0.392904,0.224970,0.082244,0.132268,0.194406,0.047171,0.247115,0.341022,0.209786,0.020546,22.200000,14.000000,0,0.000749,0.000503,0.905461,0.640872,0.742236,0.886754,0.419194,0,0,0,0,110.916627,
7827,1.459835,1.804515,3.503598,2.680863,1.651387,0.585895,0.429324,0.535424,0.076125,0.050333,0.306237,0.326272,0.027406,0.159600,0.340960,0.471520,0.304641,0.042691,0.152856,0.490605,0.431367,0.001065,0.094440,0.546771,0.152415,0.357041,0.583658,0.310933,0.453703,0.034429,0.292677,51.800000,38.000000,0,0.004621,0.001561,0.998040,0.721870,0.374179,0.649775,0.704275,0,0,0,0,112.497540,
