arm,seed,steps_completed,end_reason,extinct,shape_fallback_increase_step_0,shape_fallback_permitted_increase_after_step_0,shape_fallback_nonpermitted_increase_count,first_fewer_than_two_novelty_vectors_step,adapter_active_steps,action_modified_steps,recorder_rng_unchanged_calls,raw_entropy_exact_matches,elapsed_seconds,raw_log,raw_log_sha256
H,1835086348,300,step_limit,False,2,0,0,null,0,0,300,300,93.41273069999988,detector_run_cal_H_1835086348_steps_attempt1.csv,ba5177d1cd34205300ef0e1eeb6476b053008ceab566a0ef4495f0a25cdf0671
H,1835086349,300,step_limit,False,2,0,0,null,0,0,300,300,94.98168740000074,detector_run_cal_H_1835086349_steps_attempt1.csv,df68263d53dec01eed16aaea05262e79aee794658a7e8acac4acfc4397a60e27
H,1835086350,300,step_limit,False,2,0,0,null,0,0,300,300,95.66569899999922,detector_run_cal_H_1835086350_steps_attempt1.csv,d718bd0ce5ef5877cab0c1ade058ca1854bcb0d9f996e5d873db2d586c9b709e
H,1835086351,300,step_limit,False,2,0,0,null,0,0,300,300,94.94458449999911,detector_run_cal_H_1835086351_steps_attempt1.csv,be9678dd9a367cf1c292eaf9dd6f7226ceca339447bf95a23b6bd0110d48141e
H,1835086352,300,step_limit,False,2,0,0,null,0,0,300,300,94.64254299999993,detector_run_cal_H_1835086352_steps_attempt1.csv,cc4173af2dc8a97c296b6d33286acedd2e7fdcceffebd712d05f71d6c30c5489
H,1835086353,300,step_limit,False,2,0,0,null,0,0,300,300,95.37871139999879,detector_run_cal_H_1835086353_steps_attempt1.csv,a6079034c7da2e4e54024efbadd966c68625934b95c3f9159c182e781976f64f
H,1835086354,300,step_limit,False,2,0,0,null,0,0,300,300,95.53360699999939,detector_run_cal_H_1835086354_steps_attempt1.csv,06e8c94dfdc70b9dab116bee6777f5a78d8f6cf8240af322001cf46793461b4c
H,1835086355,300,step_limit,False,2,0,0,null,0,0,300,300,95.53271369999857,detector_run_cal_H_1835086355_steps_attempt1.csv,c445dc9b29739e903dadec5edf7633bfabaf293e840ec6e113749b4f89202a52
H,1835086356,300,step_limit,False,2,0,0,null,0,0,300,300,94.84698589999971,detector_run_cal_H_1835086356_steps_attempt1.csv,1db085f92c6b63dd100e0e54a1100ac4406ab3ce90a180d1f8db553519c560d4
H,1835086357,300,step_limit,False,2,0,0,null,0,0,300,300,95.14700369999991,detector_run_cal_H_1835086357_steps_attempt1.csv,d6185ac7c4a5d409438e4e4e416d28e18dcc93c41d2b43fcea291f0c93ee53a7
H,1835086358,300,step_limit,False,2,0,0,null,0,0,300,300,95.97558589999971,detector_run_cal_H_1835086358_steps_attempt1.csv,53f80f2aaaee205fc7bb9de60ef250e7b499c30b6b6553b6a18457ed4c27aeaa
H,1835086359,300,step_limit,False,2,0,0,null,0,0,300,300,95.96089340000071,detector_run_cal_H_1835086359_steps_attempt1.csv,e1600aef927f06dd1b1ad99bdc11c6b0617141a28ed2cf181a1fe72e93f4b769
H,1835086360,300,step_limit,False,2,0,0,null,0,0,300,300,91.54700840000078,detector_run_cal_H_1835086360_steps_attempt1.csv,949080ba2678d36e1bff9384d7fae3cee95babed0a3dc0af2b621812f04df2d1
H,1835086361,300,step_limit,False,2,0,0,null,0,0,300,300,93.75094700000045,detector_run_cal_H_1835086361_steps_attempt1.csv,6afecb9e9bf94e777e18b0fa1d4964571e3ee4658ca9bbcb19b8dfd166cddc92
H,1835086362,300,step_limit,False,2,0,0,null,0,0,300,300,92.57662460000029,detector_run_cal_H_1835086362_steps_attempt1.csv,5f0982fcbb7e15a736eeab64ce2c0a3ff485a52521ae6624a1cedfd5b0a83cdb
H,1835086363,300,step_limit,False,2,0,0,null,0,0,300,300,93.69864439999947,detector_run_cal_H_1835086363_steps_attempt1.csv,1b4326c7a7d46993d92125bada06290a24c55b74ff964ceebdea9be09ab361ce
H,1835086364,300,step_limit,False,2,0,0,null,0,0,300,300,95.1688764999999,detector_run_cal_H_1835086364_steps_attempt1.csv,b47b6f6d31f9f67e42d66bc9f96f51317792f340d01164a43b0868e289343017
H,1835086365,300,step_limit,False,2,0,0,null,0,0,300,300,93.91178969999964,detector_run_cal_H_1835086365_steps_attempt1.csv,88caa50f35462a4c2bbc15a2392134ae774bce0899c422f7a4d89e0e8648062b
H,1835086366,300,step_limit,False,2,0,0,null,0,0,300,300,93.35209279999981,detector_run_cal_H_1835086366_steps_attempt1.csv,51c200df87f8f8af411b1da39d7c0bf5601060503a7898b1aa57b3bf153b3e33
H,1835086367,300,step_limit,False,2,0,0,null,0,0,300,300,94.14579779999985,detector_run_cal_H_1835086367_steps_attempt1.csv,5ff6171cee80628e86971eec9dd6ef6fb1a9046403e845cfc06ead0a8453d87d
H,1835086368,300,step_limit,False,2,0,0,null,0,0,300,300,93.18439919999946,detector_run_cal_H_1835086368_steps_attempt1.csv,1d5a2e5cd7946e25f3a0d4414e1368176434419dd9e0a73cff8c6ef6110422e6
H,1835086369,300,step_limit,False,2,0,0,null,0,0,300,300,94.15415290000055,detector_run_cal_H_1835086369_steps_attempt1.csv,f328e1c5815040b99d0afffb7d44e36d8c78c643570f9383ddb37c4a0cf4b8c8
H,1835086370,300,step_limit,False,2,0,0,null,0,0,300,300,94.01135849999991,detector_run_cal_H_1835086370_steps_attempt1.csv,c41e0acc190d226b04c063b5bf6ce99ab144b277520eafc3f7cce2d308dbfe03
H,1835086371,300,step_limit,False,2,0,0,null,0,0,300,300,93.12208239999927,detector_run_cal_H_1835086371_steps_attempt1.csv,26837dc67a240d4c8acd741b5960711676b6c272de0797ff6a460bdbbf88f2b8
H,1835086372,300,step_limit,False,2,0,0,null,0,0,300,300,94.76923270000043,detector_run_cal_H_1835086372_steps_attempt1.csv,3236affba3f0cb3788571497a10fa168419219c85fae3a182fb3be2f22f863d0
H,1835086373,300,step_limit,False,2,0,0,null,0,0,300,300,94.20717970000078,detector_run_cal_H_1835086373_steps_attempt1.csv,2c221089491da9dca7da8e84a654e84b371fe115457e5a53abd3780edd228a08
