candidate_index,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive,total_suppression,score_projection_off,score_projection_on
70,0.10102306450006907,0.05723132971632128,0.061785441334074154,0.05606879988602821,0.5921540038665949,0.13173736069691228,0.4,0.4,0.456,71.69818733785942,68.65684979064197
71,0.00375957331640096,0.10439588734759622,0.036547032096277396,0.46378565289767976,0.1215819088016298,0.26992994554041577,0.4,0.6,0.656,85.8906641890393,72.3283963144694
72,0.15644178885829005,0.23371302786503284,0.517953944321714,0.02252651583262273,0.010698651584194122,0.05866607153814639,0.4,0.8,0.8560000000000001,77.6400528601034,51.37098599796553
73,0.25764431393762516,0.16200568280860292,0.15662261570443026,0.12909561305625178,0.005301584734500749,0.2893301897585892,0.4,1.0,1.0,78.91768002356629,42.2185194977129
74,0.021551763712513498,0.17116702406181297,0.009558468383634836,0.3963807745554749,0.33039950409920954,0.07094246518735431,0.6,0.0,0.126,130.3600772046878,130.3849122418136
75,0.1382467976396896,0.2373006635907389,0.17406912247281173,0.15337222552165733,0.24435065567747236,0.05266053509763007,0.6,0.2,0.326,118.69330237209074,118.63910027720779
76,0.02581733872423375,0.11336224377176828,0.05301047165573336,0.3642356108318739,0.2592686591821659,0.18430567583422489,0.6,0.4,0.526,105.53253937348508,98.61802466610578
77,0.023202464054123188,0.04532334935854403,0.19880124001041097,0.4633248264533851,0.04767004645218268,0.221678073671354,0.6,0.6,0.726,59.2998091920207,50.309903463356065
78,0.36274079577736285,0.27892834555273166,0.014317999346225253,0.11184365867165005,0.16296819473111324,0.06920100592091698,0.6,0.8,0.926,114.46117934126283,47.71560672208735
79,0.3165541030867714,0.13461677763828575,0.2076577764110259,0.020292119449191723,0.22143450063358827,0.09944472278113681,0.6,1.0,1.0,96.27233119018916,42.508719294917256
80,0.16620131169728183,0.4086492926238596,0.13548208343428156,0.13834263689918117,0.13890327449902917,0.0124214008463668,0.8,0.0,0.22400000000000003,109.08616034768349,109.09913321820629
81,0.1786630962580693,0.3167887418157947,0.12202782201868304,0.006778838714705278,0.12033370405212106,0.25540779714062656,0.8,0.2,0.42400000000000004,93.14509773772815,92.83209395595634
82,0.08563143435061249,0.3531741191264204,0.07926155677206155,0.164741789380564,0.137487506504705,0.17970359386563656,0.8,0.4,0.6240000000000001,107.24471238506077,100.10480373987602
83,0.2009305149269009,0.21237908601796499,0.00038251646893315826,0.07420509511540026,0.2121435854106184,0.2999592020601823,0.8,0.6,0.8240000000000001,108.89462192874478,67.22742118804864
84,0.015443806970650802,0.5038808425918697,0.1001641342603134,0.2753211570219518,0.05865220942577597,0.04653784972943847,0.8,0.8,1.0,106.02435541263233,42.515495814176816
85,0.05554116138816569,0.05107578408718287,0.1199431316922289,0.6293540182012083,0.10496285831931451,0.03912304631189965,0.8,1.0,1.0,63.0259027036911,42.142020246705286
