channel,seed,maximum_statistic,post_burn_in_records,maximum_binary64_hex
transfer_share,1835086344,0.31010360986150987,290,0x1.3d8bccfae82b6p-2
transfer_share,1835086345,0.23417661648780524,290,0x1.df97fd6a6ca9ap-3
transfer_share,1835086346,0.30622965547971315,290,0x1.3994444d6721ep-2
transfer_share,1835086347,0.29320186276144133,290,0x1.2c3d1beebf26ap-2
transfer_share,1835086348,0.2927229304222373,290,0x1.2bbf8f53cfa8ep-2
transfer_share,1835086349,0.42717487489919803,290,0x1.b56d549575b4ap-2
transfer_share,1835086350,0.1606146113710149,290,0x1.48f05038c93bep-3
transfer_share,1835086351,0.27567660132546756,290,0x1.1a4af78bdc7b2p-2
transfer_share,1835086352,0.23890321840436657,290,0x1.e946172fa5aecp-3
transfer_share,1835086353,0.20035382934636134,290,0x1.9a531bc55e2e7p-3
transfer_share,1835086354,0.28239501398959155,290,0x1.212c28968e16ap-2
transfer_share,1835086355,0.27055806368703444,290,0x1.150d2c4cd1d0dp-2
transfer_share,1835086356,0.38356524322560615,290,0x1.88c553be25226p-2
transfer_share,1835086357,0.20851360493144505,290,0x1.ab092e4f9ceb6p-3
transfer_share,1835086358,0.32827567722589746,290,0x1.50277fc707a94p-2
transfer_share,1835086359,0.2832120735897081,290,0x1.2202588799becp-2
transfer_share,1835086360,0.3445651088378175,290,0x1.60d5ad0734555p-2
transfer_share,1835086361,0.2742895089381392,290,0x1.18df595a19d00p-2
transfer_share,1835086362,0.2993516310620904,290,0x1.32893be5a9eb2p-2
transfer_share,1835086363,0.2175654858779684,290,0x1.bd92f934ac7dbp-3
transfer_share,1835086364,0.39124608793213156,290,0x1.90a2d0816d000p-2
transfer_share,1835086365,0.24568299340435867,290,0x1.f728a52ed740ep-3
transfer_share,1835086366,0.210429026816548,290,0x1.aef569e2730edp-3
transfer_share,1835086367,0.2811580409747684,290,0x1.1fe7e4bbf9ea6p-2
transfer_share,1835086368,0.2440868878197636,290,0x1.f3e3d3848be3bp-3
transfer_share,1835086369,0.20228865108364538,290,0x1.9e4983260cb8dp-3
transfer_share,1835086370,0.1987363665266812,290,0x1.97031796104fep-3
transfer_share,1835086371,0.23668719917553144,290,0x1.e4bc421eb9d8ep-3
transfer_share,1835086372,0.26025915644586056,290,0x1.0a816055ad965p-2
transfer_share,1835086373,0.17016957069173183,290,0x1.5c81dd2729ac6p-3
transfer_share,1835086374,0.24290351375105446,290,0x1.f17765bd27748p-3
transfer_share,1835086375,0.2912331951023965,290,0x1.2a3908e1e5c3fp-2
transfer_share,1835086376,0.24985606161477336,290,0x1.ffb488eabe148p-3
transfer_share,1835086377,0.14312320006916188,290,0x1.251dc6bcc46f3p-3
transfer_share,1835086378,0.18316360265091128,290,0x1.771e7a99a028dp-3
transfer_share,1835086379,0.2148550386584891,290,0x1.b805eb235a2a8p-3
transfer_share,1835086380,0.16796124426450476,290,0x1.57fc1098e4624p-3
transfer_share,1835086381,0.4002788598546278,290,0x1.99e2b3916c553p-2
transfer_share,1835086382,0.22031955437575765,290,0x1.c336e605b493fp-3
transfer_share,1835086383,0.3377800123800656,290,0x1.59e300e9a8d04p-2
transfer_share,1835086384,0.1740708664199338,290,0x1.647f4433ae14ap-3
transfer_share,1835086385,0.31138136481670253,290,0x1.3edac1a9e2e68p-2
transfer_share,1835086386,0.2662164185414846,290,0x1.109b096d2cfa8p-2
transfer_share,1835086387,0.19597843934212938,290,0x1.915d24dd9084ap-3
transfer_share,1835086388,0.24109065562484178,290,0x1.edc0f00a3d390p-3
transfer_share,1835086389,0.19576345733815248,290,0x1.90ec6e78276fcp-3
transfer_share,1835086390,0.4122984856351761,290,0x1.a63192fff93fcp-2
transfer_share,1835086391,0.19022648961812919,290,0x1.8595773df1261p-3
transfer_share,1835086392,0.23571479229077363,290,0x1.e2be6fe094150p-3
transfer_share,1835086393,0.22948876365713394,290,0x1.d5fe3475a7a82p-3
transfer_share,1835086394,0.3156345799437923,290,0x1.4335b61961928p-2
transfer_share,1835086395,0.23414528337526247,290,0x1.df878ff4e00fap-3
transfer_share,1835086396,0.35545898652817176,290,0x1.6bfd70c8d4ca2p-2
transfer_share,1835086397,0.30832978901611624,290,0x1.3bbacde0d3c33p-2
transfer_share,1835086398,0.2256449197597037,290,0x1.ce1eec7703038p-3
transfer_share,1835086399,0.2179665117887956,290,0x1.be6539fe0c716p-3
transfer_share,1835086400,0.42162796806820185,290,0x1.afbf3df7ba395p-2
transfer_share,1835086401,0.22397891667363212,290,0x1.cab57550daa48p-3
transfer_share,1835086402,0.24360053973536125,290,0x1.f2e4d6fb9c505p-3
transfer_share,1835086403,0.22276828913392277,290,0x1.c83abda3541ccp-3
transfer_share,1835086404,0.279334184822979,290,0x1.1e09c7d1e0c86p-2
