action_modified,attack_attempted,attack_succeeded,branch_active,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,end_reason,evaluated_yield_opportunities,executor_elapsed_seconds,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_base_transition_cost,parameter_defense_active,passthrough_call_count,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
False,True,True,True,0.0,False,False,False,False,126.38654459999816,step_limit,0,126.41305129999819,False,295,56.35349231414958,245,False,True,YOTKOTEST,0.6240000000000001,0.295318516942524,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087072,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,126.68249349999678,step_limit,0,126.70987720000267,False,379,72.71602778198476,246,False,True,YOTKOTEST,0.614,0.2882705072697771,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087073,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,125.66706680000061,step_limit,0,125.70215740000276,False,299,57.22831789218298,247,False,True,YOTKOTEST,0.656,0.33733537910793787,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087074,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,128.59842489999573,step_limit,0,128.62872719999723,False,280,56.75227071432334,248,False,True,YOTKOTEST,0.6240000000000001,0.3296033264412413,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087075,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,128.81840309999825,step_limit,0,128.8455127999987,False,279,53.79727467968408,248,False,True,YOTKOTEST,0.6240000000000001,0.30519680348985023,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087076,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,True,False,False,False,127.76065949999611,step_limit,0,127.80929759999708,False,255,49.75374225679312,243,False,True,YOTKOTEST,0.6240000000000001,0.3117158366089814,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087077,300,300,False,False,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,128.25289019999764,step_limit,0,128.29538930000126,False,298,59.31003430856643,229,False,True,YOTKOTEST,0.6240000000000001,0.30844204796128527,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087078,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,127.61886150000646,step_limit,0,127.64635580000322,False,306,61.054092732264486,247,False,True,YOTKOTEST,0.6240000000000001,0.2823273531961995,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087079,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,128.48548279999522,step_limit,0,128.5198193000033,False,325,63.88480341510325,250,False,True,YOTKOTEST,0.6240000000000001,0.3021112355234518,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087080,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,127.7879219000024,step_limit,0,127.82217990000208,False,289,55.53033936414552,234,False,True,YOTKOTEST,0.6240000000000001,0.3109928838855926,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087081,300,300,False,True,measurement_tampering,250,0,0,True
