successor_capability,alpha,rr,seed,survived,final_population,final_ai_generation,final_active_capability,yield_fired,yield_fire_count,yield_eval_count,max_yield_margin,mean_yield_margin,final_theta_capability,final_transfer_state,final_avg_well_being,final_theta_tech_observed,final_runaway_term,expected_theta_tech,theta_relative_error,theta_below_floor,max_eval_runaway_term,min_eval_theta_tech,eval_observations_below_floor,extreme_eval_observations
5.0,1.5,0.057,3,False,0,1,1.0,False,0,482,-3.6460637080723823,-13.458348360469794,0.7220820691688135,0.9299421424996432,0.0,0.01,70.70820691688134,0.01,0.0,False,6.104283164183316,0.01,0,3
5.0,1.5,0.057,4,False,0,1,1.0,False,0,451,-3.64561525837278,-13.807448042245598,0.7331500258288014,0.9648887793011358,0.0,0.01,71.81500258288014,0.01,0.0,False,6.325075450992041,0.01,0,3
5.0,1.5,0.057,5,False,0,1,1.0,False,0,321,-3.6128416232118963,-13.387838061788782,0.7095070361358392,0.9609931639548438,0.0,0.01,69.45070361358393,0.01,0.0,False,5.928251780396639,0.01,0,3
5.0,1.5,0.057,6,False,3,1,1.0,False,0,500,-3.9343653608066003,-13.684824891042506,0.7124154309884339,0.9720529888467531,0.715389922700643,0.6925055489928549,0.0,0.6925055489928549,0.0,False,6.3671701380711205,0.01,0,3
5.0,1.5,0.057,7,False,0,1,1.0,False,0,410,-3.636812028304259,-12.852161928994512,0.6686754588266959,0.9666678745730471,0.0,0.01,65.36754588266959,0.01,0.0,False,6.296849481013486,0.01,0,11
5.0,1.5,0.057,8,False,0,1,1.0,False,0,430,-3.6178094651321437,-14.89826382511895,0.7377811597319709,0.9239379465983998,0.0,0.01,72.27811597319709,0.01,0.0,False,6.227303303221956,0.01,0,3
5.0,1.5,0.057,9,False,0,1,1.0,False,0,327,-3.6136287614719023,-14.059183131239795,0.7261096579489484,0.9642533463784984,0.0,0.01,71.11096579489484,0.01,0.0,False,6.330720290050401,0.01,0,3
5.0,1.5,0.057,10,False,0,1,1.0,False,0,411,-3.6059827730474825,-12.59761316734499,0.7247354912634074,0.9321908337219635,0.0,0.01,70.97354912634074,0.01,0.0,False,6.0517945966091995,0.01,0,3
5.0,1.5,0.057,11,False,1,1,1.0,False,0,500,-3.594087079402723,-12.874074592402525,0.7408606552391285,0.9666928101089991,0.9009858226777664,0.7161846687123075,0.0,0.7161846687123075,0.0,False,6.07170754535531,0.01,0,3
5.0,1.5,0.057,12,False,0,1,1.0,False,0,266,-3.6081559382451265,-16.99468357084886,0.7105431861158468,0.9690635344405298,0.0,0.01,69.55431861158468,0.01,0.0,False,6.216821368781005,0.01,0,4
5.0,1.5,0.057,19,False,0,1,1.0,False,0,432,-3.623872687152546,-14.155739534809427,0.6286656804815143,0.9841648007727071,0.0,0.01,61.36656804815143,0.01,0.0,False,6.197320685089169,0.01,0,7
5.0,1.5,0.057,20,False,0,1,1.0,False,0,320,-3.6422743782052143,-14.952630743885777,0.7240539879392351,0.964606433541709,0.0,0.01,70.90539879392351,0.01,0.0,False,5.924787169804822,0.01,0,2
5.0,1.5,0.057,15,False,4,1,1.0,False,0,500,-3.6001908577137263,-13.123153255028798,0.763411431307584,0.9199070176297468,0.8867743876131353,0.702267532998616,0.0,0.702267532998616,0.0,False,6.130259075175691,0.01,0,3
5.0,1.5,0.057,16,False,0,1,1.0,False,0,359,-3.5900936553665255,-14.614861024230878,0.6365870588088013,0.9815473475046249,0.0,0.01,62.15870588088013,0.01,0.0,False,6.2776592634550745,0.01,0,3
