arm,seed,steps_completed,end_reason,extinct,t_star,t_star_minus_50,crossing_classification,entropy_deficit_sum,deficit_quantity
R02,1835086207,300,step_limit,False,176,126,loud,0.2138410779463763,before_crossing_inclusive
R02,1835086208,300,step_limit,False,70,20,loud,0.0678008090501625,before_crossing_inclusive
R02,1835086209,300,step_limit,False,129,79,loud,0.2326488502733518,before_crossing_inclusive
R02,1835086210,300,step_limit,False,126,76,loud,0.12897211646248996,before_crossing_inclusive
R02,1835086211,300,step_limit,False,64,14,loud,0.07492000367274754,before_crossing_inclusive
R02,1835086212,300,step_limit,False,158,108,loud,0.2700642319894804,before_crossing_inclusive
R02,1835086213,300,step_limit,False,68,18,loud,0.03560770597294782,before_crossing_inclusive
R02,1835086214,300,step_limit,False,115,65,loud,0.13712283242585743,before_crossing_inclusive
R02,1835086215,300,step_limit,False,61,11,silent,0.02857192295065525,before_crossing_inclusive
R02,1835086216,300,step_limit,False,127,77,loud,0.3356899054011061,before_crossing_inclusive
R02,1835086217,300,step_limit,False,87,37,silent,0.010075313801037211,before_crossing_inclusive
R02,1835086218,300,step_limit,False,108,58,loud,0.17984040886338304,before_crossing_inclusive
R02,1835086219,300,step_limit,False,68,18,loud,0.04928051420490809,before_crossing_inclusive
R02,1835086220,300,step_limit,False,86,36,loud,0.050680960462554214,before_crossing_inclusive
R02,1835086221,300,step_limit,False,135,85,loud,0.22926097812369384,before_crossing_inclusive
R02,1835086222,300,step_limit,False,100,50,loud,0.09351352100710464,before_crossing_inclusive
R02,1835086223,300,step_limit,False,145,95,loud,0.12766671069522784,before_crossing_inclusive
R02,1835086224,300,step_limit,False,162,112,loud,0.25752510976939924,before_crossing_inclusive
R02,1835086225,300,step_limit,False,86,36,loud,0.054426139650323724,before_crossing_inclusive
R02,1835086226,300,step_limit,False,96,46,loud,0.10212500579646566,before_crossing_inclusive
R02,1835086227,300,step_limit,False,183,133,loud,0.2656905148800388,before_crossing_inclusive
R02,1835086228,300,step_limit,False,134,84,loud,0.3547029410754188,before_crossing_inclusive
R02,1835086229,300,step_limit,False,102,52,loud,0.11805567758324176,before_crossing_inclusive
R02,1835086230,300,step_limit,False,108,58,loud,0.16205379471080783,before_crossing_inclusive
R02,1835086231,300,step_limit,False,117,67,loud,0.15617610395867665,before_crossing_inclusive
R02,1835086232,300,step_limit,False,107,57,loud,0.13150892854494223,before_crossing_inclusive
R02,1835086233,300,step_limit,False,71,21,loud,0.09746787068614371,before_crossing_inclusive
R02,1835086234,300,step_limit,False,117,67,loud,0.16605321480905677,before_crossing_inclusive
R02,1835086235,300,step_limit,False,59,9,loud,0.025125685438999845,before_crossing_inclusive
R02,1835086236,300,step_limit,False,75,25,silent,0.024658732386045323,before_crossing_inclusive
R02,1835086237,300,step_limit,False,69,19,silent,0.013481445055458119,before_crossing_inclusive
R02,1835086238,300,step_limit,False,100,50,loud,0.1597251954591895,before_crossing_inclusive
R05,1835086199,300,step_limit,False,80,30,loud,0.07599413504665176,before_crossing_inclusive
R05,1835086200,300,step_limit,False,81,31,silent,0.023785316751315677,before_crossing_inclusive
R05,1835086201,300,step_limit,False,53,3,silent,0.004940844115687737,before_crossing_inclusive
R05,1835086202,300,step_limit,False,58,8,silent,0.0041607671550303316,before_crossing_inclusive
R05,1835086203,300,step_limit,False,52,2,silent,0.0015269026259950857,before_crossing_inclusive
R05,1835086204,300,step_limit,False,60,10,loud,0.08407152994815437,before_crossing_inclusive
R05,1835086205,300,step_limit,False,52,2,silent,0.012860005568760213,before_crossing_inclusive
R05,1835086206,300,step_limit,False,59,9,loud,0.11617437871030134,before_crossing_inclusive
R05,1835086207,300,step_limit,False,78,28,loud,0.07050603452067716,before_crossing_inclusive
R05,1835086208,300,step_limit,False,54,4,loud,0.015219688739802062,before_crossing_inclusive
R05,1835086209,300,step_limit,False,78,28,loud,0.11610182249029666,before_crossing_inclusive
R05,1835086210,300,step_limit,False,65,15,silent,0.02966864215574716,before_crossing_inclusive
R05,1835086211,300,step_limit,False,58,8,loud,0.07270286753579658,before_crossing_inclusive
R05,1835086212,300,step_limit,False,61,11,loud,0.062096429676053,before_crossing_inclusive
R05,1835086213,300,step_limit,False,56,6,silent,0.01558788175527226,before_crossing_inclusive
R05,1835086214,300,step_limit,False,66,16,loud,0.04381602108754734,before_crossing_inclusive
R05,1835086215,300,step_limit,False,59,9,silent,0.020382370145339057,before_crossing_inclusive
R05,1835086216,300,step_limit,False,69,19,loud,0.07929956356938206,before_crossing_inclusive
R05,1835086217,300,step_limit,False,59,9,silent,0.0032304354586627504,before_crossing_inclusive
R05,1835086218,300,step_limit,False,76,26,loud,0.051427901636166506,before_crossing_inclusive
R05,1835086219,300,step_limit,False,55,5,loud,0.03268992177069241,before_crossing_inclusive
R05,1835086220,300,step_limit,False,68,18,silent,0.030456095194345334,before_crossing_inclusive
R05,1835086221,300,step_limit,False,60,10,loud,0.06114606908062015,before_crossing_inclusive
R05,1835086222,300,step_limit,False,76,26,loud,0.07241372903044774,before_crossing_inclusive
R05,1835086223,300,step_limit,False,58,8,silent,0.011017460991954553,before_crossing_inclusive
R05,1835086224,300,step_limit,False,63,13,loud,0.03350575565405289,before_crossing_inclusive
R05,1835086225,300,step_limit,False,58,8,loud,0.027751521506787502,before_crossing_inclusive
R05,1835086226,300,step_limit,False,81,31,loud,0.06346592978881582,before_crossing_inclusive
R05,1835086227,300,step_limit,False,75,25,silent,0.018685715061810382,before_crossing_inclusive
R05,1835086228,300,step_limit,False,62,12,loud,0.04280086539971373,before_crossing_inclusive
R05,1835086229,300,step_limit,False,66,16,silent,0.009127621580285794,before_crossing_inclusive
R05,1835086230,300,step_limit,False,79,29,loud,0.06025797165833213,before_crossing_inclusive
R05,1835086231,300,step_limit,False,61,11,silent,0.0181613755301806,before_crossing_inclusive
R05,1835086232,300,step_limit,False,56,6,silent,0.014665839516855184,before_crossing_inclusive
R05,1835086233,300,step_limit,False,67,17,silent,0.03679128589257363,before_crossing_inclusive
R05,1835086234,300,step_limit,False,53,3,silent,0.004906348833426444,before_crossing_inclusive
R05,1835086235,300,step_limit,False,55,5,silent,0.002632246330995236,before_crossing_inclusive
R05,1835086236,300,step_limit,False,59,9,silent,0.0032287741756626964,before_crossing_inclusive
R05,1835086237,300,step_limit,False,58,8,silent,0.009943292052551289,before_crossing_inclusive
R05,1835086238,300,step_limit,False,62,12,loud,0.05263247049888342,before_crossing_inclusive
R10,1835086199,300,step_limit,False,53,3,silent,0.007762968875986043,before_crossing_inclusive
R10,1835086200,300,step_limit,False,59,9,silent,0.007956622883195541,before_crossing_inclusive
R10,1835086201,300,step_limit,False,50,0,silent,0.003300531471647994,before_crossing_inclusive
R10,1835086202,300,step_limit,False,53,3,silent,0.0030822929688097966,before_crossing_inclusive
R10,1835086203,300,step_limit,False,52,2,silent,0.0015269026259950857,before_crossing_inclusive
R10,1835086204,300,step_limit,False,57,7,loud,0.08117836944224477,before_crossing_inclusive
R10,1835086205,300,step_limit,False,52,2,silent,0.012860005568760213,before_crossing_inclusive
R10,1835086206,300,step_limit,False,58,8,loud,0.11654061363453738,before_crossing_inclusive
R10,1835086207,300,step_limit,False,58,8,silent,0.03132572803338973,before_crossing_inclusive
R10,1835086208,300,step_limit,False,51,1,silent,0.0,before_crossing_inclusive
R10,1835086209,300,step_limit,False,55,5,silent,0.007341405231413911,before_crossing_inclusive
R10,1835086210,300,step_limit,False,55,5,silent,0.0023494827375807326,before_crossing_inclusive
R10,1835086211,300,step_limit,False,55,5,loud,0.0554391490082452,before_crossing_inclusive
R10,1835086212,300,step_limit,False,54,4,silent,0.00746775587344739,before_crossing_inclusive
R10,1835086213,300,step_limit,False,53,3,silent,0.008261364128693383,before_crossing_inclusive
R10,1835086214,300,step_limit,False,59,9,loud,0.03909231487853204,before_crossing_inclusive
R10,1835086215,300,step_limit,False,52,2,silent,0.00480576153799539,before_crossing_inclusive
R10,1835086216,300,step_limit,False,55,5,loud,0.03840183676463327,before_crossing_inclusive
R10,1835086217,300,step_limit,False,53,3,silent,4.726708356217468e-05,before_crossing_inclusive
R10,1835086218,300,step_limit,False,54,4,silent,0.0037278318789161213,before_crossing_inclusive
R10,1835086219,300,step_limit,False,51,1,silent,0.00826363393282914,before_crossing_inclusive
R10,1835086220,300,step_limit,False,57,7,silent,0.02008455813205634,before_crossing_inclusive
R10,1835086221,300,step_limit,False,52,2,silent,0.0012533315177571946,before_crossing_inclusive
R10,1835086222,300,step_limit,False,60,10,loud,0.052148098035090684,before_crossing_inclusive
R10,1835086223,300,step_limit,False,55,5,silent,0.010387650477840515,before_crossing_inclusive
R10,1835086224,300,step_limit,False,58,8,loud,0.01797902155323139,before_crossing_inclusive
R10,1835086225,300,step_limit,False,54,4,loud,0.023950500474750447,before_crossing_inclusive
R10,1835086226,300,step_limit,False,54,4,silent,0.0053174570705514235,before_crossing_inclusive
R10,1835086227,300,step_limit,False,56,6,silent,0.004803191939024232,before_crossing_inclusive
R10,1835086228,300,step_limit,False,56,6,silent,0.014077076018589985,before_crossing_inclusive
R10,1835086229,300,step_limit,False,57,7,silent,0.0018391044781504995,before_crossing_inclusive
R10,1835086230,300,step_limit,False,60,10,loud,0.023031905747511794,before_crossing_inclusive
R10,1835086231,300,step_limit,False,54,4,silent,0.003922228814219664,before_crossing_inclusive
R10,1835086232,300,step_limit,False,56,6,silent,0.014640806664670047,before_crossing_inclusive
R10,1835086233,300,step_limit,False,55,5,silent,0.025551846370541975,before_crossing_inclusive
R10,1835086234,300,step_limit,False,51,1,silent,0.0028228217316250692,before_crossing_inclusive
R10,1835086235,300,step_limit,False,53,3,silent,0.00252562150853497,before_crossing_inclusive
R10,1835086236,300,step_limit,False,56,6,silent,0.002181851843769067,before_crossing_inclusive
R10,1835086237,300,step_limit,False,55,5,silent,0.009943292052551289,before_crossing_inclusive
R10,1835086238,300,step_limit,False,55,5,silent,0.004845773538918796,before_crossing_inclusive
R20,1835086199,300,step_limit,False,50,0,silent,0.0013128524526212493,before_crossing_inclusive
R20,1835086200,300,step_limit,False,54,4,silent,0.007956622883195541,before_crossing_inclusive
R20,1835086201,300,step_limit,False,50,0,silent,0.003300531471647994,before_crossing_inclusive
R20,1835086202,300,step_limit,False,52,2,silent,0.0030822929688097966,before_crossing_inclusive
R20,1835086203,300,step_limit,False,51,1,silent,0.0015269026259950857,before_crossing_inclusive
R20,1835086204,300,step_limit,False,53,3,silent,0.00196203624970559,before_crossing_inclusive
R20,1835086205,300,step_limit,False,51,1,silent,0.00867762508396952,before_crossing_inclusive
R20,1835086206,300,step_limit,False,53,3,loud,0.05133593747952858,before_crossing_inclusive
R20,1835086207,300,step_limit,False,53,3,silent,0.02077663036346289,before_crossing_inclusive
R20,1835086208,300,step_limit,False,50,0,silent,0.0,before_crossing_inclusive
R20,1835086209,300,step_limit,False,51,1,silent,0.0013259032689194594,before_crossing_inclusive
R20,1835086210,300,step_limit,False,52,2,silent,0.0,before_crossing_inclusive
R20,1835086211,300,step_limit,False,52,2,loud,0.0548701880321566,before_crossing_inclusive
R20,1835086212,300,step_limit,False,52,2,silent,0.005719085833947979,before_crossing_inclusive
R20,1835086213,300,step_limit,False,51,1,silent,0.004355789638919694,before_crossing_inclusive
R20,1835086214,300,step_limit,False,51,1,silent,0.003696484169397274,before_crossing_inclusive
R20,1835086215,300,step_limit,False,51,1,silent,0.00480576153799539,before_crossing_inclusive
R20,1835086216,300,step_limit,False,52,2,silent,0.018672295718214937,before_crossing_inclusive
R20,1835086217,300,step_limit,False,51,1,silent,0.0,before_crossing_inclusive
R20,1835086218,300,step_limit,False,52,2,silent,0.0033632246906631913,before_crossing_inclusive
R20,1835086219,300,step_limit,False,51,1,silent,0.00826363393282914,before_crossing_inclusive
R20,1835086220,300,step_limit,False,53,3,silent,0.02008455813205634,before_crossing_inclusive
R20,1835086221,300,step_limit,False,51,1,silent,0.0,before_crossing_inclusive
R20,1835086222,300,step_limit,False,53,3,silent,4.9440763628338935e-05,before_crossing_inclusive
R20,1835086223,300,step_limit,False,52,2,silent,0.0005407712565007605,before_crossing_inclusive
R20,1835086224,300,step_limit,False,53,3,silent,0.0014218801658791858,before_crossing_inclusive
