g_star_label,g_star,seed,longest_span
SECONDARY_1_5,1.27031007207211,1835086358,0
SECONDARY_2_5,0.966516292749662,1835086358,50
PRIMARY_2_0,1.0965735902799727,1835086359,2
SECONDARY_1_5,1.27031007207211,1835086359,0
SECONDARY_2_5,0.966516292749662,1835086359,63
PRIMARY_2_0,1.0965735902799727,1835086360,4
SECONDARY_1_5,1.27031007207211,1835086360,0
SECONDARY_2_5,0.966516292749662,1835086360,86
PRIMARY_2_0,1.0965735902799727,1835086361,2
SECONDARY_1_5,1.27031007207211,1835086361,0
SECONDARY_2_5,0.966516292749662,1835086361,55
PRIMARY_2_0,1.0965735902799727,1835086362,0
SECONDARY_1_5,1.27031007207211,1835086362,0
SECONDARY_2_5,0.966516292749662,1835086362,40
PRIMARY_2_0,1.0965735902799727,1835086363,3
SECONDARY_1_5,1.27031007207211,1835086363,0
SECONDARY_2_5,0.966516292749662,1835086363,49
PRIMARY_2_0,1.0965735902799727,1835086364,0
SECONDARY_1_5,1.27031007207211,1835086364,0
SECONDARY_2_5,0.966516292749662,1835086364,59
PRIMARY_2_0,1.0965735902799727,1835086365,1
SECONDARY_1_5,1.27031007207211,1835086365,0
SECONDARY_2_5,0.966516292749662,1835086365,71
PRIMARY_2_0,1.0965735902799727,1835086366,0
SECONDARY_1_5,1.27031007207211,1835086366,0
SECONDARY_2_5,0.966516292749662,1835086366,29
PRIMARY_2_0,1.0965735902799727,1835086367,0
SECONDARY_1_5,1.27031007207211,1835086367,0
SECONDARY_2_5,0.966516292749662,1835086367,31
PRIMARY_2_0,1.0965735902799727,1835086368,0
SECONDARY_1_5,1.27031007207211,1835086368,0
SECONDARY_2_5,0.966516292749662,1835086368,26
PRIMARY_2_0,1.0965735902799727,1835086369,0
SECONDARY_1_5,1.27031007207211,1835086369,0
SECONDARY_2_5,0.966516292749662,1835086369,56
PRIMARY_2_0,1.0965735902799727,1835086370,0
SECONDARY_1_5,1.27031007207211,1835086370,0
SECONDARY_2_5,0.966516292749662,1835086370,61
PRIMARY_2_0,1.0965735902799727,1835086371,6
SECONDARY_1_5,1.27031007207211,1835086371,0
SECONDARY_2_5,0.966516292749662,1835086371,124
PRIMARY_2_0,1.0965735902799727,1835086372,0
SECONDARY_1_5,1.27031007207211,1835086372,0
SECONDARY_2_5,0.966516292749662,1835086372,35
PRIMARY_2_0,1.0965735902799727,1835086373,0
SECONDARY_1_5,1.27031007207211,1835086373,0
SECONDARY_2_5,0.966516292749662,1835086373,29
PRIMARY_2_0,1.0965735902799727,1835086374,0
SECONDARY_1_5,1.27031007207211,1835086374,0
SECONDARY_2_5,0.966516292749662,1835086374,32
PRIMARY_2_0,1.0965735902799727,1835086375,8
SECONDARY_1_5,1.27031007207211,1835086375,0
SECONDARY_2_5,0.966516292749662,1835086375,75
PRIMARY_2_0,1.0965735902799727,1835086376,0
SECONDARY_1_5,1.27031007207211,1835086376,0
SECONDARY_2_5,0.966516292749662,1835086376,37
PRIMARY_2_0,1.0965735902799727,1835086377,0
SECONDARY_1_5,1.27031007207211,1835086377,0
SECONDARY_2_5,0.966516292749662,1835086377,20
PRIMARY_2_0,1.0965735902799727,1835086378,0
SECONDARY_1_5,1.27031007207211,1835086378,0
SECONDARY_2_5,0.966516292749662,1835086378,30
PRIMARY_2_0,1.0965735902799727,1835086379,0
SECONDARY_1_5,1.27031007207211,1835086379,0
SECONDARY_2_5,0.966516292749662,1835086379,66
PRIMARY_2_0,1.0965735902799727,1835086380,0
SECONDARY_1_5,1.27031007207211,1835086380,0
SECONDARY_2_5,0.966516292749662,1835086380,42
PRIMARY_2_0,1.0965735902799727,1835086381,10
SECONDARY_1_5,1.27031007207211,1835086381,0
SECONDARY_2_5,0.966516292749662,1835086381,136
PRIMARY_2_0,1.0965735902799727,1835086382,0
SECONDARY_1_5,1.27031007207211,1835086382,0
SECONDARY_2_5,0.966516292749662,1835086382,59
PRIMARY_2_0,1.0965735902799727,1835086383,2
SECONDARY_1_5,1.27031007207211,1835086383,0
SECONDARY_2_5,0.966516292749662,1835086383,79
PRIMARY_2_0,1.0965735902799727,1835086384,0
SECONDARY_1_5,1.27031007207211,1835086384,0
SECONDARY_2_5,0.966516292749662,1835086384,83
PRIMARY_2_0,1.0965735902799727,1835086385,0
SECONDARY_1_5,1.27031007207211,1835086385,0
SECONDARY_2_5,0.966516292749662,1835086385,26
PRIMARY_2_0,1.0965735902799727,1835086386,0
SECONDARY_1_5,1.27031007207211,1835086386,0
SECONDARY_2_5,0.966516292749662,1835086386,29
PRIMARY_2_0,1.0965735902799727,1835086387,0
SECONDARY_1_5,1.27031007207211,1835086387,0
SECONDARY_2_5,0.966516292749662,1835086387,24
PRIMARY_2_0,1.0965735902799727,1835086388,3
SECONDARY_1_5,1.27031007207211,1835086388,0
SECONDARY_2_5,0.966516292749662,1835086388,61
PRIMARY_2_0,1.0965735902799727,1835086389,0
SECONDARY_1_5,1.27031007207211,1835086389,0
SECONDARY_2_5,0.966516292749662,1835086389,31
PRIMARY_2_0,1.0965735902799727,1835086390,22
SECONDARY_1_5,1.27031007207211,1835086390,0
SECONDARY_2_5,0.966516292749662,1835086390,80
PRIMARY_2_0,1.0965735902799727,1835086391,0
SECONDARY_1_5,1.27031007207211,1835086391,0
SECONDARY_2_5,0.966516292749662,1835086391,66
PRIMARY_2_0,1.0965735902799727,1835086392,0
SECONDARY_1_5,1.27031007207211,1835086392,0
SECONDARY_2_5,0.966516292749662,1835086392,18
PRIMARY_2_0,1.0965735902799727,1835086393,0
SECONDARY_1_5,1.27031007207211,1835086393,0
SECONDARY_2_5,0.966516292749662,1835086393,30
PRIMARY_2_0,1.0965735902799727,1835086394,0
SECONDARY_1_5,1.27031007207211,1835086394,0
SECONDARY_2_5,0.966516292749662,1835086394,83
PRIMARY_2_0,1.0965735902799727,1835086395,6
SECONDARY_1_5,1.27031007207211,1835086395,0
SECONDARY_2_5,0.966516292749662,1835086395,46
PRIMARY_2_0,1.0965735902799727,1835086396,2
SECONDARY_1_5,1.27031007207211,1835086396,0
SECONDARY_2_5,0.966516292749662,1835086396,44
PRIMARY_2_0,1.0965735902799727,1835086397,1
SECONDARY_1_5,1.27031007207211,1835086397,0
SECONDARY_2_5,0.966516292749662,1835086397,50
PRIMARY_2_0,1.0965735902799727,1835086398,0
SECONDARY_1_5,1.27031007207211,1835086398,0
SECONDARY_2_5,0.966516292749662,1835086398,23
PRIMARY_2_0,1.0965735902799727,1835086399,0
SECONDARY_1_5,1.27031007207211,1835086399,0
SECONDARY_2_5,0.966516292749662,1835086399,63
PRIMARY_2_0,1.0965735902799727,1835086400,4
SECONDARY_1_5,1.27031007207211,1835086400,0
SECONDARY_2_5,0.966516292749662,1835086400,41
