alpha,successor_capability,phi,reproduction_rate,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
0.1,12.0,10.0,0.09,True,False,False,3173,126,0.0880581442654189,3.685960926473986,1.7976876231658646e+25,3.5953788451596716e+23
0.1,6.0,10.0,0.09,True,False,False,3245,116,0.030420758607199685,4.6945008065457845,1.5520234538476436e+23,3.104050014399405e+21
0.1,12.0,10.0,0.09,True,False,False,3105,97,0.11722780497861618,3.736827962369789,1.4018012161403326e+20,2.8036052387212477e+18
0.1,12.0,10.0,0.09,True,False,False,3207,96,0.15122343008456984,3.757290871253284,9.373185815476422e+19,1.8746390392984916e+18
0.1,12.0,10.0,0.09,True,False,False,3140,113,0.08156897997117468,3.716871273284654,9.190958753915937e+22,1.8381935905756466e+21
0.1,12.0,10.0,0.09,True,False,False,3071,101,0.1023766809835059,3.68192178174251,7.108765185487649e+20,1.4217544602899671e+19
0.1,12.0,10.0,0.09,True,False,False,3106,119,0.1090957369576234,3.72723531769896,1.0434548051551607e+24,2.086911699066956e+22
1.0,1.5,10.0,0.09,True,False,False,2817,7,0.0003298332682474725,0.04441420029304832,3299.46208681215,41.238066672009595
1.0,1.5,10.0,0.09,True,False,False,2900,7,0.0003829201281274434,0.048816150228484734,3288.82294903468,41.10507727769407
1.0,1.5,10.0,0.09,True,False,False,2815,7,0.00034838202347382184,0.049585765305886875,3299.9506287571057,41.244173452893214
1.0,1.5,10.0,0.09,True,False,False,2818,7,0.0002429355835620465,0.043808007907201185,3295.9016280730457,41.19356087660509
1.0,1.5,10.0,0.09,True,False,False,2728,7,0.0004709309899550451,0.06389862476448349,3272.6358174511183,40.90273787506916
1.0,1.5,10.0,0.09,True,False,False,2696,7,0.0007706273694599072,0.06682391282256273,3306.156550592038,41.32174757814545
1.0,1.5,10.0,0.09,True,False,False,2795,7,0.00062927883479536,0.07273381114169863,3287.3709533515257,41.086927308348535
1.0,1.5,10.0,0.09,True,False,False,2904,7,0.00022013088529246067,0.041020849078768684,3299.14488452328,41.23410164056173
1.0,1.5,10.0,0.09,True,False,False,2849,7,0.00046959538154354606,0.05989094556954888,3291.223047792488,41.135078549268236
1.0,1.5,10.0,0.09,True,False,False,2778,7,0.0015507641250896542,0.0895230950443231,3295.5038181523764,41.18858824758328
1.0,6.0,10.0,0.09,True,False,False,3201,108,0.0007370335717833802,0.22111007153501405,6.068764105663668e+21,1.2137540360036396e+20
1.0,6.0,10.0,0.09,True,False,False,3174,115,0.0006821603743622358,0.20464811230867075,1.033442730207791e+23,2.066887529090025e+21
1.0,6.0,10.0,0.09,True,False,False,3115,105,0.0007271447805652742,0.21814343416958226,1.794034418224221e+21,3.5880724280541827e+19
1.0,6.0,10.0,0.09,True,False,False,3104,89,0.0006912822537593,0.20738467612779,2.730494185906623e+18,5.460993838181435e+16
1.0,6.0,10.0,0.09,True,False,False,3359,81,0.0007533597804282162,0.22600793412846487,1.065725750089872e+17,2131453633527192.5
1.0,12.0,10.0,0.09,True,False,False,3022,2,0.015518393721117168,0.2540992524329977,3490.9192306397003,43.63128258080118
1.0,6.0,10.0,0.09,True,False,False,3086,112,0.0007255494602324871,0.21766483806974612,3.061408693418282e+22,6.122823515273477e+20
1.0,12.0,10.0,0.09,True,False,False,3194,139,0.0009535210604691528,0.28605631814074584,3.485681158813546e+27,6.971369295304823e+25
1.0,12.0,10.0,0.09,True,False,False,2841,2,0.012508497810886934,0.2638035931788032,3478.6620499977553,43.47806763149607
1.0,6.0,10.0,0.09,True,False,False,3278,107,0.0006851753692089598,0.20555261076268794,4.046457429801727e+21,8.092922959683096e+19
1.0,12.0,10.0,0.09,True,False,False,3119,137,0.0009961684754335727,0.2988505426300718,1.556147159659696e+27,3.112297434810495e+25
1.0,12.0,10.0,0.09,True,False,False,3062,135,0.0009354942543805178,0.28064827631415534,6.88935033804969e+26,1.3778714467375706e+25
1.0,6.0,10.0,0.09,True,False,False,3131,122,0.0007166244075320064,0.21498732225960193,1.7684343239761975e+24,3.536872188093722e+22
1.0,6.0,10.0,0.09,True,False,False,3094,111,0.0007117284669260537,0.21351854007781612,2.04581096004254e+22,4.09162601546824e+20
1.0,6.0,10.0,0.09,True,False,False,3259,74,0.0007078989936009091,0.21236969808027273,6248842966984200.0,124976984440913.38
1.0,12.0,10.0,0.09,True,False,False,2757,2,0.012633698841382372,0.24720286433680516,3462.720984608705,43.27880406725342
1.0,12.0,10.0,0.09,True,False,False,3230,108,0.0009338471141410783,0.2801541342423235,1.2123085342112863e+22,2.4246194950953606e+20
1.0,12.0,10.0,0.09,True,False,False,3270,137,0.0009746395271886299,0.29239185815658897,1.5430385053575037e+27,3.086080099745463e+25
1.0,12.0,10.0,0.09,True,False,False,3188,140,0.0009313428592002703,0.2794028577600811,5.229940820308898e+27,1.0459892109725263e+26
1.0,12.0,10.0,0.09,True,False,False,3141,115,0.0009578272583910375,0.28734817751731123,2.0750824929019177e+23,4.1501691396380725e+21
2.5,1.5,10.0,0.09,True,False,False,2944,7,0.00027685105831118937,0.041997936498870736,3291.5847811567132,41.13960022003528
2.5,1.5,10.0,0.09,True,False,False,2832,7,0.0002572184768811181,0.04532717135336761,3298.273776780351,41.223212775741644
2.5,1.5,10.0,0.09,True,False,False,2930,7,0.00033884054487604676,0.05199236150286968,3308.201842428978,41.34731375288395
2.5,1.5,10.0,0.09,True,False,False,2943,7,0.00022160672939326294,0.036014533991284736,3315.7991357555206,41.44228004649942
2.5,1.5,10.0,0.09,True,False,False,3091,7,0.00038571528696254906,0.05970936198095278,3302.468708848182,41.275649491649204
2.5,1.5,10.0,0.09,True,False,False,2805,7,0.0003513398798539913,0.04315404804283407,3300.351398999209,41.249183088817645
2.5,1.5,10.0,0.09,True,False,False,2945,7,0.0006066898800892328,0.058733155824121086,3289.8073866076484,41.117382763991294
2.5,1.5,10.0,0.09,True,False,False,2869,7,0.0002452357489455537,0.03537749856661487,3289.7608129070445,41.1168005919565
2.5,1.5,10.0,0.09,True,False,False,2862,7,0.0002246855855200754,0.04189248040952509,3278.414926526669,40.97497683213589
