action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_capture_strength,parameter_defense_active,parameter_defense_mode,parameter_dependency_rate,parameter_rotation_interval,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
False,True,True,1.0,False,False,False,False,90.10557350001181,250,False,498,105.157148125239,250,False,True,laptop,1.0,0.2983681677846441,full,300,1.0,False,undefended,0.2,,0,4,20,attack-v2-row-v1,1221768406,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,False,0.0,False,False,False,False,84.29695540000102,1,False,376,127.9246328698568,1,False,True,laptop,1.0,0.3323036927525409,full,300,0.3,False,undefended,0.02,,1,4,20,attack-v2-row-v1,1301265942,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,0.5,False,False,False,False,82.58058979999623,2,False,488,168.49929224865423,2,False,True,laptop,1.0,0.3295674822625161,full,300,0.5,False,undefended,0.02,,1,5,20,attack-v2-row-v1,341654382,300,300,True,True,biological_veto_capture,250,1,2,False
False,True,True,0.9333333333333333,False,False,False,False,84.51243770000292,15,False,469,163.95512259716463,15,False,True,laptop,1.0,0.2845498292042814,full,300,0.7,False,undefended,0.15,,1,5,20,attack-v2-row-v1,689568426,300,300,True,True,biological_veto_capture,250,14,15,False
False,True,True,1.0,False,False,False,False,82.53403629999957,250,False,477,98.30051604940584,250,False,True,laptop,1.0,0.3102244718327558,full,300,1.0,False,undefended,0.02,,0,5,20,attack-v2-row-v1,893140430,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,False,0.0,False,False,False,False,81.88361599997734,1,False,514,175.15255481616705,1,False,True,laptop,1.0,0.3014759534623864,full,300,0.3,False,undefended,0.1,,1,5,20,attack-v2-row-v1,1074801586,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,1.0,False,False,False,False,82.97266520000994,250,False,497,102.49224817076296,250,False,True,laptop,1.0,0.3097347396070469,full,300,0.9,False,undefended,0.02,,0,5,20,attack-v2-row-v1,1172783422,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,False,0.0,False,False,False,False,84.07810929999687,1,False,424,148.3625197909224,1,False,True,laptop,1.0,0.2946864988378195,full,300,0.9,False,undefended,0.01,,1,5,20,attack-v2-row-v1,1462209722,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,0.8888888888888888,False,False,False,False,84.00853130000178,9,False,476,169.30100194049533,9,False,True,laptop,1.0,0.31341997288867546,full,300,0.7,False,undefended,0.1,,1,5,20,attack-v2-row-v1,1618382690,300,300,True,True,biological_veto_capture,250,8,9,False
False,True,False,0.0,False,False,False,False,81.57219860001351,1,False,486,174.10199389060958,1,False,True,laptop,1.0,0.2896532177365442,full,300,0.3,False,undefended,0.05,,1,5,20,attack-v2-row-v1,1877942514,300,300,False,True,biological_veto_capture,250,0,1,False
