action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_defense_active,parameter_shock_magnitude,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,False,False,False,False,71.65899716084823,0,False,257,60.82717435501848,0,False,True,linux,1.0,0.17905249870185397,full,300,False,0.1,0,10,20,attack-v2-row-v1,2020340339,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,71.04442188004032,0,False,295,67.02652752454755,0,False,True,linux,1.0,0.1685540383966223,full,300,False,0.15,0,11,20,attack-v2-row-v1,279496506,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,71.57531138509512,0,False,299,69.24380574605853,0,False,True,linux,1.0,0.15803879184287725,full,300,False,0.2,0,11,20,attack-v2-row-v1,1644300767,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,71.86216971324757,0,False,303,72.40704893362809,0,False,True,linux,1.0,0.17906119885393545,full,300,False,0.1,0,11,20,attack-v2-row-v1,1811561310,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,71.90607927599922,0,False,320,73.21148066978984,0,False,True,linux,1.0,0.1790548840999695,full,300,False,0.1,0,12,20,attack-v2-row-v1,317994772,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,72.52478837221861,0,False,308,70.54548514227083,0,False,True,linux,1.0,0.1685700682277001,full,300,False,0.15,0,12,20,attack-v2-row-v1,1317375722,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,71.3603007979691,0,False,347,78.9276423089746,0,False,True,linux,1.0,0.15805280862525795,full,300,False,0.2,0,12,20,attack-v2-row-v1,1708504844,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,72.22203111601993,0,False,258,59.18261182069738,0,False,True,linux,1.0,0.15806300325646225,full,300,False,0.2,0,13,20,attack-v2-row-v1,720236984,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,71.22060234379023,0,False,287,63.281835875199604,0,False,True,linux,1.0,0.16855069101019823,full,300,False,0.15,0,13,20,attack-v2-row-v1,722031214,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,71.65208210796118,0,False,310,71.31408254629459,0,False,True,linux,1.0,0.1790596191209049,full,300,False,0.1,0,13,20,attack-v2-row-v1,1569610500,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,72.02197961881757,0,False,302,69.34918334181381,0,False,True,linux,1.0,0.15804836439731793,full,300,False,0.2,0,14,20,attack-v2-row-v1,833317571,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,71.7677354151383,0,False,267,62.06249827846067,0,False,True,linux,1.0,0.16858382445705694,full,300,False,0.15,0,14,20,attack-v2-row-v1,1597590998,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,72.55589510314167,0,False,395,90.92590679296536,0,False,True,linux,1.0,0.17906014007372809,full,300,False,0.1,0,14,20,attack-v2-row-v1,2107138438,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,70.89179058326408,0,False,324,74.29361339810137,0,False,True,linux,1.0,0.15804131757552944,full,300,False,0.2,0,15,20,attack-v2-row-v1,123643619,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,72.79731644690037,0,False,385,86.91753020821217,0,False,True,linux,1.0,0.17905573349815157,full,300,False,0.1,0,15,20,attack-v2-row-v1,340377392,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,71.39784542284906,0,False,230,53.41870745831621,0,False,True,linux,1.0,0.1685462038837444,full,300,False,0.15,0,15,20,attack-v2-row-v1,768770572,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,70.72169683780521,0,False,285,64.76477634707052,0,False,True,linux,1.0,0.17905108909615444,full,300,False,0.1,0,16,20,attack-v2-row-v1,881085690,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,71.71407743915915,0,False,255,62.50379141784817,0,False,True,linux,1.0,0.15804418281731925,full,300,False,0.2,0,16,20,attack-v2-row-v1,1191817658,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,71.11265251599252,0,False,277,63.905578921646125,0,False,True,linux,1.0,0.1685568540063111,full,300,False,0.15,0,16,20,attack-v2-row-v1,2069667404,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,72.47827098425478,0,False,294,67.86026349755271,0,False,True,linux,1.0,0.15806943979303173,full,300,False,0.2,0,17,20,attack-v2-row-v1,319148384,200,200,False,True,engineered_fragility,0,0,0,False
