action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_capture_strength,parameter_defense_active,parameter_defense_mode,parameter_dependency_rate,parameter_rotation_interval,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
False,True,True,1.0,False,False,False,False,200.90709918085486,250,False,404,84.0955544446454,250,False,True,linux,1.0,0.28601545367005077,full,300,1.0,False,undefended,0.05,,0,4,20,attack-v2-row-v1,1356759771,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,True,0.75,False,False,False,False,199.0221196617931,4,False,427,147.93046377481159,4,False,True,linux,1.0,0.31461262414423896,full,300,0.5,False,undefended,0.15,,1,4,20,attack-v2-row-v1,1690581751,300,300,True,True,biological_veto_capture,250,3,4,False
False,True,False,0.0,False,False,False,False,197.44203021889552,1,False,442,154.9724329822112,1,False,True,linux,1.0,0.31939291642281165,full,300,0.3,False,undefended,0.2,,1,5,20,attack-v2-row-v1,73530363,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,0.5,False,False,False,False,196.79258707584813,2,False,457,154.41436422466927,2,False,True,linux,1.0,0.3081338205073973,full,300,0.3,False,undefended,0.02,,1,5,20,attack-v2-row-v1,165965435,300,300,True,True,biological_veto_capture,250,1,2,False
False,True,True,1.0,False,False,False,False,197.76673327665776,240,False,409,87.07937592221428,240,False,True,linux,1.0,0.28902017497634147,full,300,1.0,False,undefended,0.1,,0,5,20,attack-v2-row-v1,725506103,300,300,True,True,biological_veto_capture,250,240,240,False
False,True,True,0.5,False,False,False,False,198.60166257014498,2,False,410,144.0541179394237,2,False,True,linux,1.0,0.31627342058106256,full,300,0.7,False,undefended,0.01,,1,5,20,attack-v2-row-v1,905564419,300,300,True,True,biological_veto_capture,250,1,2,False
False,True,True,0.8333333333333334,False,False,False,False,198.73181601194665,6,False,468,168.71318446214622,6,False,True,linux,1.0,0.2981549126328819,full,300,0.7,False,undefended,0.05,,1,5,20,attack-v2-row-v1,1224805767,300,300,True,True,biological_veto_capture,250,5,6,False
False,True,True,0.9866666666666667,False,False,False,False,194.76357798324898,75,False,434,144.20362691353733,75,False,True,linux,1.0,0.3047740420068017,full,300,0.9,False,undefended,0.1,,1,5,20,attack-v2-row-v1,1538941983,300,300,True,True,biological_veto_capture,250,74,75,False
False,True,True,0.95,False,False,False,False,200.77113488409668,20,False,462,161.37627739739906,20,False,True,linux,1.0,0.2909959357317098,full,300,0.9,False,undefended,0.05,,1,5,20,attack-v2-row-v1,1690836239,300,300,True,True,biological_veto_capture,250,19,20,False
False,True,True,1.0,False,False,False,False,196.20371696120128,250,False,421,86.77835663154596,250,False,True,linux,1.0,0.2897365615623364,full,300,1.0,False,undefended,0.15,,0,5,20,attack-v2-row-v1,2141687447,300,300,True,True,biological_veto_capture,250,250,250,False
