action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_defense_active,parameter_phi,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,True,False,False,False,38.271497388835996,0,True,0,2.803238726044639,0,False,True,linux,1.0,0.2791432512382846,full,300,False,25.0,0,7,20,attack-v2-row-v1,857631821,106,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,37.61749702319503,0,True,0,2.77538371967276,0,False,True,linux,1.0,0.2950694490163451,full,300,False,1.0,0,7,20,attack-v2-row-v1,1860599556,107,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,37.13697244692594,0,True,0,2.8032394440524717,0,False,True,linux,1.0,0.31153589244437696,full,300,False,1.0,0,8,20,attack-v2-row-v1,19614848,106,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,37.527304016985,0,True,0,2.8597916318984327,0,False,True,linux,1.0,0.29973546040318527,full,300,False,5.0,0,8,20,attack-v2-row-v1,131930823,104,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,36.85441945819184,0,True,0,2.8884950170588457,0,False,True,linux,1.0,0.284829621735969,full,300,False,15.0,0,8,20,attack-v2-row-v1,465509171,103,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,39.75986672984436,0,True,0,2.720503813943372,0,False,True,linux,1.0,0.2936463115382615,full,300,False,25.0,0,8,20,attack-v2-row-v1,716146013,109,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,34.68820467684418,0,True,0,3.0062238760140105,0,False,True,linux,1.0,0.3261707761236786,full,300,False,10.0,0,8,20,attack-v2-row-v1,1964799874,99,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,37.53597643505782,0,True,0,2.8032387040031,0,False,True,linux,1.0,0.31819691973803454,full,300,False,15.0,0,9,20,attack-v2-row-v1,154682744,106,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,40.19171457597986,0,True,0,2.6402139337056356,0,False,True,linux,1.0,0.30169373937448984,full,300,False,25.0,0,9,20,attack-v2-row-v1,158452817,112,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,35.20520700002089,0,True,0,2.946951631010676,0,False,True,linux,1.0,0.2866419332205355,full,300,False,5.0,0,9,20,attack-v2-row-v1,239385764,101,300,False,False,bootstrap_subversion,0,0,0,False
